"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"AL077","Lauderdale County","Alabama","0.449314761","167.9563253","504.3209229","","","2001","ALABAMA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.44650311","16.02212716","60.92225455","59.05901901","1.412261525","13.60835272","14.05628513","33.85089164","53.62226903","50.63180788","45.68621375","76.30213996","57.29988047","23.43806212","45.07024043","40.94338741","30.18135202","2.959258046","74.14683148","13.19963562","67.0774341","0.512065091","0.170723257","0.216736073","0.81422596","-0.884928943","0.157956499","0.768514262","-0.67129331","0.495293185","-0.07941573","-0.749623892","-0.077574034","0.339072694","-0.376757117","-0.085020813","0.376766393","0.854965133","-0.372560666","-0.711523178","-0.209217975","-0.330241484","",""
"AL077","Lauderdale County","Alabama","0.449314761","167.9563253","504.3209229","","","2002","ALABAMA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.55450419","20.88346639","23.01603562","10.38559044","59.45067184","28.07837533","31.30277078","73.32484924","30.65259186","40.40019118","44.10751945","6.623493733","6.740028038","59.15595917","77.82100438","42.01931066","19.81478166","52.61681702","23.48489999","52.05232523","66.57269145","0.198088845","0.303952331","0.725144082","-0.166662246","0.334615032","0.614333688","0.284600236","0.869443384","-0.609711348","-0.471169263","-0.277002458","0.513934382","-0.099695997","0.578652085","0.888962421","0.173689184","0.327076562","-0.556488661","-0.700217078","-0.527013238","0.358756588","",""
"AL077","Lauderdale County","Alabama","0.449314761","167.9563253","504.3209229","","","2003","ALABAMA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.28639515","19.4710707","21.5914519","36.39102261","66.34767887","42.96147883","33.51623902","60.73909844","54.2269377","5.164245491","35.59178396","75.17935967","29.70176813","48.43011252","66.78565545","59.95337958","77.65088953","20.59762487","31.16587629","26.06614595","6.884521147","0.844452493","0.941268555","-0.824356058","-0.764711942","0.367364966","0.348776288","-0.326288492","-0.877036521","0.509885467","-0.387795057","0.088409574","0.037300166","0.824442147","-0.720315225","-0.262086239","-0.784153642","-0.355419527","-0.560879901","0.006672329","0.536034555","-0.134590833","",""
"AL077","Lauderdale County","Alabama","0.449314761","167.9563253","504.3209229","","","2004","ALABAMA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.40700301","9.760159708","35.33899899","28.04962141","68.70733964","12.94693229","4.365348462","24.92365965","51.61339206","54.11531003","10.83514925","79.30862359","12.56200509","36.86797801","65.60290506","4.396546","13.81527735","22.35652496","48.73538824","32.31156459","22.25332702","-0.960331316","-0.304695397","-0.789920337","-0.458960422","0.753103002","-0.24557931","-0.369349062","-0.58830615","0.882232658","0.274224819","-0.901523015","0.479535457","-0.429434353","0.480084574","-0.075182329","0.256855368","0.530200481","0.195488326","-0.259167531","0.449621191","-0.90853327","",""
"AL077","Lauderdale County","Alabama","0.449314761","167.9563253","504.3209229","","","2005","ALABAMA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.62795884","31.56511288","55.13337402","20.57216702","59.03570684","45.42355542","53.08726713","24.25918563","53.84374584","77.31543668","14.78670211","54.49257526","48.16977815","30.09806344","52.7277002","16.0244685","3.780051297","8.511610291","34.77123645","32.15928257","56.25983395","-0.966241704","0.518839754","-0.777667011","0.760652979","-0.209856986","0.583344994","-0.745894535","0.202893882","-0.045208705","-0.511565598","-0.881076758","-0.580044691","0.492216927","0.197715087","0.892509328","0.234674243","0.263771487","0.305892246","0.032510642","0.751528052","0.873347631","",""
"AL077","Lauderdale County","Alabama","0.449314761","167.9563253","504.3209229","","","2006","ALABAMA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.42214869","33.39181157","61.19617009","62.94426831","32.98181741","16.03186639","15.25055855","34.00964735","22.6178463","64.54668262","63.76459189","16.92494201","64.34198347","28.55038714","55.51547974","74.53469581","33.86047911","9.370815561","6.429312454","17.13726556","69.85375119","0.321351651","0.679778245","-0.413738529","-0.259325938","0.816302373","0.874545414","0.188106398","-0.830600954","0.887922632","-0.968814725","-0.755123892","0.951988508","-0.301992491","-0.798473925","-0.83477444","0.749987441","0.930864609","-0.545990211","-0.739576745","-0.40146987","0.574492904","",""
"AL077","Lauderdale County","Alabama","0.449314761","167.9563253","504.3209229","","","2007","ALABAMA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.06553323","5.862934173","45.81048691","64.84647757","43.61609692","36.03553483","5.406107572","79.55905493","57.33765063","28.58871043","6.15272488","33.26932366","74.15983054","11.47621463","11.85081103","55.69125097","26.32681806","60.97637042","44.8288402","19.15090748","38.29177723","-0.583075069","0.892842686","0.534958418","0.906979188","-0.606891587","0.242258327","0.269493775","0.674309652","0.019262638","-0.633325508","0.255068739","-0.412214055","0.032553193","-0.606177465","-0.151754301","-0.393651389","0.65289366","0.348961172","0.072613411","-0.18955447","-0.453986696","",""
"AL077","Lauderdale County","Alabama","0.449314761","167.9563253","504.3209229","","","2008","ALABAMA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.628005561","51.22277569","74.73704584","9.686083434","50.80436963","57.36318167","38.22904147","77.64911109","62.61832355","42.64542989","47.41955122","35.50038019","73.9013486","70.55789556","1.507022668","77.14666636","13.47166994","15.73115041","50.68488855","44.31909437","9.98090602","-0.507796824","0.88953913","-0.998791935","-0.768990786","0.977139332","-0.44208634","-0.33775661","0.266938177","-0.07385059","-0.18805451","0.24052795","-0.471833677","-0.739029839","-0.649145328","0.691076633","0.670307311","-0.134217352","-0.691215074","0.73556452","-0.470392813","-0.189749969","",""
"AL077","Lauderdale County","Alabama","0.449314761","167.9563253","504.3209229","","","2009","ALABAMA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.48839278","25.1507561","55.22246259","69.7685919","41.48826491","34.86790349","7.714284334","25.65397793","78.79099546","62.42124582","79.18551514","66.21389352","28.37235797","12.03055271","50.78850824","23.95535699","21.1201802","51.94326007","78.52182332","38.60397618","50.07940829","0.092418029","0.464005326","0.322998222","-0.522268048","0.036459485","0.23640809","0.021182233","-0.156002207","-0.713741384","0.480918166","0.904095065","0.547311749","0.3881542","0.038169763","-0.039913336","-0.451115999","0.61395409","0.312825345","0.644056371","0.544058068","0.212876425","",""
"AL077","Lauderdale County","Alabama","0.449314761","167.9563253","504.3209229","","","2010","ALABAMA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.62712777","39.71790493","20.62981585","44.32916853","37.67325048","56.22533493","73.70018205","31.45605301","50.25716513","79.52519777","45.23632238","58.86011518","28.66790898","72.05589674","35.19950108","55.24708922","26.84597078","29.00486131","60.42912899","55.92316056","74.09251057","0.396982928","0.462357705","-0.353748746","0.124704984","0.338762907","0.794124402","-0.318711596","0.556959792","0.222553951","0.993888972","-0.697216439","0.795286012","-0.396417103","0.871284378","-0.648486719","-0.881599435","0.427765459","0.115090233","0.28992017","-0.390460025","-0.837780801","",""
