"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"CA702","Klamath National Forest Area","Parts of Siskiyou County","0.036039345","93.57956547","774.2864593","","","2001","CALIFORNIA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.19463583","36.21993623","4.712186085","11.44857116","70.81166113","44.47409898","59.77894223","1.453090604","18.52976396","33.87267322","65.77518505","58.96040277","78.13718284","33.36305659","22.86188594","76.87017865","7.953632041","37.47920345","28.60053982","42.05690206","52.54123407","0.611355532","0.58249875","0.79530417","0.588921863","0.642760043","-0.653686869","-0.320933147","0.60084205","-0.147791356","0.117799136","-0.028914117","0.738445667","-0.664243112","0.14379546","-0.547431064","-0.284522706","-0.281998276","-0.251207088","-0.056255951","0.528138454","-0.434100648","",""
"CA702","Klamath National Forest Area","Parts of Siskiyou County","0.036039345","93.57956547","774.2864593","","","2002","CALIFORNIA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.17052851","17.71643149","45.0945173","16.99868541","30.45378872","39.21622346","72.11938426","43.98934194","2.629427639","79.76355007","15.87791237","48.96197636","70.23969734","45.95628239","79.04452795","78.41251708","60.33625696","60.85775164","35.37118676","36.93445417","21.85935185","0.257376649","-0.576575797","0.364289241","0.404897554","-0.961339964","0.380717937","-0.567331049","-0.377622147","-0.665628231","0.927393343","-0.801465143","0.528126614","0.791978837","-0.84069753","-0.407670852","-0.787124927","-0.207621605","-0.67090561","-0.038121245","0.135062988","-0.363469997","",""
"CA702","Klamath National Forest Area","Parts of Siskiyou County","0.036039345","93.57956547","774.2864593","","","2003","CALIFORNIA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.62240306","67.40400795","18.31642019","58.18933672","39.08972067","13.54878276","19.18876162","3.837535073","51.98583375","58.96441931","47.55846197","2.090383358","59.3643683","37.27345334","4.997699778","48.64382152","31.42071549","64.11601674","73.29088109","22.05110985","72.02475776","0.784379845","-0.511884725","-0.528921102","0.48116168","-0.914839628","0.167569461","0.9719241","0.528035249","0.193172135","0.390933837","-0.685665798","0.189296858","0.141875206","-0.619848418","0.815615839","-0.819497021","0.010054308","-0.374443322","-0.721530083","0.395057696","-0.813322932","",""
"CA702","Klamath National Forest Area","Parts of Siskiyou County","0.036039345","93.57956547","774.2864593","","","2004","CALIFORNIA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.68398398","37.21513142","61.47626455","6.962181636","58.79936442","44.48243839","21.84350633","27.596415","27.1597276","10.55556893","18.00575919","47.54771876","16.21403919","54.57315619","65.64930295","12.3203561","9.804117915","18.14377114","20.69439309","43.43899824","50.86885616","-0.705163188","0.095148236","-0.684599311","-0.785922688","-0.064132361","-0.378928244","-0.636925057","0.674176212","-0.286687368","-0.766098747","0.265960773","0.615261592","-0.382589933","0.660701021","0.080259151","-0.086720851","0.772403815","-0.423708413","0.255584656","0.090418755","0.400965809","",""
"CA702","Klamath National Forest Area","Parts of Siskiyou County","0.036039345","93.57956547","774.2864593","","","2005","CALIFORNIA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.833707772","8.485483034","48.56155331","17.58677905","6.484066237","66.56359678","8.829134233","52.37809362","10.04606901","15.07758522","72.52868946","45.51225141","23.62694565","25.44766387","76.78165786","5.730685867","4.908238587","74.1724826","66.14693669","52.56326406","13.46176735","0.911949471","-0.690487001","-0.268192078","-0.85922491","-0.34944078","0.730061551","0.750673143","0.761142911","-0.735830093","-0.795475403","0.552257206","-0.267069584","-0.025063375","0.200810878","0.074483011","0.182902992","0.805053941","0.613896673","0.71320172","0.421524872","-0.656001713","",""
"CA702","Klamath National Forest Area","Parts of Siskiyou County","0.036039345","93.57956547","774.2864593","","","2006","CALIFORNIA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.5177931","44.09382767","58.22592173","4.635465904","35.66226971","31.02944327","12.95400258","47.35665114","72.41712173","73.75379842","70.48715355","65.57441885","1.673268531","35.30632118","5.553957507","33.74044016","72.77105095","21.65002773","60.81637215","12.86030849","16.4891487","0.019715941","-0.468935139","-0.451742129","-0.207335435","0.116626879","0.04629311","0.212723875","0.964583259","-0.737663258","0.961663647","0.613709705","0.944924128","-0.191567712","-0.340297752","-0.472873321","-0.589972818","-0.07478711","-0.539069002","0.66894849","0.727198884","-0.118521498","",""
"CA702","Klamath National Forest Area","Parts of Siskiyou County","0.036039345","93.57956547","774.2864593","","","2007","CALIFORNIA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.53715135","68.80238465","19.80288202","66.916698","65.72728301","13.85922572","47.46732916","38.33184478","57.89292201","56.03437648","30.80908596","24.1677846","7.654705857","2.479262962","58.89976742","69.86777143","22.67798252","44.73361068","77.09682749","17.48556619","40.2735667","-0.87680755","0.526251766","0.75216506","0.249051909","-0.742661194","0.833346592","0.005729784","0.41541457","0.805396878","0.815713573","-0.289046017","0.084449588","0.964969314","-0.664580612","0.851314413","0.194397073","-0.077991445","-0.394652352","-0.312350304","-0.936160848","0.645563846","",""
"CA702","Klamath National Forest Area","Parts of Siskiyou County","0.036039345","93.57956547","774.2864593","","","2008","CALIFORNIA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.13941086","64.34501409","3.520744363","23.83362766","48.2335875","38.34120634","63.75043006","8.955564448","12.55961844","22.81888831","41.51849839","66.10920903","76.23442539","24.31953039","18.88605572","35.87853658","25.05350574","38.02026909","48.6280932","59.20475337","45.16318425","-0.293156704","-0.874474386","0.544087955","-0.597598007","-0.703084548","0.379298113","0.348424253","-0.893627905","0.827845128","0.513821021","0.011701359","0.129820236","-0.921914244","0.890281803","-0.127769576","-0.247968573","0.351871635","0.181882256","0.91106028","0.146664089","0.023580022","",""
"CA702","Klamath National Forest Area","Parts of Siskiyou County","0.036039345","93.57956547","774.2864593","","","2009","CALIFORNIA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.15198604","71.22101123","27.60934247","79.87734929","58.25428376","68.51734009","26.0332703","59.2335542","24.03235956","34.31981303","73.04861578","4.659116484","70.27164644","5.029300381","56.1850263","31.38256103","13.726126","56.65026886","63.05785812","25.41816354","63.03925584","0.284343915","0.273046384","0.505767196","-0.138517787","0.205799785","-0.100869145","0.24503641","-0.727510418","0.842701902","-0.255353689","-0.70385476","0.454317609","-0.035838977","0.415283721","0.260173838","-0.55334402","0.106921849","-0.735144682","0.293756382","-0.941725888","0.106975228","",""
"CA702","Klamath National Forest Area","Parts of Siskiyou County","0.036039345","93.57956547","774.2864593","","","2010","CALIFORNIA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.09342529","43.46380485","47.57785652","19.07405982","74.39445531","36.60454827","23.5184777","65.81876048","63.31883874","64.0399865","53.41592244","22.19399625","23.23446241","71.18169839","27.67264555","9.8555716","9.482740483","7.967043505","65.23070722","25.07494692","35.64845443","0.597037372","0.427107458","-0.474370804","-0.073269609","-0.429401128","0.062731111","0.887760958","0.173532251","-0.376922588","0.038096595","0.501818955","0.822005186","0.505154483","-0.486906095","-0.738150694","-0.638870345","-0.084213323","-0.356863492","0.461461699","0.313750646","0.436036915","",""
