"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"CO692","Dinosaur National Monument","Colorado and Utah","0.011237057","92.83163265","294.1319049","","","2001","COLORADO","","","","","","","","","","","0.04","0.94","0.02","0","0","0.08","0.75","0.15","0.01","0.01","0.1","0.75","0.14","0.01","0","0.16","0.68","0.15","0.01","0","0.18","0.65","0.15","0.02","0","0.23","0.61","0.14","0.02","0","0.24","0.61","0.14","0.01","0","0.21","0.6","0.16","0.03","0","0.14","0.74","0.1","0.02","0","0.2","0.67","0.12","0.01","0","0.2","0.61","0.16","0.03","0","0.25","0.58","0.14","0.03","0","0.3","0.56","0.11","0.03","0","0.26","0.58","0.11","0.04","0.01","0.28","0.53","0.14","0.04","0.01","0.24","0.54","0.16","0.04","0.02","0.27","0.48","0.18","0.05","0.02","0.23","0.53","0.18","0.04","0.02","0.26","0.46","0.2","0.06","0.02","0.24","0.44","0.22","0.07","0.03","0.24","0.46","0.22","0.06","0.02","44.91424304","44.59447591","57.85279748","42.83445408","19.85397024","41.170279","18.68407745","17.1720153","22.37446613","36.32060755","74.11608546","15.67327099","19.05203352","71.73862241","16.87853163","42.00295456","44.71237864","78.21435577","16.29961212","13.05659391","8.609258014","-0.990034648","0.27820189","-0.416650847","-0.958944431","0.47713077","0.380640397","0.494734999","0.055262653","0.753431339","0.99181493","-0.149748735","-0.793409169","-0.657006142","0.678966075","-0.582984084","-0.534951608","-0.104925062","0.157182275","0.738687786","-0.051693739","-0.910082187","",""
"CO692","Dinosaur National Monument","Colorado and Utah","0.011237057","92.83163265","294.1319049","","","2002","COLORADO","","","","","","","","","","","","","","","","0.07","0.75","0.18","0","0","0.05","0.6","0.2","0.1","0.05","0.09","0.54","0.3","0.06","0.01","0.09","0.59","0.28","0.03","0.01","0.15","0.51","0.25","0.06","0.03","0.12","0.54","0.24","0.06","0.04","0.1","0.46","0.35","0.07","0.02","0.07","0.44","0.33","0.13","0.03","0.06","0.29","0.27","0.26","0.12","0.07","0.21","0.33","0.21","0.18","0.09","0.25","0.27","0.2","0.19","0.07","0.22","0.3","0.21","0.2","0.05","0.15","0.35","0.23","0.22","0.03","0.19","0.28","0.25","0.25","0.02","0.12","0.35","0.28","0.23","0.05","0.15","0.35","0.23","0.22","0.04","0.16","0.29","0.26","0.25","0.05","0.18","0.32","0.21","0.24","0.04","0.19","0.3","0.25","0.22","0.03","0.21","0.29","0.25","0.22","76.81548088","9.614828713","17.79341374","29.03531033","61.31514004","10.4535177","41.99527521","24.09724496","18.07615915","74.39266619","44.8822927","6.344620501","42.23498131","76.98672248","43.96638856","7.95795436","6.745663136","33.02046722","73.48913425","57.9339281","1.128342078","0.684506506","-0.627598649","0.173399349","0.36965349","0.615189231","0.486986541","-0.880962715","-0.098463154","-0.571379351","0.381991057","-0.506751945","-0.7656478","0.293195603","-0.88799974","0.755114683","-0.981630423","0.352292734","-0.979253717","-0.753035716","0.555389655","0.016828458","",""
"CO692","Dinosaur National Monument","Colorado and Utah","0.011237057","92.83163265","294.1319049","","","2003","COLORADO","","","","","","","","","","","","","","","","","","","","","0.3","0.55","0.14","0.01","0","0.44","0.45","0.1","0.01","0","0.51","0.37","0.1","0.02","0","0.49","0.41","0.08","0.02","0","0.4","0.49","0.1","0.01","0","0.44","0.43","0.1","0.03","0","0.3","0.49","0.16","0.04","0.01","0.34","0.51","0.13","0.02","0","0.26","0.49","0.16","0.06","0.03","0.24","0.5","0.16","0.07","0.03","0.26","0.42","0.18","0.09","0.05","0.18","0.5","0.2","0.09","0.03","0.15","0.47","0.22","0.1","0.06","0.13","0.5","0.21","0.12","0.04","0.14","0.48","0.22","0.1","0.06","0.14","0.46","0.23","0.11","0.06","0.1","0.45","0.24","0.17","0.04","0.14","0.48","0.22","0.11","0.05","0.12","0.48","0.24","0.11","0.05","45.90857651","75.13914613","2.630797915","11.60860466","27.45492537","44.54018245","30.55878556","4.777382152","76.60909382","79.3979111","61.92911745","72.33411593","26.06333787","61.74583925","69.48542663","19.45713887","70.3881991","49.7933842","37.24009754","57.89106316","57.32162953","-0.960534087","-0.848118556","0.569656939","-0.966692288","0.936759183","0.27436422","-0.810549486","0.888479257","-0.692067969","0.212355371","-0.281451041","0.257627114","0.674895625","0.587544776","0.879858764","-0.718016623","0.957383075","0.841629358","0.023909508","0.796546192","0.94866016","",""
"CO692","Dinosaur National Monument","Colorado and Utah","0.011237057","92.83163265","294.1319049","","","2004","COLORADO","","","","","","","","","","","","","","","","0.07","0.76","0.17","0","0","0.18","0.61","0.19","0.02","0","0.09","0.66","0.22","0.03","0","0.04","0.72","0.2","0.04","0","0.19","0.67","0.13","0.01","0","0.38","0.55","0.06","0.01","0","0.41","0.53","0.06","0","0","0.5","0.43","0.07","0","0","0.4","0.44","0.14","0.02","0","0.37","0.4","0.19","0.04","0","0.37","0.4","0.19","0.04","0","0.39","0.4","0.17","0.03","0.01","0.43","0.36","0.17","0.03","0.01","0.46","0.38","0.11","0.04","0.01","0.36","0.44","0.12","0.05","0.03","0.33","0.42","0.16","0.06","0.03","0.36","0.44","0.11","0.05","0.04","0.37","0.41","0.14","0.05","0.03","0.4","0.43","0.11","0.04","0.02","0.35","0.48","0.1","0.04","0.03","75.2150101","63.86109344","60.60161526","25.26689795","6.876680453","14.64017797","41.20808323","9.284433976","40.24812967","46.81736366","23.26948174","29.55522701","9.718095627","62.74673271","30.83121925","70.88470986","28.22287595","70.5524127","27.9538553","70.20125258","38.7000204","-0.199298645","-0.857485693","0.775352304","0.39953329","0.905926161","-0.012523831","0.098224103","-0.097896822","-0.968234257","-0.626796524","0.641988664","-0.265240147","0.514106731","0.44747651","0.273817758","0.002886155","-0.023101991","0.404406185","-0.641095707","-0.458636444","0.8111478","",""
"CO692","Dinosaur National Monument","Colorado and Utah","0.011237057","92.83163265","294.1319049","","","2005","COLORADO","","","","","","","","","","","0.18","0.6","0.21","0.01","0","0.22","0.56","0.19","0.03","0","0.3","0.52","0.17","0.01","0","0.35","0.52","0.12","0.01","0","0.39","0.48","0.12","0.01","0","0.43","0.48","0.07","0.02","0","0.46","0.42","0.1","0.02","0","0.47","0.4","0.11","0.02","0","0.36","0.47","0.14","0.03","0","0.32","0.46","0.18","0.04","0","0.28","0.45","0.2","0.06","0.01","0.29","0.39","0.21","0.09","0.02","0.21","0.43","0.24","0.09","0.03","0.21","0.43","0.25","0.08","0.03","0.16","0.43","0.29","0.09","0.03","0.16","0.43","0.29","0.09","0.03","0.16","0.43","0.28","0.1","0.03","0.18","0.44","0.25","0.1","0.03","0.22","0.42","0.23","0.1","0.03","0.21","0.47","0.22","0.07","0.03","0.26","0.47","0.21","0.04","0.02","50.0779046","16.1210943","25.39172918","37.06158806","57.2111697","68.54906038","28.17723259","13.74556066","50.73220316","59.46049046","27.41244103","47.74543495","20.31923067","25.08499612","3.755035463","62.34380013","21.81888657","40.85776521","39.6056482","9.159629522","39.60139732","0.406645704","-0.882167309","0.04759327","-0.702505826","-0.431702137","0.138418724","-0.343404255","0.658702913","0.662326528","0.02598471","-0.063278024","0.160921455","0.859884466","0.456796817","0.432575687","0.044249066","-0.830655236","0.366687156","0.677040531","0.408948353","0.087999305","",""
"CO692","Dinosaur National Monument","Colorado and Utah","0.011237057","92.83163265","294.1319049","","","2006","COLORADO","","","","","","","","","","","0.04","0.82","0.11","0.03","0","0.04","0.79","0.12","0.03","0.02","0.13","0.63","0.17","0.05","0.02","0.13","0.65","0.15","0.05","0.02","0.12","0.62","0.18","0.06","0.02","0.13","0.65","0.15","0.05","0.02","0.12","0.62","0.17","0.06","0.03","0.15","0.6","0.16","0.06","0.03","0.29","0.45","0.16","0.07","0.03","0.15","0.53","0.23","0.06","0.03","0.06","0.45","0.36","0.1","0.03","0.11","0.42","0.3","0.12","0.05","0.13","0.41","0.3","0.12","0.04","0.12","0.41","0.3","0.13","0.04","0.09","0.42","0.3","0.15","0.04","0.16","0.44","0.22","0.14","0.04","0.2","0.47","0.2","0.1","0.03","0.17","0.44","0.22","0.12","0.05","0.16","0.42","0.23","0.14","0.05","0.19","0.45","0.2","0.11","0.05","0.16","0.44","0.22","0.12","0.06","36.99581155","44.31912269","79.33364189","13.12416635","78.80904557","19.46771368","12.02399395","77.41343849","58.06769134","48.83433131","43.56733466","72.66439333","59.3886281","22.89970577","11.38338913","67.45726964","66.04855128","46.57847063","36.01755791","47.93901854","22.35255416","0.471555822","0.93423182","0.911278839","0.870750827","-0.947081107","-0.11903776","0.426954465","0.423481203","-0.303129611","-0.173547557","-0.258488861","-0.652267619","-0.698567294","-0.822530146","-0.415698714","0.82436","-0.606027407","0.500621656","0.967768893","0.313039616","-0.989863731","",""
"CO692","Dinosaur National Monument","Colorado and Utah","0.011237057","92.83163265","294.1319049","","","2007","COLORADO","","","","","","","","","","","0.18","0.81","0.01","0","0","0.13","0.84","0.02","0.01","0","0.16","0.79","0.05","0","0","0.18","0.74","0.05","0.02","0.01","0.22","0.69","0.06","0.02","0.01","0.31","0.6","0.06","0.02","0.01","0.3","0.61","0.06","0.02","0.01","0.25","0.6","0.13","0.02","0","0.29","0.62","0.07","0.01","0.01","0.27","0.58","0.12","0.02","0.01","0.2","0.53","0.17","0.07","0.03","0.16","0.52","0.22","0.07","0.03","0.15","0.51","0.25","0.09","0","0.19","0.51","0.22","0.07","0.01","0.21","0.51","0.21","0.07","0","0.18","0.52","0.22","0.07","0.01","0.22","0.5","0.19","0.07","0.02","0.23","0.55","0.17","0.03","0.02","0.2","0.57","0.18","0.03","0.02","0.23","0.55","0.17","0.03","0.02","0.22","0.55","0.17","0.04","0.02","74.94697012","23.0221486","66.31436427","74.38773633","15.23626001","55.89366986","21.13943398","59.29739978","7.316954176","66.30927404","51.06228573","58.97389663","14.29381212","69.77160823","65.64153012","39.71655219","71.85101801","75.86868735","3.562727671","43.68051264","75.85756256","0.865650472","0.809361978","0.540613278","0.968349626","-0.6328799","0.223707494","0.722218413","-7.95303E-06","-0.824677728","-0.98408992","-0.057895065","0.51901839","-0.472873421","-0.072573897","-0.005629173","-0.537785528","0.562256553","0.465304877","-0.652994848","-0.537469547","0.327639532","",""
"CO692","Dinosaur National Monument","Colorado and Utah","0.011237057","92.83163265","294.1319049","","","2008","COLORADO","","","","","","","","","","","","","","","","","","","","","0.12","0.33","0.41","0.1","0.04","0.2","0.3","0.38","0.08","0.04","0.26","0.33","0.28","0.08","0.05","0.25","0.34","0.27","0.09","0.05","0.28","0.38","0.2","0.09","0.05","0.17","0.35","0.32","0.11","0.05","0.19","0.34","0.31","0.1","0.06","0.19","0.32","0.32","0.11","0.06","0.15","0.33","0.31","0.15","0.06","0.13","0.31","0.32","0.15","0.09","0.13","0.32","0.33","0.14","0.08","0.13","0.33","0.33","0.14","0.07","0.11","0.34","0.34","0.14","0.07","0.15","0.44","0.3","0.07","0.04","0.14","0.36","0.3","0.13","0.07","0.22","0.32","0.3","0.11","0.05","0.22","0.32","0.3","0.11","0.05","0.25","0.29","0.31","0.11","0.04","0.25","0.28","0.32","0.11","0.04","63.28770814","55.5388314","29.61918897","51.18272809","47.85840002","51.16937866","2.518630257","18.41436083","64.57673189","49.81616816","21.86936817","14.60412108","15.29083898","41.0834615","54.34740721","38.03193763","30.2516212","14.77506094","21.24982853","39.64111266","9.272897024","-0.583955506","0.824458011","0.690069116","-0.725042372","0.488838818","0.959582463","0.589703826","-0.154143278","0.500788935","-0.697473546","0.239224652","0.007664294","-0.123746374","0.213595158","-0.171650083","-0.517217672","-0.427120858","-0.068733334","-0.020288573","-0.063953649","-0.611975019","",""
"CO692","Dinosaur National Monument","Colorado and Utah","0.011237057","92.83163265","294.1319049","","","2009","COLORADO","","","","","","","","","","","","","","","","","","","","","0.31","0.62","0.06","0.01","","0.27","0.58","0.1","0.05","","0.26","0.53","0.15","0.05","0.01","0.3","0.54","0.13","0.02","0.01","0.28","0.5","0.16","0.05","0.01","0.3","0.45","0.2","0.05","","0.25","0.5","0.19","0.05","0.01","0.15","0.69","0.12","0.02","0.02","0.22","0.68","0.1","","","0.22","0.6","0.18","","","0.22","0.59","0.13","0.04","0.02","0.21","0.63","0.11","0.03","0.02","0.18","0.58","0.15","0.07","0.02","0.15","0.53","0.2","0.1","0.02","0.16","0.48","0.24","0.1","0.02","0.15","0.47","0.25","0.1","0.03","0.11","0.4","0.32","0.14","0.03","0.14","0.46","0.26","0.11","0.03","0.15","0.49","0.24","0.1","0.02","36.38128124","62.81101191","9.452598603","16.89955951","34.82736342","36.94489204","22.7003882","9.790861778","12.39927463","22.37965084","57.74117103","77.29600281","46.71487303","28.76771683","62.08699891","20.37116008","14.1437776","60.25703884","42.73631852","33.39794318","22.66255871","0.693204524","-0.875450595","-0.613728887","0.715431276","0.075005406","0.515447931","0.884935221","-0.900433339","-0.392733057","-0.829312225","-0.528744759","0.486935299","0.969338204","-0.199812771","0.604910308","0.409449206","0.135943246","-0.261601692","0.111933274","0.546852603","-0.834161587","",""
"CO692","Dinosaur National Monument","Colorado and Utah","0.011237057","92.83163265","294.1319049","","","2010","COLORADO","","","","","","0.01","0.54","0.35","0.1","","0.02","0.65","0.28","0.04","0.01","0.02","0.68","0.23","0.06","0.01","0.13","0.62","0.21","0.03","0.01","0.19","0.65","0.13","0.03","","0.19","0.67","0.12","0.02","","0.17","0.65","0.14","0.04","","0.12","0.57","0.27","0.04","","0.22","0.67","0.1","0.01","","0.22","0.67","0.1","0.01","","0.22","0.69","0.08","0.01","","0.17","0.65","0.17","0.01","","0.28","0.55","0.15","0.02","","0.27","0.56","0.15","0.02","","0.23","0.65","0.1","0.02","","0.22","0.62","0.14","0.02","","0.2","0.68","0.1","0.02","","0.17","0.61","0.18","0.03","0.01","0.14","0.63","0.19","0.04","","0.13","0.65","0.18","0.03","0.01","0.15","0.55","0.24","0.06","","0.12","0.63","0.17","0.04","0.04","79.52093577","20.48662302","41.27768315","5.434564588","7.384991472","63.22232154","69.95625599","21.61076567","50.22652921","63.33258791","79.97443097","47.28589026","49.73861566","2.588217126","49.3137771","33.73439239","25.78942835","56.71438298","67.09500659","38.09559757","30.371122","0.129835758","-0.732681476","0.092343406","0.285705478","0.725112546","-0.714333342","0.440346332","0.326975144","-0.194776649","0.984752652","0.959734817","-0.101567781","0.192280481","0.68746491","-0.598997941","-0.618574633","-0.777907516","0.472722992","-0.647491142","-0.022367337","-0.589759656","",""
