"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"IA119","Lyon County","Iowa","-16953.9332","2265219.421","0.686743021","283.8929151","1492.08708","2001","IOWA","","","","","","","","","","","0.14","0.54","0.23","0.07","0.02","0.06","0.54","0.32","0.07","0.01","0.05","0.42","0.38","0.12","0.03","0.05","0.46","0.36","0.1","0.03","0.08","0.46","0.32","0.11","0.03","0.11","0.5","0.28","0.08","0.03","0.12","0.5","0.27","0.08","0.03","0.13","0.5","0.25","0.09","0.03","0.11","0.44","0.3","0.11","0.04","0.1","0.45","0.31","0.11","0.03","0.13","0.51","0.26","0.08","0.02","0.11","0.47","0.29","0.11","0.02","0.09","0.42","0.33","0.12","0.04","0.08","0.44","0.3","0.13","0.05","0.09","0.41","0.31","0.13","0.06","0.09","0.42","0.32","0.12","0.05","0.09","0.43","0.32","0.12","0.04","0.11","0.44","0.28","0.12","0.05","0.08","0.45","0.31","0.11","0.05","0.11","0.43","0.28","0.12","0.06","0.11","0.44","0.3","0.11","0.04","29.23349936","2.507947954","40.40198399","66.48516586","50.71699863","5.015366909","13.54172863","1.123082566","71.04101875","6.978640939","52.39881272","72.85836207","16.01577735","52.01225928","72.74290926","8.45179141","35.42696711","52.3234572","75.777094","27.56484569","22.18432646","-0.425798382","0.430842638","-0.867294721","0.341004813","0.042726452","0.124895389","0.024104607","0.764945573","0.66166809","-0.84094792","0.783898878","-0.991439042","-0.338832536","-0.727138246","0.709615503","0.889307017","-0.56863105","0.722778598","-0.830472313","0.68360253","-0.728910925","151.3","100"
"IA119","Lyon County","Iowa","-16953.9332","2265219.421","0.686743021","283.8929151","1492.08708","2002","IOWA","","","","","","","","","","","","","","","","0.06","0.47","0.36","0.09","0.02","0.14","0.6","0.22","0.03","0.01","0.18","0.56","0.22","0.03","0.01","0.21","0.58","0.19","0.02","0","0.24","0.55","0.17","0.03","0.01","0.19","0.47","0.26","0.06","0.02","0.11","0.54","0.22","0.1","0.03","0.14","0.47","0.28","0.09","0.02","0.14","0.45","0.26","0.1","0.05","0.15","0.5","0.23","0.09","0.03","0.15","0.48","0.23","0.1","0.04","0.17","0.42","0.27","0.1","0.04","0.17","0.44","0.25","0.1","0.04","0.2","0.44","0.25","0.08","0.03","0.2","0.45","0.24","0.08","0.03","0.2","0.46","0.23","0.08","0.03","0.21","0.45","0.22","0.09","0.03","0.21","0.46","0.22","0.09","0.02","0.22","0.47","0.2","0.09","0.02","0.23","0.47","0.2","0.09","0.01","10.18609848","32.40742011","66.51798429","70.4684449","75.26658458","43.23912432","4.842405898","9.86870754","11.38393151","13.98971264","59.80506519","74.64839525","4.499070543","49.89131059","59.65653134","22.9517765","65.04126602","43.33619566","59.38239129","59.96335692","61.45425239","0.441256542","-0.799991098","0.959133913","0.856672783","-0.627619713","0.475619887","-0.505928802","-0.422528395","-0.113117972","-0.207327741","-0.241281998","0.487619862","-0.188637585","-0.881841396","-0.27899558","0.363125952","0.215903713","0.262837301","-0.318094159","0.273220929","-0.478799933","152.9","500"
"IA119","Lyon County","Iowa","-16953.9332","2265219.421","0.686743021","283.8929151","1492.08708","2003","IOWA","","","","","","","","","","","","","","","","","","","","","0.18","0.6","0.19","0.02","0.01","0.17","0.6","0.19","0.03","0.01","0.2","0.6","0.16","0.03","0.01","0.23","0.58","0.16","0.03","0","0.25","0.59","0.13","0.02","0.01","0.26","0.56","0.14","0.03","0.01","0.29","0.56","0.11","0.03","0.01","0.3","0.54","0.12","0.03","0.01","0.28","0.54","0.14","0.03","0.01","0.25","0.53","0.17","0.04","0.01","0.24","0.52","0.18","0.05","0.01","0.14","0.49","0.27","0.08","0.02","0.07","0.39","0.35","0.14","0.05","0.03","0.33","0.36","0.2","0.08","0.02","0.27","0.35","0.24","0.12","0.03","0.3","0.37","0.21","0.09","0.04","0.3","0.38","0.2","0.08","0.07","0.33","0.38","0.15","0.07","0.07","0.36","0.36","0.15","0.06","56.59864151","51.75791645","37.9930199","39.74288521","27.51397958","26.73782108","31.17868455","31.30070101","52.72221288","48.32729505","19.00843659","35.00177458","26.61411095","15.64536676","23.48065394","42.51905396","45.80179299","11.43169322","66.90974202","49.11902007","78.51156678","0.571282987","0.920836087","-0.279454998","0.228189589","-0.578786315","-0.608034379","-0.330325928","0.594196478","0.760860054","-0.964384851","0.746084073","0.775280701","0.636279753","-0.407166747","0.712919836","-0.51872184","-0.305784761","-0.712404842","0.734838882","0.292091959","0.395497864","158.3","0"
"IA119","Lyon County","Iowa","-16953.9332","2265219.421","0.686743021","283.8929151","1492.08708","2004","IOWA","","","","","","","","","","","","","","","","0.13","0.57","0.24","0.04","0.02","0.16","0.49","0.25","0.07","0.03","0.12","0.54","0.26","0.06","0.02","0.17","0.53","0.22","0.06","0.02","0.18","0.55","0.19","0.06","0.02","0.19","0.56","0.17","0.06","0.02","0.23","0.52","0.17","0.06","0.02","0.23","0.53","0.17","0.05","0.02","0.26","0.51","0.16","0.05","0.02","0.27","0.52","0.14","0.05","0.02","0.28","0.49","0.17","0.05","0.01","0.3","0.48","0.16","0.05","0.01","0.26","0.48","0.18","0.06","0.02","0.23","0.5","0.19","0.06","0.02","0.21","0.52","0.19","0.06","0.02","0.21","0.49","0.21","0.07","0.02","0.22","0.48","0.19","0.08","0.03","0.24","0.5","0.17","0.07","0.02","0.23","0.51","0.18","0.06","0.02","0.26","0.49","0.18","0.05","0.02","24.04285697","69.15849767","48.70975542","59.52488963","9.497650107","30.6998891","36.71901901","65.95133223","4.518217624","13.1020199","7.826413148","10.16163686","40.88706501","67.90405211","56.98951228","12.48675603","66.03192191","76.79103046","57.49656876","34.31008594","72.68610332","0.61786715","-0.826697299","0.525899319","0.676709532","0.571347303","-0.203725994","0.898694678","-0.293711336","0.012675888","-0.208127015","0.144646171","-0.801605067","0.555653323","0.258875157","0.919259767","-0.112862887","0.999594716","-0.336015191","-0.669573482","0.741604489","-0.880685346","185.9","0"
"IA119","Lyon County","Iowa","-16953.9332","2265219.421","0.686743021","283.8929151","1492.08708","2005","IOWA","","","","","","","","","","","0.11","0.51","0.28","0.07","0.03","0.11","0.51","0.27","0.08","0.03","0.15","0.54","0.23","0.06","0.02","0.21","0.52","0.22","0.04","0.01","0.21","0.57","0.18","0.03","0.01","0.2","0.57","0.18","0.04","0.01","0.24","0.54","0.18","0.03","0.01","0.24","0.52","0.19","0.04","0.01","0.17","0.49","0.25","0.07","0.02","0.21","0.46","0.23","0.08","0.02","0.2","0.48","0.21","0.08","0.03","0.19","0.49","0.2","0.1","0.02","0.19","0.51","0.2","0.07","0.03","0.22","0.46","0.21","0.08","0.03","0.21","0.48","0.2","0.08","0.03","0.22","0.46","0.21","0.08","0.03","0.24","0.43","0.21","0.09","0.03","0.21","0.47","0.21","0.08","0.03","0.21","0.49","0.2","0.07","0.03","0.23","0.5","0.19","0.06","0.02","0.23","0.5","0.19","0.06","0.02","49.98835186","47.5749089","39.00122472","6.983892772","43.06539419","48.79767856","69.11403297","27.46828129","5.052416556","38.03685336","43.57975679","63.60868619","17.03525549","36.49278672","46.56296833","9.01507763","47.27005021","63.66123275","16.99585336","45.44258795","48.99375944","0.362867047","-0.382785905","0.416464132","0.441534223","0.82121761","0.979273863","0.618257023","-0.917939064","0.265852728","0.583085635","-0.377603426","0.291398174","-0.613966792","-0.950559602","-0.100131376","0.242087891","0.778263233","-0.049318787","0.023971266","-0.721025388","0.983835306","185.2","0"
"IA119","Lyon County","Iowa","-16953.9332","2265219.421","0.686743021","283.8929151","1492.08708","2006","IOWA","","","","","","","","","","","0.12","0.56","0.28","0.03","0.01","0.19","0.59","0.2","0.02","0","0.26","0.56","0.16","0.02","0","0.22","0.57","0.18","0.03","0","0.21","0.53","0.2","0.05","0.01","0.24","0.54","0.18","0.03","0.01","0.25","0.52","0.18","0.04","0.01","0.22","0.46","0.23","0.07","0.02","0.17","0.51","0.23","0.06","0.03","0.19","0.43","0.26","0.09","0.03","0.15","0.42","0.26","0.12","0.05","0.18","0.41","0.25","0.11","0.05","0.18","0.46","0.24","0.09","0.03","0.21","0.44","0.24","0.08","0.03","0.2","0.45","0.24","0.08","0.03","0.2","0.45","0.24","0.08","0.03","0.2","0.45","0.24","0.08","0.03","0.21","0.46","0.23","0.07","0.03","0.2","0.46","0.23","0.08","0.03","0.22","0.47","0.21","0.07","0.03","0.23","0.47","0.21","0.06","0.03","2.019332438","46.99106679","27.73174225","24.46411119","47.45394088","7.691927522","31.61834472","48.58228864","75.19219605","6.250722806","18.03985922","24.6449957","16.97656891","11.02630308","67.80324079","78.09960526","39.85017228","53.23922742","46.10999163","23.89264651","14.72146109","0.335266093","-0.797232687","0.110279657","-0.751377383","0.603585909","0.757767141","0.588965039","0.478013931","0.299715427","0.494812314","-0.447728988","0.425675063","-0.338266252","-0.854952415","-0.274338458","0.809964827","-0.744914512","-0.287941143","-0.432653617","0.05682862","-0.009133937","163.9","0"
"IA119","Lyon County","Iowa","-16953.9332","2265219.421","0.686743021","283.8929151","1492.08708","2007","IOWA","","","","","","","","","","","0.17","0.62","0.18","0.02","0.01","0.21","0.59","0.17","0.03","0","0.21","0.58","0.17","0.03","0.01","0.21","0.56","0.18","0.04","0.01","0.21","0.57","0.18","0.03","0.01","0.22","0.56","0.17","0.04","0.01","0.22","0.54","0.19","0.04","0.01","0.19","0.53","0.21","0.05","0.02","0.15","0.48","0.27","0.07","0.03","0.16","0.47","0.27","0.08","0.02","0.15","0.45","0.29","0.08","0.03","0.17","0.44","0.27","0.1","0.02","0.18","0.46","0.26","0.08","0.02","0.19","0.52","0.21","0.06","0.02","0.22","0.48","0.2","0.07","0.03","0.19","0.49","0.22","0.07","0.03","0.19","0.5","0.21","0.07","0.03","0.2","0.52","0.2","0.06","0.02","0.21","0.51","0.2","0.06","0.02","0.21","0.53","0.19","0.05","0.02","0.24","0.49","0.19","0.06","0.02","5.317048019","22.12846118","31.5657793","9.024898662","54.60363481","50.12879532","7.676068903","76.94090486","26.09935077","47.2483557","5.742653434","40.07945256","24.74817762","40.66808542","21.16092063","74.87191811","26.35827967","59.49692255","32.97380102","41.32321177","74.24961032","-0.02476097","-0.449154533","0.851050415","0.559783251","0.780519669","-0.881382046","-0.651630022","0.624723002","-0.305116202","-0.589092078","0.596338336","-0.305852269","-0.255803569","-0.396627411","0.62403155","0.990307146","0.796317619","0.564430335","-0.303619656","0.122682274","-0.92487377","163.7","500"
"IA119","Lyon County","Iowa","-16953.9332","2265219.421","0.686743021","283.8929151","1492.08708","2008","IOWA","","","","","","","","","","","","","","","","","","","","","0.11","0.55","0.29","0.04","0.01","0.09","0.47","0.34","0.08","0.02","0.07","0.42","0.36","0.11","0.04","0.09","0.41","0.35","0.11","0.04","0.1","0.43","0.32","0.11","0.04","0.12","0.45","0.3","0.1","0.03","0.13","0.45","0.3","0.09","0.03","0.14","0.48","0.28","0.08","0.02","0.15","0.44","0.29","0.09","0.03","0.16","0.48","0.26","0.08","0.02","0.17","0.49","0.25","0.07","0.02","0.19","0.5","0.22","0.07","0.02","0.16","0.49","0.25","0.08","0.02","0.15","0.48","0.26","0.09","0.02","0.14","0.47","0.27","0.09","0.03","0.15","0.48","0.25","0.09","0.03","0.13","0.48","0.27","0.09","0.03","0.15","0.47","0.27","0.09","0.02","0.14","0.47","0.27","0.09","0.03","79.20782848","8.045245609","65.27637961","39.86370995","11.10278041","13.28001918","42.44031324","20.28321537","13.45069364","79.96288567","3.153013243","26.05921096","17.13321224","69.78645326","51.27479197","50.41207838","74.0915985","52.63216721","16.16650925","69.51782616","65.83456767","-0.342430192","0.425735891","0.268660203","-0.07152423","0.558187144","0.547347044","-0.51665925","-0.415643605","-0.425250102","-0.66934346","0.725019041","0.139865014","-0.017039108","-0.927674001","-0.463977994","-0.58987499","0.984444074","-0.659088849","-0.844891739","0.588051801","0.846545855","190","500"
"IA119","Lyon County","Iowa","-16953.9332","2265219.421","0.686743021","283.8929151","1492.08708","2009","IOWA","","","","","","","","","","","","","","","","","","","","","0.17","0.62","0.19","0.02","","0.19","0.62","0.17","0.02","","0.2","0.58","0.19","0.02","0.01","0.23","0.58","0.16","0.02","0.01","0.25","0.56","0.15","0.03","0.01","0.27","0.55","0.14","0.03","0.01","0.27","0.52","0.16","0.04","0.01","0.28","0.52","0.16","0.03","0.01","0.26","0.54","0.15","0.04","0.01","0.29","0.49","0.15","0.05","0.02","0.28","0.5","0.16","0.04","0.02","0.27","0.5","0.15","0.05","0.03","0.28","0.51","0.14","0.05","0.02","0.27","0.49","0.15","0.06","0.03","0.25","0.51","0.16","0.05","0.03","0.26","0.49","0.17","0.05","0.03","0.26","0.49","0.17","0.06","0.02","0.23","0.52","0.16","0.06","0.03","0.24","0.51","0.17","0.05","0.03","35.2284115","23.76539751","22.61482941","36.21845785","54.19516797","12.97082187","7.643971576","55.08348559","18.61488306","39.71891809","61.04547571","10.39277932","70.07637023","16.70378878","51.75317072","31.77121991","3.450246008","49.56019246","4.881137184","51.44622838","25.59420127","-0.006172051","0.571552296","-0.198389608","0.422052532","-0.702411714","-0.433962746","-0.018392626","0.980091328","0.889211662","0.012392188","0.578304694","0.751609972","-0.667280613","0.474353135","0.299443651","-0.134367311","0.697705626","-0.955031278","-0.274753037","-0.041427351","0.900990715","192.8","0"
"IA119","Lyon County","Iowa","-16953.9332","2265219.421","0.686743021","283.8929151","1492.08708","2010","IOWA","","","","","","0.05","0.5","0.36","0.07","0.02","0.11","0.54","0.28","0.05","0.02","0.2","0.54","0.21","0.04","0.01","0.23","0.55","0.17","0.04","0.01","0.22","0.54","0.18","0.04","0.02","0.23","0.52","0.18","0.05","0.02","0.22","0.5","0.19","0.06","0.03","0.18","0.47","0.23","0.08","0.04","0.2","0.51","0.19","0.07","0.03","0.21","0.48","0.2","0.08","0.03","0.27","0.43","0.2","0.07","0.03","0.27","0.43","0.19","0.08","0.03","0.25","0.45","0.19","0.08","0.03","0.25","0.43","0.2","0.08","0.04","0.24","0.43","0.21","0.08","0.04","0.25","0.44","0.2","0.07","0.04","0.23","0.46","0.2","0.08","0.03","0.23","0.45","0.2","0.08","0.04","0.21","0.47","0.2","0.08","0.04","0.22","0.45","0.2","0.09","0.04","0.21","0.46","0.21","0.08","0.04","0.23","0.47","0.19","0.07","0.04","35.32626706","68.8832061","26.64115685","11.3305624","19.46203732","6.435969719","37.68859277","75.47725793","57.55629065","57.76615261","11.62000014","36.16507136","19.26300169","77.03555877","1.013704404","52.08845929","14.92531482","38.69723957","48.49712131","3.218205867","9.974217065","0.17382068","0.629776863","-0.718536845","0.702443208","0.004637611","-0.557839071","-0.031935932","0.11824659","0.231534763","0.40306261","-0.97552351","0.5945758","-0.263373498","-0.612757995","0.784864323","0.31479715","0.445199935","-0.559988816","0.438290339","0.961182291","0.54076806","195.2","500"
