"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"KS023","Cheyenne County","Kansas","-486129.0772","1877639.059","0.227700768","277.8433786","665.7894253","2001","KANSAS","","","","","","","","","","","0.12","0.66","0.21","0.01","0","0.11","0.7","0.17","0.02","0","0.11","0.72","0.14","0.03","0","0.15","0.67","0.16","0.02","0","0.14","0.63","0.2","0.03","0","0.17","0.66","0.14","0.03","0","0.18","0.6","0.18","0.04","0","0.11","0.55","0.27","0.05","0.02","0.1","0.44","0.36","0.07","0.03","0.09","0.45","0.31","0.11","0.04","0.1","0.47","0.26","0.1","0.07","0.09","0.41","0.33","0.11","0.06","0.08","0.43","0.33","0.1","0.06","0.09","0.42","0.3","0.13","0.06","0.08","0.38","0.34","0.11","0.09","0.1","0.44","0.29","0.09","0.08","0.08","0.4","0.32","0.13","0.07","0.05","0.4","0.32","0.14","0.09","0.08","0.4","0.33","0.12","0.07","0.08","0.4","0.35","0.1","0.07","0.08","0.4","0.35","0.1","0.07","7.708709117","44.48789354","41.56273088","9.293943075","49.93118263","21.59477343","73.06629692","8.223411691","25.30713822","35.35975482","29.36176397","79.172304","4.672972546","38.36825589","28.14436385","57.76847706","60.68721807","36.92953518","64.40350353","45.36157908","74.70012555","0.785920711","0.957657766","-0.622574868","0.631577238","-0.433818359","0.47990908","0.440331706","0.268641","-0.868958763","-0.226985841","-0.571586253","-0.950264794","-0.00030217","0.648265904","-0.445157687","0.43614435","-0.154816817","-0.872680595","0.464779864","0.543911072","0.319733361","124","300"
"KS023","Cheyenne County","Kansas","-486129.0772","1877639.059","0.227700768","277.8433786","665.7894253","2002","KANSAS","","","","","","","","","","","","","","","","0.03","0.44","0.45","0.06","0.02","0.03","0.45","0.42","0.08","0.02","0.04","0.48","0.41","0.06","0.01","0.04","0.54","0.36","0.05","0.01","0.07","0.52","0.33","0.07","0.01","0.06","0.46","0.37","0.1","0.01","0.05","0.39","0.37","0.14","0.05","0.06","0.3","0.35","0.2","0.09","0.04","0.27","0.34","0.22","0.13","0.03","0.25","0.28","0.26","0.18","0.01","0.2","0.29","0.28","0.22","0.01","0.17","0.34","0.27","0.21","0.01","0.15","0.34","0.27","0.23","0.01","0.14","0.32","0.29","0.24","0.01","0.1","0.35","0.31","0.23","0.01","0.12","0.32","0.29","0.26","0.02","0.12","0.33","0.29","0.24","0.01","0.12","0.39","0.27","0.21","0.01","0.12","0.33","0.29","0.25","0.01","0.12","0.33","0.29","0.25","22.19347963","16.58860654","4.800007546","72.49725409","66.40874879","24.04449666","60.94760788","52.9145289","53.05752429","4.857209842","68.80841329","43.30469687","39.89059612","43.34566264","8.910887238","75.42158769","39.57278826","47.6606756","30.11809123","63.29770275","21.21038739","-0.654381405","-0.147595356","-0.045722893","-0.703466046","0.789811742","0.188724707","0.81322314","0.34845921","-0.514380693","0.04198972","0.810490102","0.406194649","0.855429454","-0.053534293","-0.782806949","-0.936540868","0.544376698","-0.723590812","0.839468739","0.276343859","0.435869383","119","800"
"KS023","Cheyenne County","Kansas","-486129.0772","1877639.059","0.227700768","277.8433786","665.7894253","2003","KANSAS","","","","","","","","","","","","","","","","","","","","","0.06","0.57","0.34","0.03","0","0.1","0.53","0.33","0.04","0","0.07","0.54","0.32","0.06","0.01","0.08","0.59","0.29","0.03","0.01","0.11","0.6","0.25","0.03","0.01","0.13","0.57","0.26","0.04","0","0.11","0.56","0.24","0.08","0.01","0.09","0.42","0.33","0.12","0.04","0.09","0.27","0.33","0.21","0.1","0.03","0.19","0.37","0.29","0.12","0.03","0.2","0.35","0.26","0.16","0.04","0.19","0.31","0.27","0.19","0.01","0.16","0.28","0.31","0.24","0.03","0.17","0.33","0.28","0.19","0.02","0.15","0.29","0.29","0.25","0.03","0.14","0.31","0.28","0.24","0.03","0.14","0.33","0.27","0.23","0.03","0.18","0.34","0.25","0.2","0.03","0.18","0.34","0.25","0.2","79.73749684","10.86100573","30.94801616","35.55992688","55.72674558","6.009357926","53.06068891","27.90696973","48.10453792","10.50364768","72.44331012","33.18261457","60.87262101","49.20134612","1.73528331","43.27619829","42.09609369","10.04022002","35.75663211","37.13156558","59.78555891","-0.755424956","-0.951696603","0.709363387","-0.330774515","-0.906794839","0.405893465","-0.666156981","-0.899945876","-0.32755955","-0.752113284","0.748391454","0.339450466","-0.99630059","0.207296826","-0.830949304","-0.935612614","0.796276338","-0.192006422","0.605045122","0.907162079","0.6460531","140","400"
"KS023","Cheyenne County","Kansas","-486129.0772","1877639.059","0.227700768","277.8433786","665.7894253","2004","KANSAS","","","","","","","","","","","","","","","","0.08","0.45","0.41","0.06","0","0.07","0.39","0.46","0.08","0","0.06","0.42","0.45","0.07","0","0.05","0.42","0.44","0.08","0.01","0.13","0.46","0.34","0.06","0.01","0.15","0.5","0.29","0.05","0.01","0.16","0.51","0.24","0.08","0.01","0.2","0.56","0.2","0.03","0.01","0.2","0.57","0.18","0.04","0.01","0.22","0.58","0.15","0.05","0","0.23","0.56","0.16","0.04","0.01","0.24","0.59","0.14","0.03","0","0.25","0.55","0.16","0.03","0.01","0.22","0.53","0.18","0.06","0.01","0.26","0.5","0.16","0.06","0.02","0.22","0.5","0.19","0.07","0.02","0.22","0.5","0.17","0.07","0.04","0.25","0.49","0.16","0.07","0.03","0.22","0.48","0.18","0.08","0.04","0.26","0.47","0.16","0.07","0.04","21.5971725","16.12287074","51.10090421","43.18196681","42.39484847","63.22132497","46.5971604","31.15539112","28.64859036","39.81883936","11.59046494","44.98656595","74.2829671","1.768158868","26.935755","26.632694","20.36572662","25.94183766","36.81839155","27.86980117","51.54921131","-0.902239542","-0.24252084","0.430209684","-0.008830748","0.196977368","-0.241617344","0.050161019","0.505582872","-0.816505596","0.054668695","0.591560688","0.493151145","0.524495388","-0.752219974","0.109748379","0.637231542","-0.922572127","-0.395003719","0.269940372","-0.901199326","-0.290947609","172","600"
"KS023","Cheyenne County","Kansas","-486129.0772","1877639.059","0.227700768","277.8433786","665.7894253","2005","KANSAS","","","","","","","","","","","0.05","0.56","0.34","0.05","0","0.06","0.54","0.37","0.03","0","0.05","0.55","0.36","0.03","0.01","0.08","0.53","0.37","0.02","0","0.11","0.55","0.29","0.05","0","0.1","0.58","0.28","0.04","0","0.1","0.62","0.24","0.04","0","0.1","0.57","0.27","0.05","0.01","0.1","0.51","0.31","0.07","0.01","0.08","0.51","0.3","0.09","0.02","0.09","0.45","0.33","0.11","0.02","0.07","0.46","0.32","0.12","0.03","0.07","0.45","0.33","0.12","0.03","0.05","0.46","0.33","0.12","0.04","0.04","0.41","0.37","0.14","0.04","0.05","0.43","0.34","0.14","0.04","0.05","0.43","0.37","0.11","0.04","0.03","0.37","0.42","0.14","0.04","0.05","0.47","0.34","0.11","0.03","0.05","0.48","0.32","0.11","0.04","0.05","0.48","0.32","0.11","0.04","7.596294534","42.09530879","76.35593196","52.43062384","59.89506398","47.31591706","26.38241462","74.12165187","46.61226832","74.89805617","18.18820315","51.44870516","41.96777839","31.38631363","57.49238952","9.25117981","75.71648473","62.60310451","13.1456914","28.28600427","41.11609689","0.545787209","-0.965695459","-0.726468355","0.943799544","0.875919545","0.320688739","0.215402694","-0.821823296","0.580050184","-0.508046261","0.527749709","0.269871577","0.255697876","0.842310755","0.795691259","-0.739032369","-0.193290668","0.017066139","0.330530796","-0.688585256","-0.65744646","141","100"
"KS023","Cheyenne County","Kansas","-486129.0772","1877639.059","0.227700768","277.8433786","665.7894253","2006","KANSAS","","","","","","","","","","","0.04","0.6","0.33","0.03","0","0.05","0.47","0.44","0.04","0","0.06","0.59","0.32","0.03","0","0.09","0.54","0.33","0.03","0.01","0.09","0.56","0.3","0.05","0","0.13","0.57","0.24","0.05","0.01","0.05","0.57","0.29","0.07","0.02","0.08","0.49","0.31","0.09","0.03","0.09","0.45","0.34","0.09","0.03","0.09","0.41","0.33","0.13","0.04","0.07","0.34","0.32","0.18","0.09","0.05","0.29","0.34","0.2","0.12","0.07","0.25","0.36","0.21","0.11","0.06","0.25","0.33","0.22","0.14","0.06","0.28","0.34","0.2","0.12","0.04","0.25","0.4","0.2","0.11","0.06","0.3","0.36","0.19","0.09","0.06","0.3","0.37","0.18","0.09","0.05","0.24","0.36","0.21","0.14","0.05","0.27","0.41","0.19","0.08","0.05","0.27","0.41","0.19","0.08","69.829493","32.86931868","59.1250196","33.20229444","11.45469027","52.89574511","32.82846662","13.45144921","11.45356914","67.26372672","78.49044212","19.79777077","46.6102143","1.793975602","7.633410356","16.35230042","11.17212752","17.82969171","18.57248902","31.52857204","53.15292764","0.142524112","0.050720897","-0.090386352","0.979887817","-0.867666709","0.332846762","0.82014451","-0.871546642","-0.508780482","0.594945331","0.239052676","0.930972483","0.18611259","-0.136156804","-0.874229467","-0.939554943","0.590517158","0.626430003","-0.154093675","0.833940933","0.073286816","146","600"
"KS023","Cheyenne County","Kansas","-486129.0772","1877639.059","0.227700768","277.8433786","665.7894253","2007","KANSAS","","","","","","","","","","","0.1","0.63","0.24","0.03","0","0.1","0.59","0.25","0.05","0.01","0.08","0.61","0.25","0.06","0","0.11","0.66","0.19","0.04","0","0.09","0.62","0.23","0.06","0","0.11","0.61","0.21","0.05","0.02","0.14","0.57","0.23","0.04","0.02","0.16","0.5","0.28","0.04","0.02","0.18","0.53","0.2","0.07","0.02","0.16","0.48","0.25","0.08","0.03","0.13","0.58","0.21","0.06","0.02","0.13","0.48","0.3","0.08","0.01","0.1","0.47","0.31","0.1","0.02","0.11","0.48","0.3","0.1","0.01","0.15","0.47","0.28","0.08","0.02","0.13","0.5","0.28","0.08","0.01","0.13","0.48","0.29","0.08","0.02","0.14","0.53","0.24","0.08","0.01","0.13","0.48","0.29","0.09","0.01","0.18","0.48","0.27","0.06","0.01","0.18","0.48","0.27","0.06","0.01","62.59015865","68.8312923","29.75005924","3.769019126","79.46160357","29.01353283","23.02057658","43.88008446","53.38198188","12.7189513","2.928064529","26.3614366","5.190838317","52.43113562","13.32027603","41.19203094","27.9927378","45.49515598","48.47384227","2.722168484","28.27462101","0.326397598","0.056778518","0.781905666","0.41589436","0.359157222","-0.205858035","0.280166445","0.30238786","0.973640458","0.732892665","0.865257603","-0.295805624","0.485086528","-0.055455767","-0.870898902","0.582028171","0.929453721","0.109745805","-0.529711619","0.950064307","0.91320547","151","200"
"KS023","Cheyenne County","Kansas","-486129.0772","1877639.059","0.227700768","277.8433786","665.7894253","2008","KANSAS","","","","","","","","","","","","","","","","","","","","","0.07","0.52","0.34","0.06","0.01","0.05","0.46","0.39","0.09","0.01","0.04","0.48","0.37","0.09","0.02","0.05","0.44","0.4","0.09","0.02","0.08","0.51","0.33","0.07","0.01","0.07","0.49","0.33","0.09","0.02","0.09","0.51","0.31","0.08","0.01","0.08","0.45","0.36","0.1","0.01","0.1","0.46","0.32","0.1","0.02","0.07","0.46","0.34","0.1","0.03","0.08","0.41","0.37","0.1","0.04","0.1","0.41","0.37","0.09","0.03","0.1","0.47","0.34","0.07","0.02","0.09","0.42","0.36","0.09","0.04","0.1","0.48","0.32","0.08","0.02","0.1","0.49","0.3","0.08","0.03","0.08","0.44","0.35","0.1","0.03","0.08","0.5","0.3","0.1","0.02","0.09","0.46","0.34","0.09","0.02","47.24404103","13.73348143","53.05154194","16.09013912","2.295885074","54.5660608","12.24787634","41.45927737","33.59814757","3.568047973","56.20331075","74.48113972","14.66125626","17.95150399","74.78822445","78.58610433","30.59764893","45.89226201","47.64494118","71.6880082","48.77855447","-0.274209167","-0.967122666","0.653077482","0.797459166","-0.780625499","0.423660471","-0.971649776","-0.187659402","0.931661905","0.937929479","0.265375669","0.52058067","-0.511432508","-0.773106448","0.081530991","-0.490974105","-0.824309529","-0.906229579","0.570922069","-0.642020746","0.621331658","",""
"KS023","Cheyenne County","Kansas","-486129.0772","1877639.059","0.227700768","277.8433786","665.7894253","2009","KANSAS","","","","","","","","","","","","","","","","","","","","","0.11","0.55","0.28","0.05","0.01","0.13","0.5","0.3","0.06","0.01","0.16","0.5","0.27","0.05","0.02","0.16","0.53","0.27","0.03","0.01","0.14","0.53","0.28","0.04","0.01","0.16","0.52","0.25","0.05","0.02","0.18","0.5","0.25","0.05","0.02","0.19","0.52","0.25","0.03","0.01","0.18","0.56","0.19","0.05","0.02","0.19","0.48","0.26","0.05","0.02","0.2","0.44","0.27","0.07","0.02","0.15","0.46","0.28","0.08","0.03","0.19","0.52","0.2","0.06","0.03","0.19","0.48","0.24","0.06","0.03","0.2","0.48","0.25","0.05","0.02","0.2","0.48","0.25","0.05","0.02","0.2","0.5","0.2","0.07","0.03","0.19","0.5","0.22","0.07","0.02","0.22","0.49","0.21","0.06","0.02","49.60182918","10.38088889","11.28168683","33.2876353","2.525975686","20.96386323","67.17039315","39.23904689","70.48636479","61.86607851","69.33436606","1.453690897","79.76846432","20.37350113","51.63299183","66.70929986","74.99254608","75.84096671","41.73342551","57.48230927","11.72371902","0.136441365","-0.39463829","-0.255768412","0.727239027","0.957512358","-0.109038634","0.928714293","-0.892549033","-0.040478571","0.420021977","0.228836442","0.972167268","-0.296200766","0.095322269","0.945634923","-0.870249891","-0.469911875","0.574475178","-0.406155952","-0.309576826","0.127535726","",""
"KS023","Cheyenne County","Kansas","-486129.0772","1877639.059","0.227700768","277.8433786","665.7894253","2010","KANSAS","","","","","","0.07","0.66","0.25","0.02","","0.06","0.65","0.25","0.03","0.01","0.05","0.67","0.25","0.03","","0.07","0.64","0.25","0.03","0.01","0.09","0.66","0.21","0.03","0.01","0.11","0.61","0.24","0.03","0.01","0.11","0.6","0.23","0.05","0.01","0.11","0.6","0.24","0.04","0.01","0.14","0.6","0.2","0.05","0.01","0.13","0.57","0.23","0.05","0.02","0.14","0.58","0.22","0.05","0.01","0.15","0.53","0.25","0.05","0.02","0.13","0.5","0.28","0.07","0.02","0.13","0.48","0.28","0.08","0.03","0.12","0.49","0.28","0.09","0.02","0.11","0.48","0.28","0.1","0.03","0.11","0.5","0.27","0.09","0.03","0.12","0.49","0.27","0.09","0.03","0.11","0.48","0.28","0.1","0.03","0.11","0.48","0.29","0.09","0.03","0.11","0.48","0.29","0.09","0.03","0.11","0.48","0.29","0.09","0.03","51.33990041","62.92120343","11.91528134","38.39764664","73.14436744","79.01395034","59.37077254","4.045966302","61.56924939","73.24230008","19.98115541","60.55880068","43.14567906","45.49884151","23.82852788","71.05089309","10.48248694","61.53431482","52.1505211","79.95936518","14.66793708","0.532856718","0.217441842","0.576024979","0.806148955","0.227778662","0.295467232","0.595551406","0.662026947","-0.775018069","-0.656348985","0.207437986","0.613748493","-0.299812135","0.04646014","0.6600613","0.31325705","0.073317098","0.341377145","-0.684294103","0.254098609","-0.856810916","144.3","0"
