"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"KY603","Boone","Campbell","978395.0474","1828512.272","0.340967814","118.3570881","751.130938","2001","KENTUCKY","","","","","","","","","","","0.08","0.44","0.37","0.08","0.03","0.11","0.54","0.28","0.05","0.02","0.16","0.58","0.21","0.04","0.01","0.2","0.55","0.23","0.02","0","0.28","0.56","0.14","0.02","0","0.25","0.57","0.15","0.03","0","0.21","0.59","0.16","0.04","0","0.21","0.58","0.17","0.04","0","0.21","0.58","0.17","0.04","0","0.23","0.47","0.22","0.06","0.02","0.29","0.54","0.14","0.03","0","0.28","0.53","0.17","0.02","0","0.3","0.45","0.2","0.04","0.01","0.32","0.47","0.18","0.02","0.01","0.29","0.5","0.17","0.03","0.01","0.29","0.51","0.17","0.03","0","0.34","0.47","0.16","0.02","0.01","0.33","0.47","0.17","0.02","0.01","0.33","0.47","0.17","0.02","0.01","0.33","0.47","0.17","0.02","0.01","0.33","0.47","0.17","0.02","0.01","47.57647549","52.22459057","14.48750163","42.68357328","51.54873472","45.43320368","49.46154575","60.12168917","65.03463561","67.76817678","69.49233466","6.741068454","25.25176851","41.8258727","6.33090446","35.17257882","3.826583708","29.03489895","29.66376924","13.24192151","56.10187072","-0.628099145","0.34464371","0.940471362","-0.005359383","-0.114199558","0.902279975","-0.027076402","0.906896133","-0.886900783","-0.987086006","0.944788738","-0.868814192","-0.859990244","0.410558474","0.380536149","-0.688009686","-0.532635086","0.013776801","-0.990903231","0.739901995","0.222713144","","300"
"KY603","Boone","Campbell","978395.0474","1828512.272","0.340967814","118.3570881","751.130938","2002","KENTUCKY","","","","","","","","","","","","","","","","0.15","0.45","0.27","0.11","0.02","0.14","0.48","0.26","0.1","0.02","0.2","0.52","0.22","0.05","0.01","0.25","0.53","0.18","0.04","0","0.19","0.52","0.23","0.05","0.01","0.15","0.48","0.28","0.09","0","0.17","0.46","0.28","0.08","0.01","0.16","0.4","0.31","0.1","0.03","0.13","0.48","0.32","0.06","0.01","0.13","0.41","0.31","0.13","0.02","0.11","0.33","0.28","0.21","0.07","0.07","0.26","0.36","0.23","0.08","0.07","0.33","0.34","0.21","0.05","0.07","0.3","0.32","0.22","0.09","0.08","0.34","0.35","0.16","0.07","0.06","0.27","0.34","0.23","0.1","0.07","0.3","0.33","0.22","0.08","0.07","0.3","0.33","0.22","0.08","0.07","0.3","0.33","0.22","0.08","0.07","0.3","0.33","0.22","0.08","28.68444706","50.52104041","32.50318312","6.44353315","36.41438575","19.30092479","14.9407962","67.73428598","1.791646204","59.19132097","45.53564054","65.91960917","6.629799845","73.26965548","26.88034342","27.20057901","51.00125867","56.79360977","36.40826699","35.07552505","73.64096861","-0.116885083","0.737624069","0.058967385","0.230647902","-0.977357467","-0.902599729","-0.518574029","-0.883840665","-0.987465365","0.109949004","-0.014748162","0.641500555","0.184342866","-0.263494831","0.370935974","0.00711291","-0.704752251","-0.947196084","-0.908270935","0.724337898","0.678662611","","100"
"KY603","Boone","Campbell","978395.0474","1828512.272","0.340967814","118.3570881","751.130938","2003","KENTUCKY","","","","","","","","","","","","","","","","","","","","","0.12","0.41","0.33","0.11","0.03","0.17","0.41","0.3","0.09","0.03","0.16","0.39","0.29","0.13","0.03","0.18","0.38","0.31","0.1","0.03","0.13","0.6","0.22","0.04","0.01","0.24","0.43","0.25","0.07","0.01","0.26","0.4","0.23","0.09","0.02","0.21","0.38","0.26","0.12","0.03","0.25","0.42","0.22","0.09","0.02","0.26","0.37","0.28","0.08","0.01","0.29","0.39","0.25","0.06","0.01","0.29","0.43","0.22","0.05","0.01","0.27","0.37","0.28","0.06","0.02","0.31","0.42","0.2","0.05","0.02","0.29","0.4","0.26","0.04","0.01","0.35","0.43","0.17","0.04","0.01","0.37","0.37","0.21","0.04","0.01","0.37","0.37","0.21","0.04","0.01","0.37","0.37","0.21","0.04","0.01","64.38959413","51.48666525","34.78261616","24.41697506","35.96433536","25.95094314","61.35737937","76.64130455","59.25766896","39.83690743","42.41502044","68.15678575","7.688392076","10.68572068","13.58289463","24.49675234","60.00342831","53.84421927","17.23200621","12.65144154","33.58794025","-0.035369103","-0.368490896","0.121196099","0.611846563","-0.529195988","0.645050584","-0.717198696","-0.174242938","0.376243242","0.135715006","0.943307641","0.18816504","-0.407781945","-0.354261108","0.952140433","0.791373164","0.306388896","-0.157665583","0.744606522","-0.461103349","0.241677291","","100"
"KY603","Boone","Campbell","978395.0474","1828512.272","0.340967814","118.3570881","751.130938","2004","KENTUCKY","","","","","","","","","","","","","","","","0.24","0.48","0.21","0.05","0.02","0.23","0.4","0.28","0.08","0.01","0.18","0.41","0.22","0.11","0.08","0.23","0.43","0.21","0.09","0.04","0.23","0.42","0.25","0.08","0.02","0.26","0.49","0.18","0.06","0.01","0.24","0.5","0.17","0.08","0.01","0.36","0.42","0.17","0.05","0","0.33","0.46","0.18","0.03","0","0.38","0.42","0.17","0.03","0","0.41","0.39","0.15","0.04","0.01","0.32","0.49","0.14","0.05","0","0.35","0.48","0.13","0.04","0","0.36","0.41","0.16","0.06","0.01","0.37","0.46","0.13","0.04","0","0.35","0.46","0.15","0.04","0","0.39","0.45","0.12","0.04","0","0.42","0.4","0.14","0.03","0.01","0.42","0.4","0.14","0.03","0.01","0.42","0.4","0.14","0.03","0.01","30.21685239","32.5699448","59.81246","13.95677468","37.3543551","49.59161013","42.7143418","69.63113373","62.86092679","28.78184325","79.89255439","14.30675365","39.28441783","57.72238596","69.27418048","65.12391288","55.85737368","47.39846451","58.06895037","6.890155262","67.790896","0.235118843","0.451091604","0.438008777","0.793248525","-0.033717999","-0.109455661","-0.92517689","-0.110457926","0.169943424","-0.532766917","0.04574884","-0.519289244","0.354750245","0.872078375","0.175567578","-0.871808581","-0.558914805","-0.217022354","-0.219683079","0.40304552","0.151960742","","700"
"KY603","Boone","Campbell","978395.0474","1828512.272","0.340967814","118.3570881","751.130938","2005","KENTUCKY","","","","","","","","","","","0.2","0.54","0.23","0.03","0","0.16","0.54","0.28","0.02","0","0.18","0.53","0.25","0.03","0.01","0.28","0.49","0.19","0.03","0.01","0.29","0.52","0.16","0.03","0","0.22","0.49","0.23","0.05","0.01","0.21","0.41","0.29","0.07","0.02","0.12","0.39","0.32","0.13","0.04","0.18","0.43","0.25","0.1","0.04","0.21","0.4","0.3","0.07","0.02","0.22","0.38","0.28","0.07","0.05","0.14","0.4","0.3","0.11","0.05","0.11","0.37","0.3","0.14","0.08","0.14","0.37","0.31","0.12","0.06","0.15","0.41","0.28","0.12","0.04","0.11","0.47","0.3","0.08","0.04","0.18","0.43","0.24","0.11","0.04","0.18","0.39","0.26","0.13","0.04","0.18","0.39","0.26","0.13","0.04","0.18","0.39","0.26","0.13","0.04","0.18","0.39","0.26","0.13","0.04","74.62167339","53.20467466","61.75261932","61.7927204","50.26463263","57.60347387","24.95229084","30.02153163","22.59983623","75.05974508","10.09827352","3.367133612","74.27685577","5.050625924","37.71803826","20.84922801","22.48743057","42.95148488","48.41755352","38.11614231","35.75452815","-0.315140183","-0.814014999","-0.806062254","0.154410898","0.596048526","-0.613475661","0.485826565","-0.798966474","0.366401152","-0.95846608","-0.932905095","0.191735475","-0.665958595","0.34375593","-0.409934545","-0.597506341","-0.816129398","0.059985939","0.76344033","-0.409650854","0.429905259","","800"
"KY603","Boone","Campbell","978395.0474","1828512.272","0.340967814","118.3570881","751.130938","2006","KENTUCKY","","","","","","","","","","","0.15","0.54","0.27","0.04","0","0.33","0.43","0.2","0.04","0","0.26","0.55","0.14","0.04","0.01","0.28","0.5","0.18","0.03","0.01","0.28","0.5","0.18","0.03","0.01","0.33","0.51","0.13","0.03","0","0.38","0.42","0.16","0.03","0.01","0.38","0.41","0.16","0.05","0","0.38","0.47","0.13","0.02","0","0.5","0.35","0.09","0.06","0","0.42","0.43","0.12","0.02","0.01","0.42","0.45","0.09","0.04","0","0.38","0.48","0.1","0.04","0","0.42","0.43","0.11","0.03","0.01","0.38","0.44","0.16","0.02","0","0.42","0.44","0.11","0.02","0.01","0.45","0.41","0.11","0.03","0","0.5","0.35","0.12","0.03","0","0.5","0.35","0.12","0.03","0","0.5","0.35","0.12","0.03","0","0.5","0.35","0.12","0.03","0","35.08307868","42.66374893","13.7583073","35.68952103","52.92911135","44.7002772","13.08158855","10.68502557","30.0739317","61.58982759","51.47392032","53.56134719","72.64174246","35.58082175","31.31545482","68.76223265","12.53771956","75.85922716","4.128643817","2.570882692","60.87673112","0.305297743","0.429313557","-0.623091835","0.23751783","-0.607155408","-0.762642935","-0.26991491","-0.909759262","0.498090356","-0.306691599","0.520374885","-0.306287625","-0.976057599","-0.831058318","-0.319287863","-0.254288395","0.565266599","0.425697415","-0.732201694","-0.518927616","-0.515200599","","400"
"KY603","Boone","Campbell","978395.0474","1828512.272","0.340967814","118.3570881","751.130938","2007","KENTUCKY","","","","","","","","","","","0.25","0.57","0.17","0.01","0","0.19","0.54","0.23","0.03","0.01","0.16","0.43","0.31","0.08","0.02","0.13","0.51","0.22","0.11","0.03","0.06","0.37","0.31","0.2","0.06","0.09","0.4","0.3","0.14","0.07","0.16","0.44","0.2","0.11","0.09","0.16","0.43","0.24","0.11","0.06","0.2","0.36","0.25","0.1","0.09","0.23","0.36","0.24","0.1","0.07","0.26","0.35","0.25","0.08","0.06","0.22","0.42","0.21","0.09","0.06","0.09","0.45","0.26","0.14","0.06","0.09","0.43","0.24","0.17","0.07","0.06","0.42","0.27","0.18","0.07","0.07","0.32","0.27","0.19","0.15","0.14","0.38","0.24","0.17","0.07","0.25","0.34","0.22","0.13","0.06","0.25","0.34","0.22","0.13","0.06","0.25","0.34","0.22","0.13","0.06","0.25","0.34","0.22","0.13","0.06","42.33668324","78.271982","20.78965083","19.38307637","74.14548001","7.25557733","42.40376202","42.682002","70.80560923","68.45526698","54.88053471","59.38409095","79.74067921","39.00610374","40.40459015","20.6141024","17.89948684","76.44082908","72.83063394","41.72702934","48.73877189","0.541476346","-0.437284539","0.81935695","-0.447378039","-0.25523336","0.101064703","0.888904101","0.544483805","-0.847080797","0.444811004","-0.816636314","0.206225734","-0.662256355","0.382114136","0.602324512","0.203296816","0.746720961","-0.881550799","0.570471564","-0.834209831","0.823261027","","0"
"KY603","Boone","Campbell","978395.0474","1828512.272","0.340967814","118.3570881","751.130938","2008","KENTUCKY","","","","","","","","","","","","","","","","","","","","","0.15","0.59","0.2","0.06","0","0.16","0.61","0.18","0.05","0","0.26","0.54","0.16","0.04","0","0.31","0.56","0.11","0.02","0","0.23","0.55","0.18","0.04","0","0.22","0.54","0.2","0.03","0.01","0.35","0.48","0.14","0.02","0.01","0.35","0.48","0.13","0.03","0.01","0.26","0.49","0.19","0.05","0.01","0.33","0.41","0.18","0.07","0.01","0.33","0.41","0.18","0.07","0.01","0.19","0.48","0.25","0.07","0.01","0.17","0.43","0.3","0.09","0.01","0.17","0.42","0.29","0.11","0.01","0.25","0.4","0.28","0.06","0.01","0.28","0.39","0.21","0.1","0.02","0.21","0.36","0.29","0.12","0.02","0.18","0.34","0.31","0.14","0.03","0.22","0.35","0.31","0.11","0.01","72.47808538","25.67059578","20.00186116","4.768351738","48.73042307","78.51264692","48.14235359","66.02866618","45.89552917","71.32099184","10.13779271","12.82045404","54.23944777","44.74329646","46.13098201","59.2922989","25.12578596","63.25518549","79.02770194","30.42568522","79.12145891","0.340302048","-0.717862945","0.464346037","0.706822344","0.82162671","-0.949166302","0.52436607","-0.750629378","-0.93514747","-0.57008493","-0.921066643","-0.230869085","-0.873835751","-0.544930443","0.158367446","-0.140892097","-0.305129457","-0.800303919","-0.325290316","-0.20545535","0.89634669","","700"
"KY603","Boone","Campbell","978395.0474","1828512.272","0.340967814","118.3570881","751.130938","2009","KENTUCKY","","","","","","","","","","","","","","","","","","","","","0.1","0.42","0.4","0.07","0.01","0.16","0.48","0.29","0.07","","0.15","0.52","0.28","0.05","","0.18","0.57","0.2","0.05","","0.18","0.53","0.26","0.03","","0.19","0.55","0.21","0.04","0.01","0.19","0.58","0.19","0.03","0.01","0.25","0.53","0.17","0.04","0.01","0.41","0.46","0.1","0.02","0.01","0.4","0.49","0.09","0.02","","0.42","0.48","0.09","0.01","","0.42","0.48","0.09","0.01","","0.42","0.47","0.09","0.02","","0.42","0.46","0.1","0.02","","0.48","0.41","0.1","0.01","","0.43","0.45","0.11","0.01","","0.45","0.44","0.1","0.01","","0.45","0.43","0.11","0.01","","0.43","0.51","0.05","0.01","","79.62111329","77.45752141","48.79501098","74.33638757","46.72478126","26.72382389","65.36446463","50.20457845","17.8210155","31.55820564","59.12456135","10.81312026","67.43172255","55.96100118","79.90925545","36.70638769","21.76603861","4.755482127","56.89966501","68.98400409","1.380821746","0.311734942","0.131795372","-0.486390165","0.971207356","0.435093831","0.461316855","-0.752791481","-0.118685361","0.406448434","0.035700569","-0.078688389","0.437137846","0.774903983","-0.637820164","0.077296601","-0.382142007","0.192679274","-0.05093522","-0.649157517","-0.290948163","-0.595974497","","300"
"KY603","Boone","Campbell","978395.0474","1828512.272","0.340967814","118.3570881","751.130938","2010","KENTUCKY","","","","","","0.13","0.48","0.26","0.07","0.06","0.15","0.45","0.25","0.07","0.08","0.15","0.46","0.24","0.09","0.06","0.17","0.52","0.21","0.07","0.03","0.18","0.55","0.2","0.06","0.01","0.2","0.57","0.18","0.05","","0.17","0.58","0.2","0.05","","0.2","0.57","0.18","0.04","0.01","0.15","0.5","0.26","0.07","0.02","0.13","0.39","0.31","0.13","0.04","0.17","0.45","0.25","0.09","0.04","0.17","0.4","0.26","0.12","0.05","0.14","0.39","0.28","0.12","0.07","0.08","0.3","0.34","0.2","0.08","0.09","0.34","0.34","0.17","0.06","0.06","0.38","0.33","0.16","0.07","0.08","0.38","0.34","0.15","0.05","0.06","0.4","0.34","0.15","0.05","0.06","0.4","0.34","0.15","0.05","0.06","0.4","0.34","0.15","0.05","0.06","0.4","0.34","0.15","0.05","0.06","0.4","0.34","0.15","0.05","70.58612566","65.22018288","65.45164757","44.25284146","35.56902187","57.91620465","28.00866111","48.379115","50.07653309","59.85956082","38.02093013","59.48608027","64.50615998","37.97756823","19.79480849","27.49666396","61.40679162","5.783047789","57.49957141","79.67227407","50.60189259","-0.639978466","-0.914822031","0.015627466","-0.111502446","0.479468415","0.955574181","-0.865119716","-0.513706272","0.698556043","-0.817331645","0.175173608","0.309342344","0.457698854","0.892844158","0.963347353","-0.88436179","-0.459378869","-0.634183748","0.762766747","-0.720657527","0.045421855","","100"
