"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"MA605","Essex County","Massachusetts","0.27835832","178.5694662","4644.681071","","","2001","MASSACHUSETTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.95119204","51.23715288","26.61855161","31.88648823","45.50134825","51.30270298","44.68303764","28.19044898","30.5078991","19.74242113","19.28815554","48.15189107","56.69519216","71.93183533","48.44433293","44.95704847","79.51268216","36.05284959","70.54868178","7.1154885","12.10812988","0.683623891","-0.687467965","0.995320647","-0.31094617","-0.90735665","-0.689928558","-0.669732905","-0.759960406","0.054722294","-0.056113609","0.904440117","0.234051328","-0.623410258","0.225908517","0.382093175","0.415930921","0.002012627","0.115649725","-0.752477047","-0.823259349","0.10509474","",""
"MA605","Essex County","Massachusetts","0.27835832","178.5694662","4644.681071","","","2002","MASSACHUSETTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.54352548","47.86089684","10.76295336","36.71831567","62.75050336","76.70462255","79.30390851","24.80451189","64.20587433","58.61040647","53.77541707","37.96907874","21.78467955","78.50708484","2.252303711","72.33939448","22.06123925","73.83023902","58.88809699","37.97386586","37.86839471","0.80368808","-0.610654732","0.396313218","0.807928469","0.245331058","-0.000695636","-0.110098461","0.872738428","-0.005775663","0.127619715","-0.809645316","0.418549997","-0.570970111","0.364871341","-0.535889831","-0.56944984","0.809197026","0.028427488","-0.120311275","-0.619647594","-0.336463301","",""
"MA605","Essex County","Massachusetts","0.27835832","178.5694662","4644.681071","","","2003","MASSACHUSETTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.39203669","46.2198925","14.58023688","43.12004759","13.55044868","22.58221447","51.28132258","73.27429503","69.98055049","2.179294878","74.91225082","2.342310909","79.01868108","24.13142185","43.57470474","27.28737468","35.4528175","43.04007058","4.56418617","77.20783368","41.3287532","-0.389144758","-0.399713","-0.455826562","0.149730165","-0.480649001","0.245713002","0.592776936","-0.64713665","0.365576285","-0.074010019","-0.682623454","0.440627344","0.545064706","0.817138551","-0.075398432","-0.026351732","-0.878770284","-0.740881183","-0.687851057","-0.048473288","0.792008841","",""
"MA605","Essex County","Massachusetts","0.27835832","178.5694662","4644.681071","","","2004","MASSACHUSETTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.3191735","18.93776461","41.61701153","77.01325302","32.55422795","50.97850539","64.94378424","16.74963103","20.2606255","29.50373163","13.52303059","36.19487839","4.885803504","71.13399843","21.47139063","77.9376299","17.76546106","66.35016008","68.3603483","71.0226675","11.80066744","0.199468326","0.026977341","-0.14762564","0.350149458","0.133082054","-0.235016669","-0.323399496","0.124886424","-0.054602109","-0.131048494","0.505175326","-0.208671716","-0.287386435","-0.777664413","-0.153037723","-0.647134786","-0.261908789","-0.903478832","-0.257938524","-0.774077213","0.306743763","",""
"MA605","Essex County","Massachusetts","0.27835832","178.5694662","4644.681071","","","2005","MASSACHUSETTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.67714179","57.828429","51.22854435","49.21561764","35.15279551","33.12862563","1.187310764","77.12749477","42.31859784","38.65915948","52.70132785","37.64812515","13.84636192","18.13333567","53.03819589","29.68686826","36.6032742","49.85715392","5.590493794","73.715269","70.03253616","-0.585001632","0.494838475","0.658303461","-0.156588591","-0.959653074","0.180147669","-0.284495138","-0.302591371","0.417612527","-0.144223698","0.484654555","-0.861426188","0.644272493","0.953483394","-0.107746512","-0.48940067","0.643082118","-0.398609348","-0.697698299","-0.067042472","-0.229491421","",""
"MA605","Essex County","Massachusetts","0.27835832","178.5694662","4644.681071","","","2006","MASSACHUSETTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.39713893","73.97405941","3.094908315","14.19823032","26.94970464","62.39067073","52.55389965","40.22965201","25.56209795","77.32641061","29.20485017","2.795007446","25.55724315","50.88496115","79.88019011","26.66656096","49.19903945","44.59733148","56.84963601","38.12232167","24.85182685","-0.55779623","-0.004895358","-0.680656252","-0.187804034","0.794118655","-0.528133315","0.100821405","0.005894711","-0.936418048","-0.992052242","-0.185208544","0.728612014","0.338835417","-0.344896173","0.223982941","-0.183941057","0.243751215","-0.191072776","0.712705813","-0.200580389","0.593728556","",""
"MA605","Essex County","Massachusetts","0.27835832","178.5694662","4644.681071","","","2007","MASSACHUSETTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.6144221","69.32228242","8.256750642","79.38514221","64.14286343","46.08435608","25.90149964","36.8316046","20.87218249","23.46389116","65.60901707","78.80582307","20.71547589","10.337405","35.0636862","35.11395437","54.72500421","49.37478542","48.04054813","61.34147506","62.01677472","0.208740214","0.544881934","-0.011666143","0.116783461","0.677480077","-0.498967552","-0.173609003","-0.526455576","-0.327528965","-0.065386426","-0.795796351","-0.569770597","-0.337608939","-0.892384719","0.718792758","-0.247544172","0.369292265","0.140120385","-0.463507816","-0.755693103","0.576246631",""," "
"MA605","Essex County","Massachusetts","0.27835832","178.5694662","4644.681071","","","2008","MASSACHUSETTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.47241661","17.36664975","4.235701492","68.9880347","47.76509","74.44512884","9.515594365","46.07230248","75.9644338","7.904724166","26.66783823","66.77054723","20.06732221","70.31302837","37.18262229","28.72957111","75.20753095","64.01867172","49.14772497","59.82492609","22.96951894","-0.420344931","-0.555449834","0.903506335","0.935734673","-0.270259182","0.223495985","0.6877627","0.262480991","0.77748476","-0.947056576","-0.341638768","0.726014782","-0.597937943","-0.314361226","0.188111632","0.855304099","0.527861192","0.954053884","0.614407691","-0.055208134","-0.282255517","",""
"MA605","Essex County","Massachusetts","0.27835832","178.5694662","4644.681071","","","2009","MASSACHUSETTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.23387006","36.15147428","70.36906267","13.37464163","71.60376221","27.28516774","78.02551904","59.98257608","9.15602241","17.16963676","6.906454133","35.91456561","65.02829379","65.06213852","33.13698807","6.005473801","23.2358663","67.18247626","74.5423699","42.18099886","55.05177075","0.427728535","-0.14592094","-0.517680001","0.111707888","0.192238883","0.3691449","0.469954843","0.512037419","-0.365506952","0.236801925","0.931707742","-0.257763892","0.128570605","-0.391446238","-0.087472245","0.217818809","-0.170152771","-0.859209202","-0.027673457","-0.505957045","-0.089456663","",""
"MA605","Essex County","Massachusetts","0.27835832","178.5694662","4644.681071","","","2010","MASSACHUSETTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.59887837","27.21613977","64.00587381","21.76948387","51.88318872","16.26223045","54.46088146","66.09774873","66.46900178","9.778841214","73.13203553","11.22263504","78.66794941","27.58465823","26.41558457","51.75388178","10.41741858","75.06474661","41.89588554","13.90670013","53.78126326","0.882040153","0.803116928","0.062481733","-0.630015606","0.113123701","-0.611852864","0.394673772","0.316583936","0.546760446","-0.31429073","-0.705167604","-0.385259249","0.421496311","-0.048068444","-0.313142143","0.594727633","-0.007416445","-0.254328196","0.169568158","-0.34044235","-0.39954191","",""
