"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"MO005","Atchison County","Missouri","48207.16156","1935375.891","0.644654","288.2816764","1021.078804","2001","MISSOURI","","","","","","","","","","","0.12","0.56","0.26","0.05","0.01","0.12","0.5","0.31","0.06","0.01","0.1","0.46","0.32","0.11","0.01","0.11","0.41","0.34","0.11","0.03","0.13","0.4","0.33","0.12","0.02","0.12","0.41","0.34","0.11","0.02","0.2","0.42","0.28","0.08","0.02","0.12","0.42","0.33","0.11","0.02","0.17","0.43","0.28","0.09","0.03","0.12","0.44","0.31","0.1","0.03","0.14","0.46","0.29","0.09","0.02","0.12","0.45","0.3","0.1","0.03","0.12","0.42","0.32","0.11","0.03","0.1","0.42","0.33","0.11","0.04","0.12","0.39","0.35","0.11","0.03","0.12","0.43","0.33","0.1","0.02","0.13","0.43","0.33","0.09","0.02","0.11","0.45","0.32","0.09","0.03","0.12","0.44","0.33","0.09","0.02","0.12","0.44","0.33","0.09","0.02","0.12","0.44","0.33","0.09","0.02","9.837894678","51.16487633","20.89406207","54.02428966","74.40197182","32.51902416","16.59166392","74.32908268","48.48670245","75.65731964","42.91507313","61.09912861","13.22580021","54.32429262","55.52630463","61.60076261","18.6419404","22.00684382","26.85447287","72.8904201","52.48846211","-0.700239875","-0.088527885","-0.19130475","-0.827851989","-0.997028892","-0.212914707","0.155005908","0.495060711","-0.701217948","0.492056369","-0.761186201","0.090683152","0.908202293","0.902954499","0.426680122","0.842619291","0.377391768","0.666553822","0.41054769","-0.268086098","0.247464609","142.6","800"
"MO005","Atchison County","Missouri","48207.16156","1935375.891","0.644654","288.2816764","1021.078804","2002","MISSOURI","","","","","","","","","","","","","","","","0.04","0.3","0.45","0.16","0.05","0.05","0.44","0.34","0.13","0.04","0.07","0.42","0.39","0.09","0.03","0.08","0.49","0.32","0.08","0.03","0.08","0.47","0.34","0.08","0.03","0.07","0.41","0.39","0.1","0.03","0.04","0.34","0.42","0.15","0.05","0.05","0.34","0.4","0.16","0.05","0.03","0.29","0.38","0.22","0.08","0.03","0.23","0.35","0.26","0.13","0.03","0.2","0.32","0.24","0.21","0.02","0.18","0.3","0.25","0.25","0.02","0.16","0.27","0.28","0.27","0.02","0.18","0.28","0.27","0.25","0.03","0.18","0.27","0.27","0.25","0.03","0.17","0.27","0.28","0.25","0.03","0.19","0.29","0.28","0.21","0.03","0.19","0.29","0.28","0.21","0.03","0.19","0.29","0.28","0.21","0.03","0.19","0.29","0.28","0.21","3.140770291","31.96095653","76.35567348","28.90223527","60.40741963","4.988230253","2.040746332","71.11037707","68.39503599","57.86340512","64.13829602","6.074668374","47.52643091","60.39525347","56.0703031","32.96374596","67.79251149","20.51662685","64.57229911","8.548913427","45.28911075","0.513600308","0.757264716","-0.100568892","-0.213592751","-0.235058231","-0.02611873","0.298807772","0.389436053","0.302765318","-0.461508533","0.600510273","-0.639011287","-0.289721388","0.386435836","0.643572215","0.350958659","-0.821576865","0.655171084","0.864948386","-0.983104956","0.420526593","81.4","800"
"MO005","Atchison County","Missouri","48207.16156","1935375.891","0.644654","288.2816764","1021.078804","2003","MISSOURI","","","","","","","","","","","","","","","","","","","","","0.12","0.53","0.3","0.04","0.01","0.11","0.54","0.29","0.04","0.02","0.14","0.56","0.24","0.05","0.01","0.16","0.57","0.21","0.05","0.01","0.16","0.56","0.22","0.05","0.01","0.16","0.52","0.25","0.06","0.01","0.13","0.54","0.25","0.06","0.02","0.09","0.48","0.3","0.1","0.03","0.07","0.38","0.31","0.17","0.07","0.06","0.31","0.3","0.21","0.12","0.05","0.23","0.31","0.23","0.18","0.04","0.2","0.25","0.27","0.24","0.03","0.16","0.23","0.29","0.29","0.04","0.14","0.26","0.29","0.27","0.04","0.17","0.24","0.27","0.28","0.05","0.17","0.28","0.25","0.25","0.05","0.19","0.29","0.24","0.23","0.05","0.19","0.29","0.24","0.23","0.05","0.19","0.29","0.24","0.23","53.47842751","13.01664142","56.24115664","23.61027652","12.19933193","13.73077363","21.8425886","11.9322751","2.685315894","67.54299251","17.53665044","29.89668308","72.23625762","66.43089952","54.34764636","15.66077802","29.05875668","12.4433358","21.71610612","55.43147006","74.0542231","-0.092772694","0.040488246","-0.618573956","-0.667115379","0.539401711","0.097124034","0.064149885","-0.445714621","-0.267495875","0.268630786","0.993926784","-0.843739904","-0.763917113","-0.669661368","-0.412719625","-0.172888534","-0.139857536","-0.886773702","0.614965812","0.247550433","-0.921331951","102.4","600"
"MO005","Atchison County","Missouri","48207.16156","1935375.891","0.644654","288.2816764","1021.078804","2004","MISSOURI","","","","","","","","","","","","","","","","0.12","0.67","0.19","0.02","0","0.13","0.62","0.2","0.04","0.01","0.15","0.62","0.19","0.04","0","0.17","0.59","0.19","0.04","0.01","0.2","0.57","0.16","0.05","0.02","0.21","0.54","0.18","0.05","0.02","0.22","0.57","0.16","0.04","0.01","0.24","0.57","0.14","0.04","0.01","0.28","0.54","0.12","0.05","0.01","0.27","0.55","0.13","0.04","0.01","0.26","0.56","0.13","0.04","0.01","0.27","0.55","0.13","0.04","0.01","0.28","0.55","0.13","0.03","0.01","0.25","0.55","0.15","0.04","0.01","0.25","0.56","0.15","0.03","0.01","0.24","0.56","0.15","0.04","0.01","0.26","0.53","0.16","0.04","0.01","0.28","0.53","0.14","0.04","0.01","0.28","0.53","0.14","0.04","0.01","0.28","0.53","0.14","0.04","0.01","15.15161069","34.70851254","34.92244686","72.12945676","70.79494695","23.42033589","9.822832489","36.30673137","41.05675282","74.36681174","45.37337987","51.44490338","46.67572836","64.29297968","54.94461762","26.62909498","30.56763371","73.3451988","18.907199","71.92079484","49.27688954","-0.742646798","-0.616203419","-0.609836331","-0.955186243","0.971667219","-0.172780418","0.645673023","0.850688727","0.160452657","-0.263709263","0.156692906","0.047702256","-0.894649318","0.464583651","-0.40576777","-0.737759002","-0.089314684","0.146466038","0.494865789","0.437108395","0.352425341","172","0"
"MO005","Atchison County","Missouri","48207.16156","1935375.891","0.644654","288.2816764","1021.078804","2005","MISSOURI","","","","","","","","","","","0.05","0.5","0.4","0.05","0","0.04","0.43","0.41","0.09","0.03","0.05","0.39","0.44","0.09","0.03","0.09","0.48","0.33","0.07","0.03","0.1","0.52","0.28","0.07","0.03","0.08","0.46","0.31","0.1","0.05","0.1","0.43","0.32","0.1","0.05","0.07","0.37","0.36","0.13","0.07","0.04","0.35","0.34","0.17","0.1","0.05","0.29","0.29","0.19","0.18","0.05","0.27","0.28","0.2","0.2","0.05","0.25","0.26","0.22","0.22","0.05","0.25","0.25","0.23","0.22","0.06","0.25","0.24","0.22","0.23","0.06","0.26","0.24","0.22","0.22","0.06","0.27","0.24","0.2","0.23","0.05","0.25","0.27","0.21","0.22","0.05","0.26","0.26","0.21","0.22","0.05","0.26","0.26","0.21","0.22","0.05","0.26","0.26","0.21","0.22","0.05","0.26","0.26","0.21","0.22","6.172785044","14.91461822","26.33301","5.639005493","3.617368215","11.39070741","28.25652803","68.39153639","52.33731095","8.369426016","45.00789886","2.706209135","18.98977976","29.86750594","79.42084801","71.17385946","5.887130967","11.17595587","59.81233587","33.34747653","71.43108303","-0.125833263","-0.071668297","0.51302626","0.27205706","0.562535432","-0.419645574","0.891351427","0.993811035","-0.033263944","0.276262573","-0.907012801","-0.183982374","0.254884208","0.528963431","0.119983748","-0.603449486","-0.890165549","-0.847041219","-0.84417706","-0.876024155","0.930162469","159.5","300"
"MO005","Atchison County","Missouri","48207.16156","1935375.891","0.644654","288.2816764","1021.078804","2006","MISSOURI","","","","","","","","","","","0.05","0.56","0.36","0.03","0","0.06","0.56","0.31","0.06","0.01","0.09","0.56","0.3","0.05","0","0.1","0.55","0.3","0.05","0","0.1","0.56","0.28","0.05","0.01","0.13","0.54","0.26","0.06","0.01","0.08","0.53","0.29","0.07","0.03","0.08","0.53","0.29","0.08","0.02","0.11","0.55","0.25","0.07","0.02","0.1","0.53","0.26","0.08","0.03","0.08","0.46","0.32","0.1","0.04","0.06","0.41","0.33","0.14","0.06","0.06","0.41","0.34","0.14","0.05","0.07","0.39","0.32","0.15","0.07","0.06","0.4","0.33","0.15","0.06","0.06","0.45","0.31","0.13","0.05","0.07","0.43","0.32","0.12","0.06","0.07","0.43","0.32","0.12","0.06","0.07","0.43","0.32","0.12","0.06","0.07","0.43","0.32","0.12","0.06","0.07","0.43","0.32","0.12","0.06","20.69894953","11.08528064","27.10777912","14.36475276","74.95627737","35.87810255","1.961796558","64.18575331","63.82778698","63.10134404","65.03215058","48.60371602","59.96866374","52.05929557","62.02710714","41.69337435","44.0919484","3.334770093","68.85256019","77.89531433","55.17120399","0.46271254","-0.254378894","0.156908865","-0.160604926","-0.272877934","-0.473087002","0.268534332","-0.697321135","-0.512636755","0.790809372","-0.259267186","-0.115157887","0.976321653","-0.580474509","0.368682558","-0.195513531","0.331731635","-0.130962642","0.901091221","-0.794524153","-0.971166483","155","900"
"MO005","Atchison County","Missouri","48207.16156","1935375.891","0.644654","288.2816764","1021.078804","2007","MISSOURI","","","","","","","","","","","0.08","0.53","0.32","0.05","0.02","0.09","0.53","0.29","0.05","0.04","0.1","0.58","0.26","0.03","0.03","0.13","0.56","0.24","0.04","0.03","0.11","0.54","0.27","0.05","0.03","0.13","0.5","0.29","0.05","0.03","0.16","0.49","0.27","0.05","0.03","0.15","0.51","0.26","0.05","0.03","0.17","0.49","0.26","0.06","0.02","0.17","0.45","0.27","0.08","0.03","0.14","0.44","0.3","0.09","0.03","0.13","0.4","0.29","0.12","0.06","0.07","0.37","0.33","0.15","0.08","0.05","0.35","0.3","0.2","0.1","0.08","0.35","0.33","0.17","0.07","0.08","0.37","0.31","0.16","0.08","0.08","0.35","0.33","0.16","0.08","0.11","0.36","0.31","0.15","0.07","0.14","0.39","0.28","0.13","0.06","0.14","0.39","0.28","0.13","0.06","0.14","0.39","0.28","0.13","0.06","45.49231904","40.39654789","57.86428677","22.74568727","74.70657861","77.26597125","25.94318933","61.39315069","59.78722753","79.06125464","14.50837107","47.83090096","56.50604988","49.51837739","21.15334041","5.556118783","3.476779305","33.26705214","58.96917113","68.49200461","15.54089464","0.335810339","-0.396416994","-0.167218643","0.495082612","-0.478282106","0.71436405","-0.842308855","0.431780272","0.742972107","-0.374891737","-0.108078192","-0.749226835","-0.974928261","0.96688566","-0.697620743","-0.865770463","0.53767489","-0.361936654","0.677941736","0.0448064","-0.716630025","146","0"
"MO005","Atchison County","Missouri","48207.16156","1935375.891","0.644654","288.2816764","1021.078804","2008","MISSOURI","","","","","","","","","","","","","","","","","","","","","0.1","0.47","0.35","0.07","0.01","0.06","0.49","0.35","0.08","0.02","0.06","0.39","0.4","0.12","0.03","0.06","0.37","0.42","0.13","0.02","0.08","0.36","0.38","0.13","0.05","0.07","0.35","0.4","0.13","0.05","0.08","0.39","0.37","0.12","0.04","0.08","0.4","0.37","0.11","0.04","0.08","0.4","0.36","0.12","0.04","0.1","0.41","0.35","0.11","0.03","0.1","0.4","0.35","0.11","0.04","0.1","0.39","0.36","0.11","0.04","0.1","0.42","0.32","0.12","0.04","0.09","0.38","0.37","0.12","0.04","0.1","0.4","0.33","0.13","0.04","0.09","0.38","0.34","0.15","0.04","0.09","0.36","0.35","0.16","0.04","0.07","0.36","0.36","0.16","0.05","0.09","0.37","0.35","0.15","0.04","21.26687223","48.90434884","65.6876206","25.10914212","21.21203935","21.29148284","68.59730042","9.611080691","62.9723691","70.01518057","78.23638728","17.26355245","56.06914199","16.94010047","10.41005577","9.949943272","29.10206629","65.84347805","33.96108963","4.385566774","48.48544873","0.833005591","-0.223441463","-0.569068932","0.388595859","-0.023331875","-0.472083587","-0.565113391","0.138162695","-0.82494412","0.324986011","0.679097862","0.661860915","0.212870289","0.78376761","-0.597173384","0.96378685","0.265518038","0.748982559","0.809798946","-0.495584196","0.636549338","152","500"
"MO005","Atchison County","Missouri","48207.16156","1935375.891","0.644654","288.2816764","1021.078804","2009","MISSOURI","","","","","","","","","","","","","","","","","","","","","0.1","0.45","0.38","0.06","0.01","0.11","0.46","0.36","0.06","0.01","0.09","0.45","0.35","0.09","0.02","0.07","0.42","0.39","0.09","0.03","0.11","0.43","0.33","0.1","0.03","0.1","0.44","0.35","0.08","0.03","0.13","0.43","0.35","0.08","0.01","0.13","0.45","0.31","0.08","0.03","0.14","0.45","0.29","0.09","0.03","0.15","0.47","0.28","0.08","0.02","0.16","0.49","0.26","0.07","0.02","0.17","0.48","0.26","0.07","0.02","0.15","0.5","0.26","0.07","0.02","0.16","0.48","0.27","0.07","0.02","0.16","0.48","0.28","0.06","0.02","0.17","0.47","0.27","0.07","0.02","0.2","0.47","0.25","0.06","0.02","0.19","0.46","0.26","0.07","0.02","0.2","0.45","0.26","0.07","0.02","67.01434208","35.85247256","9.32720299","77.6850005","48.14970906","51.01879118","27.38591537","28.76066582","75.47325934","60.81135415","6.679177964","36.17333041","76.75225511","45.79376795","4.896596576","33.99675884","75.69492381","76.83653792","31.42276937","43.07503322","17.3530588","0.340841046","-0.479658476","-0.803043308","-0.246748757","-0.551873763","-0.971470378","-0.302500927","0.554921351","0.876269749","-0.524708795","-0.458623245","-0.315223571","0.945630256","0.565542227","-0.516728538","0.228061856","0.353152646","-0.902260285","0.511788734","0.292770982","0.109146228","185","200"
"MO005","Atchison County","Missouri","48207.16156","1935375.891","0.644654","288.2816764","1021.078804","2010","MISSOURI","","","","","","0.06","0.42","0.33","0.13","0.06","0.05","0.39","0.36","0.13","0.07","0.04","0.41","0.38","0.11","0.06","0.07","0.42","0.35","0.11","0.05","0.08","0.41","0.33","0.13","0.05","0.1","0.39","0.31","0.14","0.06","0.1","0.36","0.32","0.15","0.07","0.1","0.37","0.31","0.17","0.05","0.14","0.36","0.28","0.16","0.06","0.08","0.4","0.31","0.16","0.05","0.1","0.4","0.29","0.15","0.06","0.1","0.38","0.29","0.16","0.07","0.1","0.39","0.29","0.16","0.06","0.09","0.4","0.3","0.16","0.05","0.09","0.41","0.27","0.16","0.07","0.1","0.38","0.3","0.16","0.06","0.1","0.38","0.3","0.16","0.06","0.09","0.37","0.3","0.17","0.07","0.09","0.4","0.29","0.16","0.06","0.1","0.39","0.28","0.16","0.07","0.09","0.37","0.29","0.17","0.08","0.09","0.37","0.29","0.17","0.08","38.07419647","74.70053526","61.14894433","5.641938701","21.09241248","11.621645","31.78778312","48.21066799","32.9322978","1.20136881","65.2151038","42.03172683","79.69940574","41.56311084","64.99000029","21.1995238","16.73463747","40.50395076","20.68159758","46.9747053","61.91913759","-0.318272346","0.620808144","0.167928647","-0.845059537","-0.145737026","0.414587246","-0.522933068","-0.130020147","0.963014298","0.094285766","-0.752630914","-0.829443375","-0.456976136","0.784185145","-0.147217587","-0.651405331","0.780860925","-0.258943805","0.943504988","-0.562892591","-0.495129825","149.4","0"
