"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"MT634","Kootenai National Forest Area","Montana-Idaho","-1441418.753","2981166.94","","","","2001","MONTANA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.02113935","46.80404208","29.95526111","66.34258745","69.00156666","15.21941883","32.09714719","75.65216548","41.30900854","70.28231025","58.92927977","40.25866083","79.9035497","71.2596826","54.57549458","30.05782052","56.08640679","73.42393591","46.13364125","5.825217968","50.42260031","-0.054752859","-0.881629289","-0.36411307","-0.901867501","-0.606370895","0.589858532","0.393132523","-0.235204851","0.97618307","0.623152167","0.719904207","0.939441292","-0.603885329","-0.373271389","-0.043767492","0.79989372","-0.224248311","-0.845356894","0.260163733","-0.88125548","-0.901160358","",""
"MT634","Kootenai National Forest Area","Montana-Idaho","-1441418.753","2981166.94","","","","2002","MONTANA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.92986254","37.64851039","56.17213535","39.23152182","32.27771924","18.98861169","71.98452167","15.13089075","44.31269461","78.39687712","68.98628851","14.44011554","37.92596124","58.48653104","23.36059972","39.39911965","24.10732305","35.38360096","26.6007426","70.01636454","30.68697367","-0.307378903","-0.504778168","-0.798334086","0.595977581","0.8648699","0.385223687","-0.743499376","-0.296529953","-0.232845772","-0.182954349","-0.595976898","-0.816268233","0.231054057","0.306193871","-0.933000772","0.12833578","-0.711012997","-0.553184983","0.061108606","-0.309546231","-0.5919586","",""
"MT634","Kootenai National Forest Area","Montana-Idaho","-1441418.753","2981166.94","","","","2003","MONTANA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.45664537","77.36293761","12.44185434","51.71749015","2.229868357","17.3269639","55.90852447","45.79756527","67.90583715","66.08001019","43.4640502","6.942888136","45.7926193","71.53172279","21.37726866","43.18796566","30.69257127","39.32205006","49.71900184","63.09350807","66.9061203","-0.190972095","-0.265812334","-0.055707615","-0.124686906","-0.370110678","-0.825612198","-0.002646051","0.86712707","-0.540604129","-0.773232458","0.651457467","-0.934146173","0.803934883","0.291464563","0.15782612","-0.42899542","0.648101113","0.696031004","0.531871233","0.838804133","-0.923558661","",""
"MT634","Kootenai National Forest Area","Montana-Idaho","-1441418.753","2981166.94","","","","2004","MONTANA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.26432058","48.2483612","27.31016855","62.97362104","58.16825331","35.23965089","71.87088584","15.26701592","40.08808747","37.00587702","49.59532077","1.320215042","3.954216201","44.08031365","20.44708011","26.92045467","16.15211019","17.28897981","55.56284456","7.51489937","4.096700257","-0.432668819","0.659184793","-0.990374018","0.824648482","0.49294238","0.766492331","0.426961272","-0.314572877","-0.878834085","-0.682633552","0.919840909","0.737506357","-0.607769052","-0.901591536","-0.761889087","-0.887418706","-0.76729296","-0.733791678","0.149629047","0.835849585","0.082596345","",""
"MT634","Kootenai National Forest Area","Montana-Idaho","-1441418.753","2981166.94","","","","2005","MONTANA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.42180547","56.42976677","53.5446077","71.19549047","31.60660035","59.76059986","1.460889481","11.56441177","1.665361785","23.0834174","1.684334285","32.89513907","13.72257908","20.06313233","79.02140744","42.51343626","62.04870627","63.91900803","13.09629544","49.0666689","21.63732513","-0.394004369","-0.908142513","-0.148760742","-0.766348419","0.940663156","0.823414101","0.114912843","-0.122306265","0.141103053","0.438932285","0.632775036","0.749138326","-0.438093409","0.339518614","0.442495862","0.820737811","0.324056218","0.618863642","-0.255920576","0.178779335","0.052536059","",""
"MT634","Kootenai National Forest Area","Montana-Idaho","-1441418.753","2981166.94","","","","2006","MONTANA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.42027494","48.66431934","19.16963326","19.34631917","26.09527019","57.06014831","58.00644202","9.695085264","26.91944536","51.96128714","20.18684317","39.61344199","1.41342714","77.30622749","56.2771836","20.75210313","34.57497495","40.09209606","28.62799171","15.73821858","65.59460643","0.260975022","-0.765459748","-0.157567556","-0.520724738","0.67487265","-0.030510353","0.642064869","0.970135051","-0.252958456","-0.665706281","0.126440363","-0.22069774","0.831995958","-0.287109818","-0.407803665","0.337278528","0.485300596","-0.450085723","-0.801714884","-0.830007215","0.593749603","",""
"MT634","Kootenai National Forest Area","Montana-Idaho","-1441418.753","2981166.94","","","","2007","MONTANA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.76023462","5.027460014","41.54084518","21.28767914","30.41623298","8.183828467","22.09843832","69.56363547","19.91552216","5.015279133","68.09951211","56.75283652","2.631004469","53.33099896","19.7099091","27.03635401","65.44136664","74.64051836","17.46468158","74.15615365","36.96672002","0.594615943","-0.899775037","-0.88430666","0.020153054","0.667046529","-0.223096377","0.879999845","0.904932877","0.681233336","0.852415101","-0.463660835","-0.682712531","0.029582986","0.4454865","-0.795315921","-0.986293029","-0.153193178","-0.688490603","-0.267916514","-0.753676551","0.581558855","",""
"MT634","Kootenai National Forest Area","Montana-Idaho","-1441418.753","2981166.94","","","","2008","MONTANA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.790595539","1.640192653","29.94042093","23.03242726","29.621627","39.05600056","27.64649156","28.10919939","63.99486067","40.03625673","34.12765758","42.50297945","67.19168234","2.291234892","12.70903628","75.77426323","17.85624609","15.61197065","79.69557491","7.971271643","65.53584618","0.04339883","-0.427346158","0.106278404","-0.64348902","-0.879635396","0.928245009","-0.688881355","0.210373525","-0.424352158","-0.289299073","0.992360116","0.272615661","0.492180384","0.052081371","0.95659421","0.451591368","0.32735636","0.069918545","-0.634820138","-0.24324158","-0.317307032","",""
"MT634","Kootenai National Forest Area","Montana-Idaho","-1441418.753","2981166.94","","","","2009","MONTANA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.53593602","20.48774514","50.60603793","67.85712201","37.45256614","55.07054656","65.86903571","11.7833517","52.53347081","26.81620348","57.3447815","2.618127208","1.193932266","16.28582897","37.85310048","13.8522962","25.41773767","57.61757187","68.12596718","22.2173771","14.28128531","-0.92282795","0.530374467","0.72936176","-0.325167511","-0.812895264","0.707187265","0.083207919","-0.147006988","-0.951790568","-0.735509507","0.148571633","0.957468169","-0.794386386","-0.946180475","0.111967836","-0.114744204","-0.122940779","-0.138069454","0.694346715","-0.645000016","-0.250478679","",""
"MT634","Kootenai National Forest Area","Montana-Idaho","-1441418.753","2981166.94","","","","2010","MONTANA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.35140271","38.4050657","10.85734234","9.17411864","2.285106584","29.5292695","59.37461252","3.263592344","16.93119113","78.56046642","56.78519685","46.86684696","27.01694344","31.00484874","56.8040359","67.07581921","17.0024631","51.81519093","74.76438788","48.63175283","3.892258893","0.706198807","0.935098032","0.751183627","0.497884551","-0.428379049","-0.103911368","-0.512470464","-0.250383115","0.13925576","0.032511653","0.649247263","0.009402071","-0.100750955","-0.868311689","0.056099163","-0.908713965","0.066178207","-0.750815656","0.3886464","0.922222564","0.701172068","",""
