"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"OH007","Ashtabula County","Ohio","1254566.788","2179033.606","0.518115915","179.156682","179.156682","2001","OHIO","","","","","","","","","","","0.22","0.6","0.16","0.02","0","0.18","0.56","0.21","0.04","0.01","0.14","0.49","0.3","0.06","0.01","0.11","0.46","0.33","0.08","0.02","0.12","0.48","0.31","0.07","0.02","0.15","0.56","0.23","0.05","0.01","0.16","0.55","0.23","0.05","0.01","0.15","0.58","0.22","0.04","0.01","0.16","0.54","0.24","0.05","0.01","0.11","0.49","0.3","0.07","0.03","0.14","0.47","0.28","0.08","0.03","0.11","0.4","0.34","0.11","0.04","0.13","0.4","0.3","0.12","0.05","0.12","0.39","0.32","0.12","0.05","0.13","0.41","0.29","0.13","0.04","0.13","0.41","0.3","0.12","0.04","0.12","0.4","0.32","0.11","0.05","0.12","0.42","0.32","0.1","0.04","0.13","0.44","0.28","0.1","0.05","0.12","0.45","0.29","0.1","0.04","0.14","0.41","0.29","0.11","0.05","79.0669619","5.613676966","3.716476145","40.51843862","52.21577153","19.65161841","10.97714415","9.525602428","37.151421","31.15984505","26.56975389","60.36563576","63.20801533","76.38205901","42.50107392","46.08136768","38.37226454","15.22104038","40.87094772","56.01810213","55.93824525","0.58987179","0.009261597","0.526596508","-0.298087542","0.468631043","0.954342858","-0.341891138","-0.399812956","-0.025213448","-0.413888091","-0.087794247","-0.088083031","0.606526127","-0.722801868","0.209315671","0.62824547","0.596608842","-0.088709557","0.522176449","-0.988909761","0.041481247","","100"
"OH007","Ashtabula County","Ohio","1254566.788","2179033.606","0.518115915","179.156682","179.156682","2002","OHIO","","","","","","","","","","","","","","","","0.04","0.28","0.47","0.16","0.05","0.06","0.35","0.42","0.13","0.04","0.07","0.4","0.4","0.1","0.03","0.08","0.41","0.37","0.11","0.03","0.09","0.44","0.34","0.11","0.02","0.08","0.44","0.36","0.1","0.02","0.07","0.41","0.38","0.11","0.03","0.04","0.34","0.4","0.16","0.06","0.01","0.2","0.38","0.26","0.15","0.01","0.15","0.32","0.3","0.22","0.02","0.15","0.34","0.3","0.19","0.01","0.12","0.3","0.3","0.27","0.01","0.12","0.28","0.3","0.29","0.01","0.12","0.29","0.32","0.26","0.01","0.13","0.32","0.3","0.24","0.01","0.11","0.29","0.32","0.27","0.01","0.11","0.29","0.31","0.28","0.01","0.12","0.28","0.3","0.29","0.01","0.1","0.29","0.32","0.28","0.01","0.11","0.29","0.31","0.28","19.25705441","67.78280978","23.21554453","63.93074844","15.07580232","79.12229398","18.4443079","64.36673555","20.93951094","34.82995723","52.39896845","30.66379125","19.06097007","8.90008191","62.54519368","16.96211776","10.64320746","32.95368196","12.10993912","74.11574","18.35091397","-0.774388688","-0.352889071","0.956161866","-0.255853394","0.479581362","-0.94685752","0.630286158","0.942918951","-0.745505259","0.745184097","-0.328878845","0.862857581","-0.065484717","-0.750059894","0.458994353","-0.483256377","-0.561130466","-0.139500586","0.806181375","0.614290722","0.12962261","","700"
"OH007","Ashtabula County","Ohio","1254566.788","2179033.606","0.518115915","179.156682","179.156682","2003","OHIO","","","","","","","","","","","","","","","","","","","","","0.1","0.46","0.32","0.1","0.02","0.09","0.44","0.34","0.11","0.02","0.09","0.43","0.33","0.12","0.03","0.11","0.41","0.33","0.12","0.03","0.14","0.43","0.29","0.1","0.04","0.16","0.41","0.3","0.1","0.03","0.14","0.41","0.3","0.11","0.04","0.16","0.41","0.3","0.1","0.03","0.14","0.45","0.29","0.09","0.03","0.18","0.44","0.27","0.08","0.03","0.21","0.42","0.26","0.08","0.03","0.22","0.43","0.25","0.08","0.02","0.22","0.46","0.24","0.06","0.02","0.23","0.43","0.25","0.07","0.02","0.22","0.48","0.22","0.06","0.02","0.22","0.45","0.24","0.07","0.02","0.22","0.47","0.22","0.06","0.03","0.22","0.48","0.23","0.05","0.02","0.21","0.47","0.23","0.06","0.03","41.0665413","67.68132829","13.29770138","7.528589274","63.99001389","75.24828996","2.385718266","9.865820639","34.82616672","60.96215257","50.82792441","24.45940357","30.79558654","26.68708995","14.97725442","13.7367967","42.79808207","14.8559429","23.15068977","67.52041745","48.24018244","0.126802499","-0.982546437","-0.471180498","0.645246517","-0.627544499","-0.070213845","-0.732839499","-0.698110518","-0.220756942","-0.345681965","-0.949069147","0.78241027","-0.052213658","0.851921039","0.435347883","-0.30357948","0.405041259","0.224841331","-0.30711115","0.608622636","-0.175796261","","400"
"OH007","Ashtabula County","Ohio","1254566.788","2179033.606","0.518115915","179.156682","179.156682","2004","OHIO","","","","","","","","","","","","","","","","0.2","0.58","0.17","0.03","0.02","0.21","0.54","0.19","0.05","0.01","0.2","0.5","0.22","0.06","0.02","0.22","0.49","0.21","0.06","0.02","0.2","0.44","0.23","0.09","0.04","0.2","0.45","0.23","0.09","0.03","0.17","0.46","0.24","0.1","0.03","0.17","0.45","0.25","0.1","0.03","0.15","0.45","0.26","0.1","0.04","0.17","0.45","0.24","0.1","0.04","0.17","0.43","0.26","0.1","0.04","0.2","0.43","0.24","0.1","0.03","0.18","0.45","0.25","0.09","0.03","0.16","0.45","0.25","0.1","0.04","0.16","0.44","0.26","0.1","0.04","0.16","0.47","0.25","0.09","0.03","0.17","0.47","0.24","0.09","0.03","0.18","0.44","0.26","0.09","0.03","0.19","0.48","0.23","0.07","0.03","0.21","0.48","0.22","0.07","0.02","6.20848155","64.63971204","34.34089645","69.08492969","50.2537056","69.30337358","46.0531614","48.53966058","19.94225369","10.38736947","10.27865479","38.22020132","50.66352034","67.79422059","79.54509781","73.91626327","23.17761796","27.7745693","73.87221592","54.89628148","59.47383349","-0.641997709","0.309531919","-0.333837494","-0.354295516","-0.546533818","-0.193190068","0.114548281","-0.699790635","-0.711041703","0.071249106","-0.97407607","0.857552867","0.891247728","-0.836960762","0.25556517","-0.102517534","-0.464819036","0.104030667","0.906306907","-0.94782362","-0.473565963","","600"
"OH007","Ashtabula County","Ohio","1254566.788","2179033.606","0.518115915","179.156682","179.156682","2005","OHIO","","","","","","","","","","","0.08","0.4","0.35","0.11","0.06","0.08","0.44","0.34","0.11","0.03","0.08","0.46","0.34","0.09","0.03","0.1","0.45","0.33","0.09","0.03","0.13","0.47","0.29","0.08","0.03","0.1","0.44","0.33","0.1","0.03","0.1","0.44","0.33","0.1","0.03","0.1","0.4","0.34","0.12","0.04","0.07","0.36","0.34","0.17","0.06","0.09","0.38","0.34","0.13","0.06","0.11","0.41","0.32","0.11","0.05","0.09","0.39","0.33","0.13","0.06","0.07","0.35","0.35","0.16","0.07","0.09","0.35","0.35","0.14","0.07","0.08","0.34","0.36","0.15","0.07","0.08","0.36","0.36","0.14","0.06","0.08","0.38","0.35","0.13","0.06","0.07","0.36","0.36","0.15","0.06","0.08","0.38","0.35","0.14","0.05","0.11","0.36","0.35","0.13","0.05","0.09","0.4","0.35","0.12","0.04","55.0490058","21.61383131","43.1585473","52.34916383","11.34856786","78.28427389","11.92327655","25.92477465","15.881669","53.98902654","44.66526104","17.72907703","16.71576149","64.0001914","76.73878323","28.30494536","3.520212044","74.5243152","45.33341365","45.01483592","63.62188557","0.69250708","0.620783399","0.303033656","0.912593995","-0.88527774","0.027757349","0.838933609","0.980567418","0.067327921","0.258813829","0.334212666","0.003242488","-0.735163034","0.869272513","0.509464332","-0.713048552","0.762536302","-0.264350633","0.799973206","0.654879522","-0.708159902","","800"
"OH007","Ashtabula County","Ohio","1254566.788","2179033.606","0.518115915","179.156682","179.156682","2006","OHIO","","","","","","","","","","","0.08","0.47","0.37","0.06","0.02","0.1","0.47","0.34","0.07","0.02","0.14","0.51","0.28","0.05","0.02","0.13","0.5","0.28","0.07","0.02","0.16","0.47","0.28","0.08","0.01","0.18","0.48","0.25","0.07","0.02","0.16","0.48","0.25","0.09","0.02","0.2","0.48","0.24","0.07","0.01","0.23","0.47","0.22","0.06","0.02","0.21","0.47","0.23","0.07","0.02","0.22","0.47","0.22","0.07","0.02","0.24","0.49","0.19","0.06","0.02","0.22","0.5","0.21","0.06","0.01","0.23","0.49","0.2","0.07","0.01","0.21","0.47","0.23","0.08","0.01","0.23","0.45","0.23","0.07","0.02","0.22","0.46","0.24","0.07","0.01","0.21","0.49","0.22","0.07","0.01","0.22","0.47","0.23","0.07","0.01","0.24","0.48","0.21","0.06","0.01","0.24","0.47","0.21","0.07","0.01","36.830707","39.63652666","34.90710228","31.23563192","18.23062944","11.78787531","36.4350018","62.2828791","62.54780774","77.30811762","59.1154755","5.69069867","55.99886696","65.93242247","29.77124898","46.58769357","40.8583495","70.28249479","48.17722342","64.92642482","63.85444713","-0.743356386","-0.661504184","-0.654798576","0.165025939","-0.253346762","0.784416138","-0.112780562","-0.547252955","0.075538443","-0.495861868","-0.860567083","-0.072769334","-0.052138712","-0.524071816","-0.124278083","0.0109573","0.059882496","-0.6477136","0.621865251","0.622469844","0.196251352","","700"
"OH007","Ashtabula County","Ohio","1254566.788","2179033.606","0.518115915","179.156682","179.156682","2007","OHIO","","","","","","","","","","","0.15","0.67","0.15","0.03","0","0.15","0.57","0.22","0.05","0.01","0.16","0.52","0.24","0.06","0.02","0.17","0.51","0.24","0.06","0.02","0.13","0.42","0.29","0.12","0.04","0.1","0.41","0.3","0.13","0.06","0.12","0.38","0.31","0.14","0.05","0.09","0.41","0.31","0.13","0.06","0.07","0.32","0.34","0.19","0.08","0.08","0.3","0.35","0.19","0.08","0.08","0.32","0.35","0.18","0.07","0.08","0.32","0.31","0.18","0.11","0.06","0.33","0.32","0.18","0.11","0.08","0.36","0.29","0.18","0.09","0.09","0.34","0.33","0.15","0.09","0.09","0.35","0.29","0.17","0.1","0.08","0.36","0.29","0.17","0.1","0.1","0.35","0.29","0.16","0.1","0.11","0.34","0.31","0.16","0.08","0.13","0.33","0.31","0.15","0.08","0.13","0.36","0.31","0.13","0.07","64.56257983","75.97934369","39.06146952","65.92177007","65.98767033","5.527563451","27.67252809","68.47356013","56.97914382","19.34224199","15.27371519","29.03009043","59.20848647","30.26713557","27.80335207","4.257825769","31.23141825","21.56342344","3.066645222","41.78409435","7.675137613","0.583055907","-0.642442888","-0.929625353","0.862864474","-0.54337741","0.835372853","0.320498956","-0.937677434","0.14357358","0.484617417","-0.774887181","0.683400658","-0.379002913","0.966284691","-0.285506925","0.868172202","0.377175045","0.348255906","-0.936495906","0.427729516","-0.622286286","","700"
"OH007","Ashtabula County","Ohio","1254566.788","2179033.606","0.518115915","179.156682","179.156682","2008","OHIO","","","","","","","","","","","","","","","","","","","","","0.12","0.49","0.32","0.06","0.01","0.16","0.48","0.27","0.07","0.02","0.15","0.46","0.28","0.08","0.03","0.13","0.45","0.31","0.08","0.03","0.17","0.42","0.29","0.09","0.03","0.15","0.4","0.32","0.1","0.03","0.17","0.41","0.29","0.09","0.04","0.21","0.43","0.25","0.08","0.03","0.23","0.4","0.25","0.08","0.04","0.18","0.42","0.27","0.09","0.04","0.18","0.41","0.29","0.09","0.03","0.16","0.41","0.27","0.11","0.05","0.1","0.38","0.32","0.14","0.06","0.09","0.35","0.33","0.16","0.07","0.07","0.28","0.37","0.19","0.09","0.06","0.29","0.37","0.19","0.09","0.06","0.27","0.34","0.22","0.11","0.05","0.26","0.36","0.23","0.1","0.06","0.26","0.37","0.22","0.09","51.5752269","75.29014022","1.058804926","18.52494749","36.12358158","75.25558302","14.86330929","32.4346023","23.73563879","56.6387556","47.96487715","63.38588316","53.02795257","40.36652514","47.60933987","7.953213451","19.50091003","46.27687353","63.27988432","45.48604145","44.17070378","-0.747121997","0.576067716","-0.927632417","0.578827416","-0.878117243","-0.067586609","0.180379886","0.519436402","0.503307576","0.593777445","0.38407464","-0.610687416","-0.270155876","-0.562199246","0.010612476","-0.073791691","-0.38076259","0.251639202","-0.730885685","-0.988238088","-0.485302313","","400"
"OH007","Ashtabula County","Ohio","1254566.788","2179033.606","0.518115915","179.156682","179.156682","2009","OHIO","","","","","","","","","","","","","","","","","","","","","0.19","0.61","0.18","0.02","","0.19","0.58","0.19","0.03","0.01","0.23","0.54","0.2","0.02","0.01","0.22","0.56","0.18","0.03","0.01","0.25","0.56","0.16","0.03","","0.24","0.53","0.18","0.04","0.01","0.21","0.52","0.22","0.04","0.01","0.2","0.54","0.21","0.04","0.01","0.19","0.53","0.23","0.04","0.01","0.21","0.54","0.2","0.04","0.01","0.26","0.5","0.19","0.04","0.01","0.24","0.49","0.21","0.05","0.01","0.23","0.48","0.23","0.05","0.01","0.24","0.48","0.22","0.05","0.01","0.23","0.49","0.22","0.05","0.01","0.23","0.51","0.19","0.06","0.01","0.24","0.5","0.19","0.05","0.02","0.22","0.5","0.22","0.05","0.01","0.28","0.49","0.18","0.04","0.01","43.00669928","76.05311235","12.58451956","37.94202473","52.79271399","77.61857112","35.40551829","3.987653097","45.58115924","42.54943502","31.27371017","25.64845257","15.27609346","14.64709503","4.690376999","14.33951881","63.61196994","38.41015845","26.53067041","51.09950058","16.06401954","-0.547565167","-0.736304474","0.438912603","-0.987910456","0.71117818","0.342671678","0.627636034","-0.464417587","0.986245618","-0.762370044","-0.570459966","0.054706319","-0.365838461","-0.586883547","0.931658296","-0.748550174","0.601063376","-0.889480925","-0.599845541","-0.011346693","-0.065415501","","0"
"OH007","Ashtabula County","Ohio","1254566.788","2179033.606","0.518115915","179.156682","179.156682","2010","OHIO","","","","","","0.12","0.55","0.3","0.03","","0.12","0.55","0.3","0.03","","0.13","0.6","0.24","0.03","","0.15","0.55","0.25","0.04","0.01","0.14","0.51","0.26","0.08","0.01","0.14","0.49","0.27","0.08","0.02","0.15","0.47","0.28","0.09","0.01","0.18","0.47","0.25","0.08","0.02","0.17","0.47","0.25","0.09","0.02","0.16","0.48","0.25","0.09","0.02","0.15","0.46","0.28","0.09","0.02","0.16","0.46","0.27","0.09","0.02","0.16","0.48","0.26","0.08","0.02","0.16","0.46","0.26","0.09","0.03","0.14","0.48","0.27","0.09","0.02","0.16","0.48","0.25","0.09","0.02","0.14","0.46","0.28","0.1","0.02","0.15","0.48","0.26","0.09","0.02","0.16","0.47","0.26","0.09","0.02","0.18","0.46","0.25","0.09","0.02","0.19","0.47","0.24","0.08","0.02","0.17","0.47","0.25","0.08","0.03","57.72932802","25.68430211","16.64636412","59.18824646","68.20704025","19.38160679","33.50113833","13.83856229","4.822726693","54.92241609","56.46989407","23.0071557","7.480417805","21.86031424","9.463557255","13.02853009","54.01330354","34.73811346","32.84214256","27.62011269","50.98829945","0.422888386","0.535660438","0.462357982","-0.215631076","-0.420500497","-0.605110322","-0.545257956","-0.909804884","0.108691654","-0.293584318","0.517883641","-0.461824289","-0.749630894","0.991379762","0.517393952","0.931864217","-0.507042106","-0.996552078","-0.372395103","0.740492549","0.006401644","","200"
