"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"PA049","Erie County","Pennsylvania","1307513.251","2220187.976","0.380693405","133.4351648","1618.113696","2001","PENNSYLVANIA","","","","","","","","","","","0.05","0.39","0.41","0.14","0.01","0.09","0.5","0.36","0.05","0","0.07","0.55","0.3","0.07","0.01","0.09","0.65","0.22","0.04","0","0.07","0.53","0.32","0.07","0.01","0.12","0.51","0.27","0.08","0.02","0.17","0.5","0.25","0.06","0.02","0.18","0.56","0.21","0.04","0.01","0.21","0.48","0.28","0.03","0","0.09","0.4","0.29","0.14","0.08","0.15","0.37","0.34","0.08","0.06","0.04","0.4","0.34","0.15","0.07","0.07","0.34","0.32","0.18","0.09","0.07","0.4","0.31","0.13","0.09","0.06","0.36","0.34","0.14","0.1","0.05","0.26","0.33","0.22","0.14","0.04","0.28","0.37","0.2","0.11","0.05","0.39","0.35","0.16","0.05","0.05","0.29","0.36","0.21","0.09","0.07","0.32","0.35","0.15","0.11","0.04","0.32","0.36","0.14","0.14","58.63213895","34.36973276","32.73479673","29.17355297","37.30764255","43.28632775","21.11566395","10.49002126","9.174376843","68.8402724","62.22174581","70.18452391","77.0450398","20.5279937","17.15816142","11.84780513","17.41565064","5.959037998","49.63427722","43.90008346","48.16042288","-0.699360322","0.212851107","0.551238524","-0.352991597","0.640070047","0.46423965","0.346761168","0.714578503","0.889142242","-0.987518048","-0.626814647","0.42920891","0.288421472","-0.268199796","0.786518075","-0.951932721","-0.985519918","0.963079842","-0.189215599","-0.126956075","-0.509172939","","900"
"PA049","Erie County","Pennsylvania","1307513.251","2220187.976","0.380693405","133.4351648","1618.113696","2002","PENNSYLVANIA","","","","","","","","","","","","","","","","0.06","0.5","0.34","0.1","0","0.17","0.5","0.29","0.04","0","0.16","0.58","0.23","0.03","0","0.27","0.48","0.21","0.03","0.01","0.25","0.53","0.19","0.03","0","0.21","0.5","0.23","0.05","0.01","0.23","0.38","0.32","0.05","0.02","0.1","0.46","0.36","0.06","0.02","0.06","0.32","0.34","0.19","0.09","0.06","0.32","0.35","0.19","0.08","0.04","0.25","0.33","0.25","0.13","0.02","0.18","0.28","0.31","0.21","0.01","0.14","0.24","0.27","0.34","0","0.12","0.2","0.35","0.33","0","0.12","0.23","0.35","0.3","0","0.12","0.21","0.33","0.34","0","0.08","0.25","0.29","0.38","0.01","0.11","0.21","0.32","0.35","0.01","0.11","0.23","0.33","0.32","0.02","0.1","0.26","0.34","0.28","1.182869998","21.85955771","3.551630715","63.05375467","46.54946958","71.3020282","18.93718277","53.11641333","6.617476856","24.83000192","28.3533381","32.82347927","48.58898751","62.26652063","76.52419905","9.861950016","51.2877998","57.19720515","33.13969578","19.66789359","33.04154887","-0.094700321","0.169334155","-0.918413473","-0.405384609","0.775232667","-0.30778201","0.849996945","-0.768916059","0.902974194","0.972716988","0.744423936","0.171511216","-0.982343978","0.523573159","0.882380942","-0.288746574","0.708309655","0.42521593","-0.485496375","-0.902418029","-0.532174571","","900"
"PA049","Erie County","Pennsylvania","1307513.251","2220187.976","0.380693405","133.4351648","1618.113696","2003","PENNSYLVANIA","","","","","","","","","","","","","","","","","","","","","0.14","0.39","0.41","0.06","0","0.16","0.42","0.32","0.09","0.01","0.14","0.35","0.41","0.07","0.03","0.08","0.33","0.39","0.15","0.05","0.15","0.42","0.3","0.1","0.03","0.14","0.45","0.28","0.09","0.04","0.27","0.33","0.28","0.09","0.03","0.21","0.37","0.29","0.1","0.03","0.29","0.38","0.24","0.06","0.03","0.33","0.35","0.21","0.08","0.03","0.28","0.41","0.22","0.06","0.03","0.3","0.39","0.23","0.06","0.02","0.26","0.45","0.2","0.07","0.02","0.3","0.4","0.21","0.06","0.03","0.27","0.46","0.18","0.07","0.02","0.25","0.47","0.19","0.07","0.02","0.21","0.46","0.18","0.09","0.06","0.18","0.51","0.17","0.09","0.05","0.3","0.38","0.2","0.07","0.05","61.32956625","5.244552134","63.04529221","65.87578153","9.466895987","2.126066905","62.89570337","67.2029275","21.89736832","58.48473398","2.723930709","72.85314386","22.57495366","49.77091717","62.96121466","25.59790182","64.49096902","28.13880713","10.00105926","77.32871736","7.379942261","0.571290468","-0.369431803","0.184632419","0.000640007","-0.483340533","-0.843481932","-0.243352802","-0.263522227","0.312232131","0.158455209","0.156150224","-0.621327363","0.617549439","0.250665739","-0.197002321","0.122908773","-0.649478111","0.260628707","0.94415564","0.118099633","-0.592376326","","700"
"PA049","Erie County","Pennsylvania","1307513.251","2220187.976","0.380693405","133.4351648","1618.113696","2004","PENNSYLVANIA","","","","","","","","","","","","","","","","0.3","0.55","0.13","0.01","0.01","0.34","0.48","0.16","0.01","0.01","0.34","0.44","0.2","0.01","0.01","0.29","0.53","0.16","0.02","0","0.44","0.39","0.14","0.02","0.01","0.46","0.33","0.17","0.03","0.01","0.39","0.43","0.14","0.03","0.01","0.43","0.33","0.18","0.05","0.01","0.47","0.35","0.13","0.04","0.01","0.39","0.4","0.15","0.05","0.01","0.5","0.36","0.12","0.02","0","0.51","0.33","0.12","0.03","0.01","0.56","0.29","0.1","0.03","0.02","0.53","0.31","0.12","0.03","0.01","0.46","0.41","0.1","0.02","0.01","0.44","0.42","0.1","0.03","0.01","0.51","0.4","0.05","0.03","0.01","0.37","0.47","0.15","0.01","0","0.54","0.36","0.07","0.02","0.01","0.43","0.38","0.14","0.04","0.01","51.31114707","37.64861908","41.67617436","57.63729841","68.40284609","22.73578573","27.61060929","4.031647416","39.92462461","27.11751375","3.984575924","3.658974235","71.02120376","51.18645984","69.89151729","37.94590258","57.17396834","70.36549406","42.19632446","25.70709215","67.44589869","0.380261146","0.430139798","0.456792105","-0.131625439","0.927650574","0.349831727","-0.386367978","0.496875992","-0.547250704","0.470639519","0.010300444","-0.51983867","-0.722601769","0.893020858","0.389641664","-0.734686512","0.514975412","-0.815489425","0.532009557","-0.218132944","0.64253479","","0"
"PA049","Erie County","Pennsylvania","1307513.251","2220187.976","0.380693405","133.4351648","1618.113696","2005","PENNSYLVANIA","","","","","","","","","","","0.09","0.67","0.23","0.01","0","0.11","0.51","0.35","0.03","0","0.09","0.58","0.27","0.05","0.01","0.13","0.6","0.23","0.04","0","0.16","0.58","0.22","0.04","0","0.07","0.48","0.35","0.09","0.01","0.08","0.41","0.37","0.12","0.02","0.12","0.5","0.3","0.06","0.02","0.17","0.53","0.24","0.05","0.01","0.26","0.45","0.21","0.06","0.02","0.25","0.46","0.22","0.06","0.01","0.18","0.45","0.22","0.1","0.05","0.13","0.37","0.27","0.16","0.07","0.1","0.44","0.29","0.13","0.04","0.13","0.44","0.28","0.11","0.04","0.14","0.42","0.29","0.11","0.04","0.1","0.4","0.34","0.11","0.05","0.09","0.47","0.32","0.09","0.03","0.12","0.39","0.31","0.12","0.06","0.15","0.42","0.29","0.1","0.04","0.19","0.46","0.23","0.08","0.04","53.25605696","69.16823389","55.07542805","10.66836372","33.5126674","43.79421653","26.88595147","33.07230076","61.95833265","8.162037787","47.9781085","30.22889166","59.84350097","20.27399057","53.02695495","10.03409831","34.48106076","43.89974719","77.67004621","19.70069602","54.13014811","0.819221574","-0.787933933","0.503479149","0.645791716","0.812912145","-0.02361967","-0.057415235","0.117880433","0.134637299","0.035954257","0.565337379","-0.150547233","-0.314002971","0.957175652","-0.012703467","0.829401413","0.917388763","0.733875395","0.181547387","-0.708681513","0.556596292","","0"
"PA049","Erie County","Pennsylvania","1307513.251","2220187.976","0.380693405","133.4351648","1618.113696","2006","PENNSYLVANIA","","","","","","","","","","","0.15","0.48","0.31","0.05","0.01","0.1","0.54","0.3","0.06","0","0.15","0.53","0.3","0.02","0","0.2","0.48","0.27","0.04","0.01","0.23","0.34","0.37","0.05","0.01","0.23","0.4","0.31","0.05","0.01","0.23","0.54","0.18","0.04","0.01","0.3","0.49","0.15","0.05","0.01","0.36","0.39","0.19","0.04","0.02","0.44","0.41","0.12","0.02","0.01","0.36","0.47","0.13","0.03","0.01","0.28","0.53","0.16","0.03","0","0.3","0.44","0.19","0.05","0.02","0.23","0.49","0.24","0.03","0.01","0.17","0.45","0.28","0.07","0.03","0.14","0.5","0.29","0.05","0.02","0.19","0.5","0.23","0.05","0.03","0.17","0.5","0.25","0.05","0.03","0.17","0.53","0.23","0.05","0.02","0.16","0.5","0.25","0.06","0.03","0.18","0.54","0.21","0.04","0.03","56.29968057","22.3730622","45.10000261","71.26815867","33.62206047","48.2017138","74.6570605","30.25299179","14.23012615","15.87416313","31.34354821","65.02316181","74.64941222","63.64322499","75.06534631","20.87600189","14.97601572","24.12630103","70.68901393","75.67274517","1.24948754","-0.590009322","-0.342702183","0.336883031","0.771888468","0.750932651","0.511309391","0.444488887","0.830088149","-0.86030904","0.016554522","0.900622707","-0.584403911","-0.994287469","0.674133653","0.568968574","0.767812356","-0.537816965","0.837111874","-0.781499478","-0.337561532","-0.859525375","","500"
"PA049","Erie County","Pennsylvania","1307513.251","2220187.976","0.380693405","133.4351648","1618.113696","2007","PENNSYLVANIA","","","","","","","","","","","0.12","0.59","0.29","0","0","0.12","0.69","0.18","0.01","0","0.15","0.51","0.32","0.02","0","0.16","0.51","0.27","0.05","0.01","0.18","0.52","0.24","0.05","0.01","0.16","0.52","0.23","0.06","0.03","0.17","0.46","0.26","0.08","0.03","0.16","0.42","0.3","0.08","0.04","0.14","0.42","0.24","0.08","0.12","0.16","0.32","0.26","0.11","0.15","0.17","0.39","0.23","0.1","0.11","0.12","0.29","0.26","0.15","0.18","0.14","0.38","0.28","0.13","0.07","0.14","0.34","0.19","0.13","0.2","0.11","0.43","0.2","0.12","0.14","0.12","0.43","0.23","0.11","0.11","0.13","0.39","0.2","0.11","0.17","0.11","0.4","0.2","0.12","0.17","0.14","0.48","0.21","0.1","0.07","0.15","0.44","0.26","0.1","0.05","0.12","0.33","0.22","0.14","0.19","64.57190565","49.87890021","70.05339784","45.20321144","33.68044577","20.62406146","53.84105464","72.13659764","38.27468068","65.44071193","42.24841635","68.80223691","2.316376494","79.45197716","34.33982111","71.77406214","79.5668408","25.18859107","9.891749166","26.29046981","30.03105761","0.784252319","-0.354070757","-0.544556484","-0.673815918","0.885709013","-0.473507493","0.873907786","-0.423100955","0.039063926","0.047597454","0.88835445","-0.977297425","0.914233189","0.137394818","-0.240356596","0.957830184","-0.324699896","0.462265219","-0.208167261","-0.22416272","0.307496211","","500"
"PA049","Erie County","Pennsylvania","1307513.251","2220187.976","0.380693405","133.4351648","1618.113696","2008","PENNSYLVANIA","","","","","","","","","","","","","","","","","","","","","0.17","0.45","0.33","0.05","0","0.18","0.5","0.28","0.04","0","0.21","0.56","0.19","0.04","0","0.17","0.55","0.24","0.03","0.01","0.1","0.54","0.31","0.04","0.01","0.18","0.47","0.28","0.07","0","0.23","0.53","0.19","0.05","0","0.21","0.46","0.26","0.06","0.01","0.32","0.43","0.21","0.04","0","0.3","0.43","0.21","0.06","0","0.18","0.64","0.14","0.03","0.01","0.28","0.5","0.18","0.04","0","0.15","0.5","0.27","0.07","0.01","0.2","0.47","0.24","0.08","0.01","0.19","0.44","0.26","0.1","0.01","0.19","0.45","0.22","0.13","0.01","0.17","0.47","0.24","0.12","0","0.18","0.49","0.22","0.1","0.01","0.18","0.55","0.18","0.09","0","33.79471812","22.05719211","75.21620518","48.58287482","32.77486705","23.11138432","36.01879116","45.01248833","10.61819084","30.47484023","79.34847051","57.45413346","14.56964564","58.57320339","64.77444322","10.41632158","56.07761009","69.26663474","70.15384236","67.82875999","27.07690997","-0.241187136","-0.381875311","0.055695333","-0.932225151","0.582417041","0.084791852","-0.183453848","0.587579284","-0.490933822","-0.819869379","0.099361821","0.3014004","-0.688543163","-0.002075413","0.923699741","-0.671711728","-0.798386153","-0.781248061","0.19227449","-0.572972381","0.565657797","",""
"PA049","Erie County","Pennsylvania","1307513.251","2220187.976","0.380693405","133.4351648","1618.113696","2009","PENNSYLVANIA","","","","","","","","","","","","","","","","","","","","","0.12","0.63","0.24","0.01","","0.18","0.56","0.22","0.04","","0.16","0.58","0.23","0.03","","0.19","0.52","0.25","0.03","0.01","0.2","0.56","0.2","0.03","0.01","0.24","0.57","0.15","0.03","0.01","0.26","0.49","0.21","0.03","0.01","0.26","0.47","0.22","0.04","0.01","0.23","0.53","0.18","0.05","0.01","0.24","0.52","0.18","0.05","0.01","0.28","0.5","0.18","0.03","0.01","0.3","0.49","0.14","0.06","0.01","0.29","0.53","0.14","0.04","","0.32","0.5","0.12","0.05","0.01","0.31","0.49","0.14","0.05","0.01","0.29","0.53","0.14","0.03","0.01","0.28","0.53","0.15","0.03","0.01","0.32","0.46","0.16","0.05","0.01","0.38","0.48","0.11","0.02","0.01","14.96528117","63.01414564","63.07246691","26.23341239","41.96731419","71.53934891","15.46719939","35.98048537","65.24411523","43.85030966","56.48924924","37.28198945","19.10728621","28.20147954","6.085410435","5.23516432","1.699685123","56.28092305","52.70274548","47.32348771","53.40921918","-0.985497213","0.038086194","0.112014375","0.010426871","0.35535448","-0.678989712","-0.086781535","-0.073942468","-0.733975611","-0.028980745","-0.063812636","0.332726978","-0.907863303","0.82068535","0.014684066","-0.751036573","0.880990564","0.110291962","0.483412255","-0.258062885","0.918337648","",""
"PA049","Erie County","Pennsylvania","1307513.251","2220187.976","0.380693405","133.4351648","1618.113696","2010","PENNSYLVANIA","","","","","","0.16","0.58","0.23","0.03","","0.21","0.57","0.2","0.02","","0.21","0.68","0.1","0.01","","0.24","0.55","0.2","0.01","","0.22","0.6","0.17","0.01","","0.25","0.59","0.13","0.03","","0.29","0.44","0.24","0.03","","0.12","0.46","0.28","0.12","0.02","0.09","0.32","0.31","0.2","0.08","0.16","0.38","0.31","0.12","0.03","0.15","0.37","0.32","0.13","0.03","0.15","0.37","0.34","0.12","0.02","0.11","0.4","0.32","0.12","0.05","0.12","0.41","0.27","0.14","0.06","0.06","0.41","0.38","0.11","0.04","0.14","0.43","0.27","0.12","0.04","0.12","0.46","0.23","0.12","0.07","0.12","0.36","0.24","0.21","0.07","0.12","0.43","0.21","0.19","0.05","0.14","0.4","0.24","0.18","0.04","0.11","0.37","0.25","0.21","0.06","0.14","0.43","0.24","0.13","0.06","67.10822412","26.1167314","60.05211215","37.38975067","18.12050598","72.1572774","67.15309044","13.8419123","77.31638349","40.57530882","31.68155883","11.07020405","31.2965568","68.78783562","21.78925528","45.71214025","51.05049864","68.13485665","69.45366744","14.56784204","17.04525952","0.780624722","0.243776713","-0.300147008","-0.024964736","-0.875327453","0.665745117","0.607725307","-0.965090377","-0.92145735","0.762468167","-0.712893993","0.711085998","-0.144757404","0.522487089","-0.598079544","-0.476376284","-0.21420671","0.760968814","0.72022783","0.700125419","-0.630859956","","500"
