"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"RI600","State of Rhode Island: Bristol","Kent","2003277.874","2324787.646","0.27023325","141.0745279","2452.500053","2001","RHODE ISLAND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.21148811","51.93688292","56.3855071","79.65783426","27.18161345","79.48405287","26.56746468","73.8589176","42.94665596","59.00942036","4.518885743","50.89472431","5.967856428","61.07572594","42.91723977","27.40673042","78.35860061","4.535212669","41.32489845","53.50885871","13.6038187","0.06076045","-0.287131172","-0.319817074","-0.539982446","0.727474857","0.575890994","0.652550464","-0.562216864","0.109871489","-0.012235261","0.97065735","0.668479458","-0.519385902","0.876645824","0.138143066","-0.207735963","-0.107181568","-0.784676641","0.990563939","-0.770014575","-0.053466431","",""
"RI600","State of Rhode Island: Bristol","Kent","2003277.874","2324787.646","0.27023325","141.0745279","2452.500053","2002","RHODE ISLAND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.04869759","43.85445762","23.7714181","47.01597419","74.01801553","48.78960287","49.34966821","50.75922837","33.36570204","46.30203782","77.28477322","52.94656213","73.02390429","45.2415552","54.85530093","72.26495324","24.98507116","51.47483283","6.663807703","73.85867651","39.42586267","-0.254395075","-0.671562115","-0.59889184","0.03706628","-0.134981658","-0.71847841","-0.199704333","0.111476457","0.234270934","-0.264464803","0.364664598","0.4443768","0.415739776","0.502875895","0.302707059","0.738369229","0.973330333","0.226684057","-0.997838328","0.543418332","0.586366137","",""
"RI600","State of Rhode Island: Bristol","Kent","2003277.874","2324787.646","0.27023325","141.0745279","2452.500053","2003","RHODE ISLAND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.02420293","56.9785424","37.04426651","36.37290074","20.44426039","18.48059528","22.95114063","63.16192043","68.04695724","1.095247951","53.89632444","28.30832438","22.94152889","64.86168014","26.2785804","28.90457455","23.53984589","4.821662849","45.2425216","54.39813158","44.76970354","-0.522058745","-0.348498759","0.047516464","-0.306152845","-0.65250932","0.250395692","0.09547146","0.197189347","-0.778143877","-0.109599661","-0.585480853","0.861503554","0.70735426","-0.14486879","0.00453943","-0.864011392","0.365124535","0.004308408","0.94575181","-0.017624472","0.048120294","",""
"RI600","State of Rhode Island: Bristol","Kent","2003277.874","2324787.646","0.27023325","141.0745279","2452.500053","2004","RHODE ISLAND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.04495112","8.046091765","26.69086766","47.46846802","25.09733294","16.58465544","5.717035614","4.839277119","68.8135213","8.419751788","49.25123971","71.39187467","28.05083299","69.88092192","25.72431685","14.52693725","19.02803336","46.0106553","54.2471309","74.23789495","14.58568679","0.95605203","0.946380889","0.959181268","0.140333241","-0.167697606","-0.8042678","0.152890602","0.151192145","-0.926491824","-0.910782098","-0.437143004","0.28946497","0.486918276","-0.784720641","-0.104017425","0.379384993","0.149384701","0.468924541","0.59112774","0.854698303","-0.626346727","",""
"RI600","State of Rhode Island: Bristol","Kent","2003277.874","2324787.646","0.27023325","141.0745279","2452.500053","2005","RHODE ISLAND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.99566879","23.12626169","64.72642767","68.34571988","9.560983022","46.97809629","40.65162092","45.75043107","75.04210405","19.43964259","62.32671996","36.03522351","64.03174775","35.00700568","49.7742855","38.02205856","19.03354333","10.65058811","64.22480099","68.94384756","47.661134","-0.271632613","0.290437303","-0.699266253","0.66336447","0.785703983","-0.196791508","0.577885243","-0.649997819","0.689498942","0.646723671","-0.354619014","0.967752531","0.796886367","0.556156732","-0.72618242","0.56370153","0.725008761","-0.281969979","-0.756032374","0.672649247","0.242238209","",""
"RI600","State of Rhode Island: Bristol","Kent","2003277.874","2324787.646","0.27023325","141.0745279","2452.500053","2006","RHODE ISLAND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.67398749","40.40405775","73.19056673","77.35130511","62.52410841","16.44721146","6.182987962","4.930236847","56.41901404","6.566222011","73.1094878","10.58799126","67.96490069","40.37861238","25.58698597","8.449539412","12.99826419","24.84063885","36.68004083","61.24154611","31.25934479","0.393771709","-0.375388856","0.734461908","-0.492750136","-0.4189891","-0.385646009","-0.280286187","-0.839063299","0.695047694","-0.319867112","-0.821810669","-0.727368843","0.41162087","-0.680605386","-0.548275523","0.918328924","-0.731968492","0.629295996","0.762729026","0.469688707","-0.531098928","",""
"RI600","State of Rhode Island: Bristol","Kent","2003277.874","2324787.646","0.27023325","141.0745279","2452.500053","2007","RHODE ISLAND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.18454782","74.25835353","64.43731808","31.04876724","42.84780158","70.26782832","8.208589387","46.19747127","35.04139245","6.82239266","61.52735628","71.08813174","55.7239161","20.14372034","61.72994408","15.95175527","19.79959369","16.94612135","57.13604604","26.83844068","20.60732583","0.658229581","0.158887444","0.338959739","0.379079414","0.924256188","-0.020456638","0.538366286","0.868227488","-0.741329378","0.48540904","-0.680845059","0.549089457","0.108100063","0.938108399","-0.1730741","-0.679614185","-0.13358249","-0.997325009","0.026019821","-0.726846139","0.047062229","",""
"RI600","State of Rhode Island: Bristol","Kent","2003277.874","2324787.646","0.27023325","141.0745279","2452.500053","2008","RHODE ISLAND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.64026003","65.17048205","77.87014127","77.67121293","72.93379904","75.78180143","39.28559071","29.66030818","1.27016153","62.16255794","20.14914283","45.51275007","3.875094134","31.87664973","69.8356592","69.41721318","73.5272069","5.846340632","25.54090851","4.552590423","53.69003494","0.334360616","0.031423986","-0.312116178","0.547882399","0.931966776","-0.753528536","0.238951029","-0.698206839","0.661202668","0.648035097","0.457281244","-0.170199645","-0.123285988","-0.582019623","0.126077554","0.255546049","-0.387375391","0.526149133","-0.886959541","-0.884580847","-0.356665369","",""
"RI600","State of Rhode Island: Bristol","Kent","2003277.874","2324787.646","0.27023325","141.0745279","2452.500053","2009","RHODE ISLAND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.74942246","12.38032758","47.09757157","19.18219456","68.87360424","38.21369467","34.80408489","74.37328386","15.70301227","35.76132367","22.12336493","57.61263837","72.95482224","36.50714656","59.6889719","59.89535343","54.60623756","65.34660799","72.38024307","28.63103073","51.22903823","-0.84756586","0.537302858","-0.54120668","-0.676513318","0.577238899","-0.961851025","-0.338581851","0.113751792","0.646208308","0.618904733","-0.219258346","0.97843441","0.789847528","-0.659109893","-0.681635061","0.696324944","-0.913131024","-0.998672037","-0.426763963","-0.938558348","-0.428973267","",""
"RI600","State of Rhode Island: Bristol","Kent","2003277.874","2324787.646","0.27023325","141.0745279","2452.500053","2010","RHODE ISLAND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.78008026","45.56228763","14.19735291","19.8330869","77.54876729","41.75555195","43.35460122","36.2436219","58.32262892","35.81731991","54.88173182","10.91035127","78.18404959","10.49354647","37.06602911","56.19148505","71.35087643","68.58949556","15.18994215","4.344431784","37.27237978","-0.661342299","0.053475304","-0.722088019","0.384459397","-0.722972849","0.327521546","0.057110782","0.454314854","0.068768992","0.318339512","-0.156153586","0.155819215","0.540681935","-0.737102331","-0.55136888","-0.343934173","0.929450656","0.88866768","-0.88764929","0.018381703","0.231971589","",""
