"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"SC045","Greenville County","South Carolina","1231210.643","1403336.833","0.341161825","169.8091221","429.1583887","2001","SOUTH CAROLINA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.24787222","23.5901312","59.72381424","19.87326618","5.223181358","17.19684094","10.53834829","3.440258891","13.08326068","63.47537844","61.07855883","35.85238519","68.35809496","51.17937257","67.8874268","31.02899217","19.7842043","49.31911558","44.47480219","65.23380568","40.41813832","-0.057250511","-0.24688558","-0.433187427","-0.4319307","-0.655938307","0.239026635","0.716663848","-0.757307342","0.861275836","0.840967789","-0.686975937","0.229855515","0.685778348","-0.907045397","-0.151653126","0.894141083","0.661634895","-0.841212145","-0.697081973","0.232533586","0.542562101","",""
"SC045","Greenville County","South Carolina","1231210.643","1403336.833","0.341161825","169.8091221","429.1583887","2002","SOUTH CAROLINA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.82959047","9.899274067","79.03150651","37.67652647","16.53108326","35.93551069","73.62432065","23.57219997","65.81672827","60.24891015","24.81057468","75.67200304","31.71879927","58.14055542","35.69208428","33.04149599","16.22444762","10.12077876","61.49603028","5.023539398","37.64243091","-0.223229338","0.299065515","0.83313818","-0.804408529","0.13226614","0.205664136","-0.756904192","0.771179307","0.599911975","0.119959657","-0.216459867","-0.200816384","0.144593185","-0.592328724","0.679578524","0.816491985","0.299560572","-0.542188362","-0.367849585","-0.797416838","0.148652675","","13"
"SC045","Greenville County","South Carolina","1231210.643","1403336.833","0.341161825","169.8091221","429.1583887","2003","SOUTH CAROLINA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.74085472","26.85610196","42.27874567","68.86339594","76.47389389","30.66290544","8.033177872","45.73304006","64.92341874","57.32670395","3.225342749","63.4120424","44.16564264","32.25827649","17.25160428","27.49269098","77.3441043","44.37480389","34.64314985","73.14158861","24.48252508","-0.749959627","-0.791845073","-0.055069156","0.144652736","0.92080656","0.826889176","0.710111817","-0.045275438","-0.877084332","-0.916226733","-0.866707516","-0.965448434","-0.382582929","0.809338087","0.217818972","0.782391783","0.738579332","0.700048658","-0.829727111","0.300103888","0.583951376","",""
"SC045","Greenville County","South Carolina","1231210.643","1403336.833","0.341161825","169.8091221","429.1583887","2004","SOUTH CAROLINA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.018529069","45.03540262","43.80428375","59.48412788","4.37060343","50.27392753","15.89874147","53.39967665","3.50329599","6.487842405","20.99433259","64.40407706","7.319657515","65.76948912","39.55266855","41.60946246","21.24105501","13.00413652","63.55413993","20.52883556","79.21634648","0.979070361","-0.244953988","-0.807534534","-0.745361712","0.112127951","0.742702485","0.816416662","-0.46274746","0.801331998","-0.132488747","-0.648565241","-0.632764247","-0.203708651","-0.935188518","0.949639136","0.212080794","-0.996980683","-0.408617103","-0.394634153","0.717035831","0.887054945","",""
"SC045","Greenville County","South Carolina","1231210.643","1403336.833","0.341161825","169.8091221","429.1583887","2005","SOUTH CAROLINA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.16827316","27.95139367","57.84749426","46.12962392","54.45590734","35.38350759","7.082280757","46.95418435","7.068169367","26.5178154","4.57275434","43.65561308","47.00728718","67.22347809","36.6245049","24.17800551","26.75083298","61.98833335","21.613105","6.445471481","59.80758793","0.021641024","-0.106784985","-0.225602502","0.94756355","-0.90124609","-0.672487757","-0.461959763","0.270678494","-0.606584198","-0.163188972","-0.340638192","0.614974766","0.290193576","0.374459016","-0.32769878","0.702325714","-0.584911468","0.265480852","0.763359251","0.611363764","0.016702628","",""
"SC045","Greenville County","South Carolina","1231210.643","1403336.833","0.341161825","169.8091221","429.1583887","2006","SOUTH CAROLINA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.09479957","68.42283496","78.97357516","2.357241816","34.31562424","22.63854311","6.532698132","60.41553595","20.94504606","29.29369974","22.87897553","18.62540023","62.95908758","13.08447649","11.79500121","71.58919748","44.19380269","47.41728284","15.9545105","2.363868373","12.72868617","0.549681962","-0.086980056","-0.889156581","-0.886186496","-0.714124543","0.560187132","0.636169455","-0.435432434","-0.519515548","-0.989031385","0.859814562","-0.788518111","-0.330400334","0.692914262","-0.580193515","-0.500438905","0.008045903","-0.749362715","0.633824979","-0.928419546","0.947091492","",""
"SC045","Greenville County","South Carolina","1231210.643","1403336.833","0.341161825","169.8091221","429.1583887","2007","SOUTH CAROLINA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.37002483","69.0139021","57.34522284","3.676815286","26.45855352","59.39794697","38.73740946","75.82706795","71.5201548","10.79631284","46.40018129","63.39409138","60.4178891","36.4313849","8.69000404","67.0526918","49.75014415","73.41768418","26.80422685","44.92966193","69.62559569","-0.961405238","0.688845266","0.018357169","0.650628214","-0.469392374","-0.735297982","0.012123491","0.85363436","-0.099346512","0.284897206","0.673882647","-0.286583667","0.1892916","0.216646672","0.616013121","-0.348426033","0.033949221","-0.12939109","-0.37614234","0.079691777","-0.098197129","","14"
"SC045","Greenville County","South Carolina","1231210.643","1403336.833","0.341161825","169.8091221","429.1583887","2008","SOUTH CAROLINA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.29042133","71.94358061","18.42541849","73.51294965","59.10896612","74.98316481","45.18236153","72.03293895","7.577473246","50.35121624","20.69563747","61.46091692","31.38379749","56.42540692","55.16532368","68.15974381","56.7686789","14.80439552","31.50528028","13.32769511","7.64047977","0.411593569","0.037119936","-0.496892575","0.217824377","-0.598066665","-0.236878782","-0.712124397","-0.196003071","0.101728299","-0.701903377","-0.389962614","-0.326585664","0.101869059","-0.123748282","-0.223723942","0.005819286","-0.751525368","0.35884268","-0.062077662","0.322523875","-0.317719805","",""
"SC045","Greenville County","South Carolina","1231210.643","1403336.833","0.341161825","169.8091221","429.1583887","2009","SOUTH CAROLINA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.45876549","10.96178069","3.817522419","3.102698852","41.20545167","36.98539067","78.76065894","44.7397217","74.96548547","22.49590299","29.99108736","31.72684778","53.50247189","73.83174112","63.90887387","11.25360911","5.092566756","70.92770442","57.79922324","24.04457359","39.87797087","0.100032705","0.404023731","-0.159823411","-0.049286698","0.99675405","0.479890716","-0.841899203","0.380270753","0.221003277","-0.040158554","-0.381869141","0.273187459","-0.220038119","0.107751553","0.991939299","0.882271656","0.159705039","-0.955932324","0.37655378","-0.274433591","-0.975808637","",""
"SC045","Greenville County","South Carolina","1231210.643","1403336.833","0.341161825","169.8091221","429.1583887","2010","SOUTH CAROLINA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.03936983","40.80591422","22.54768889","45.03067915","45.7711867","35.84065736","47.39003676","73.14870363","74.66881868","69.82336852","29.56219127","30.18709595","30.50345421","19.43586994","32.66856801","36.95584144","66.94044062","20.99320209","37.00812985","41.87429542","73.86633291","-0.381135399","-0.468929778","0.346830287","-0.030597215","0.922969344","-0.171420433","0.941716054","-0.346793669","-0.388092278","0.438896192","-0.924143051","-0.552187116","0.484532397","-0.337569011","-0.909809023","-0.977666625","0.235288319","0.616789293","0.154297439","0.303553527","0.499133777","",""
