"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"SD063","Harding County","South Dakota","-584561.2647","2533269.27","0.054348282","111.4087948","759.5048233","2001","SOUTH DAKOTA","","","","","","","","","","","0.1","0.55","0.32","0.03","0","0.16","0.64","0.16","0.03","0.01","0.14","0.66","0.18","0.02","0","0.17","0.62","0.19","0.02","0","0.17","0.59","0.19","0.05","0","0.16","0.57","0.22","0.04","0.01","0.15","0.57","0.24","0.03","0.01","0.21","0.59","0.17","0.03","0","0.19","0.57","0.21","0.02","0.01","0.21","0.54","0.21","0.04","0","0.19","0.57","0.17","0.07","0","0.27","0.51","0.18","0.03","0.01","0.2","0.54","0.2","0.05","0.01","0.19","0.47","0.27","0.06","0.01","0.14","0.46","0.28","0.09","0.03","0.15","0.39","0.29","0.13","0.04","0.15","0.38","0.3","0.11","0.06","0.15","0.45","0.29","0.1","0.01","0.14","0.45","0.3","0.08","0.03","0.14","0.47","0.3","0.07","0.02","0.14","0.54","0.25","0.06","0.01","47.51403544","71.31468495","63.64231707","76.18788589","4.203806538","39.10136667","25.24329849","19.34843863","48.04808452","18.40247725","77.39906704","68.70533246","57.7994886","15.33171103","7.015601493","79.68040085","8.689021559","70.19879629","7.20752083","43.12693293","28.46560251","0.86871849","-0.031241787","0.870845014","-0.772558","0.370053663","-0.295899815","-0.879972956","-0.019543258","-0.661929828","-0.016076804","0.960280438","-0.034754148","-0.447976054","-0.547070491","0.640528054","-0.451404138","-0.646082996","-0.548789041","0.391882028","0.277451989","-0.236944425","61","0"
"SD063","Harding County","South Dakota","-584561.2647","2533269.27","0.054348282","111.4087948","759.5048233","2002","SOUTH DAKOTA","","","","","","","","","","","","","","","","0.06","0.5","0.31","0.08","0.05","0.08","0.5","0.31","0.09","0.02","0.07","0.51","0.24","0.13","0.05","0.07","0.46","0.28","0.12","0.07","0.07","0.43","0.3","0.16","0.04","0.06","0.43","0.28","0.15","0.08","0.03","0.39","0.34","0.16","0.08","0.05","0.36","0.33","0.16","0.1","0.01","0.22","0.34","0.25","0.18","0.03","0.24","0.28","0.26","0.19","0.04","0.21","0.28","0.21","0.26","0.05","0.22","0.27","0.24","0.22","0.06","0.25","0.27","0.22","0.2","0.06","0.32","0.24","0.17","0.21","0.06","0.32","0.24","0.19","0.19","0.07","0.3","0.27","0.16","0.2","0.05","0.35","0.25","0.18","0.17","0.06","0.33","0.26","0.17","0.18","0.06","0.33","0.27","0.16","0.18","0.07","0.35","0.25","0.19","0.14","44.24530779","22.29490942","44.03119844","22.38834566","14.21162806","32.03497511","59.93894457","77.68092089","12.10912989","59.38414082","48.5760386","41.14712813","67.73486356","35.63063654","28.12899977","19.93927785","37.21771326","78.66762506","20.15876782","72.25871423","35.0303618","0.959268784","-0.650794933","0.947935412","-0.022803515","0.778911521","-0.647749885","-0.443636628","0.556894158","0.445069466","-0.13055739","-0.505840849","-0.349289117","-0.803599928","-0.56965034","-0.280450479","-0.656225705","-0.276295868","-0.332177506","0.898760755","0.006726443","-0.385871463","0"," "
"SD063","Harding County","South Dakota","-584561.2647","2533269.27","0.054348282","111.4087948","759.5048233","2003","SOUTH DAKOTA","","","","","","","","","","","","","","","","","","","","","0.11","0.73","0.15","0.01","0","0.11","0.7","0.17","0.02","0","0.12","0.68","0.19","0.01","0","0.17","0.65","0.16","0.02","0","0.2","0.65","0.14","0.01","0","0.23","0.59","0.16","0.02","0","0.25","0.59","0.13","0.02","0.01","0.29","0.5","0.17","0.03","0.01","0.23","0.56","0.16","0.03","0.02","0.21","0.5","0.21","0.06","0.02","0.26","0.46","0.2","0.06","0.02","0.17","0.45","0.21","0.12","0.05","0.11","0.47","0.24","0.12","0.06","0.08","0.4","0.26","0.19","0.07","0.07","0.37","0.3","0.17","0.09","0.08","0.41","0.3","0.14","0.07","0.09","0.39","0.31","0.14","0.07","0.12","0.4","0.26","0.13","0.09","0.13","0.39","0.26","0.14","0.08","8.418821002","77.57575019","63.26911996","10.53467636","59.5297638","41.41537829","13.39611957","17.52864785","43.14554235","15.9439186","38.37323396","58.24771199","32.7579681","1.655924374","71.10109708","25.68317439","39.04597113","30.76124857","60.65194822","18.32236343","58.90816849","0.84487047","0.878863166","-0.889721798","-0.461661435","0.141967778","0.278500216","0.043523316","0.469480338","0.956395559","-0.387815833","0.193596688","0.400823896","-0.288700504","0.742315038","-0.028905545","-0.135531532","0.724169623","0.651512947","0.466701361","-0.822866365","-0.366631223","36.7","30"
"SD063","Harding County","South Dakota","-584561.2647","2533269.27","0.054348282","111.4087948","759.5048233","2004","SOUTH DAKOTA","","","","","","","","","","","","","","","","0.11","0.52","0.31","0.04","0.02","0.1","0.62","0.23","0.04","0.01","0.12","0.64","0.2","0.03","0.01","0.15","0.65","0.17","0.02","0.01","0.16","0.63","0.18","0.02","0.01","0.12","0.64","0.2","0.03","0.01","0.18","0.62","0.17","0.02","0.01","0.16","0.62","0.19","0.02","0.01","0.2","0.64","0.14","0.02","0","0.27","0.55","0.16","0.02","0","0.24","0.54","0.18","0.04","0","0.27","0.5","0.18","0.04","0.01","0.23","0.53","0.18","0.04","0.02","0.18","0.47","0.23","0.09","0.03","0.16","0.44","0.27","0.1","0.03","0.09","0.47","0.27","0.12","0.05","0.18","0.48","0.23","0.09","0.02","0.2","0.46","0.22","0.08","0.04","0.17","0.46","0.25","0.08","0.04","0.16","0.47","0.25","0.09","0.03","4.790204567","56.57377116","19.13210845","10.27824421","29.39996631","10.02268282","33.55876282","10.85859984","7.380417104","59.79843283","21.30752273","8.423720163","44.55059676","19.48960461","40.29744347","60.95879271","43.79426965","21.86336448","45.81202401","71.57158146","22.15635308","0.82986919","0.4590991","0.16907177","-0.939964039","0.118373313","0.256683429","0.480999502","-0.524036885","-0.77546395","0.739669731","-0.432716195","-0.36311757","0.762423303","-0.763224034","0.83877181","-0.509298461","-0.588500245","0.904671645","0.089255159","0.903015757","-0.153701713","70","10"
"SD063","Harding County","South Dakota","-584561.2647","2533269.27","0.054348282","111.4087948","759.5048233","2005","SOUTH DAKOTA","","","","","","","","","","","0.12","0.61","0.22","0.05","0","0.11","0.65","0.2","0.04","0","0.11","0.66","0.19","0.03","0.01","0.12","0.69","0.16","0.02","0.01","0.13","0.62","0.2","0.04","0.01","0.15","0.64","0.18","0.02","0.01","0.26","0.58","0.13","0.02","0.01","0.28","0.58","0.12","0.02","0","0.25","0.55","0.16","0.03","0.01","0.18","0.52","0.25","0.04","0.01","0.2","0.48","0.24","0.06","0.02","0.2","0.5","0.21","0.07","0.02","0.15","0.43","0.27","0.1","0.05","0.12","0.44","0.27","0.1","0.07","0.16","0.42","0.25","0.11","0.06","0.09","0.43","0.28","0.14","0.06","0.15","0.39","0.25","0.14","0.07","0.15","0.41","0.25","0.13","0.06","0.13","0.44","0.24","0.13","0.06","0.11","0.47","0.26","0.11","0.05","0.16","0.45","0.21","0.12","0.06","15.32859007","59.12486118","69.82587678","28.01093643","33.26649616","19.16704347","24.85813329","22.36733378","37.92942509","69.31477379","4.445238826","68.76415073","51.22816833","37.04045414","27.78722517","2.521316187","21.62797005","32.99485096","20.98166519","11.06525543","34.39554201","-0.162329606","0.276349635","-0.753182974","0.795835154","0.001863711","-0.665457371","-0.093308707","-0.184177368","-0.586376527","-0.488797527","0.951241594","-0.298117945","0.591715269","0.163718307","-0.90786821","0.129413005","-0.737364159","-0.7867215","-0.042915865","0.780578971","-0.032506052","0",""
"SD063","Harding County","South Dakota","-584561.2647","2533269.27","0.054348282","111.4087948","759.5048233","2006","SOUTH DAKOTA","","","","","","","","","","","0.06","0.66","0.24","0.03","0.01","0.13","0.6","0.22","0.04","0.01","0.12","0.58","0.25","0.04","0.01","0.11","0.56","0.26","0.06","0.01","0.13","0.53","0.27","0.05","0.02","0.21","0.49","0.22","0.06","0.02","0.19","0.45","0.23","0.09","0.04","0.15","0.4","0.28","0.11","0.06","0.1","0.32","0.31","0.17","0.1","0.04","0.3","0.32","0.21","0.13","0.02","0.2","0.28","0.23","0.27","0.02","0.2","0.28","0.26","0.24","0.02","0.22","0.23","0.26","0.27","0.05","0.22","0.24","0.25","0.24","0.04","0.23","0.21","0.27","0.25","0.06","0.23","0.25","0.24","0.22","0.04","0.23","0.29","0.21","0.23","0.05","0.21","0.24","0.25","0.25","0.04","0.24","0.25","0.25","0.22","0.06","0.27","0.24","0.24","0.19","0.05","0.28","0.23","0.23","0.21","16.61357295","39.03629495","62.41973727","34.35457093","49.9029228","50.29727096","26.51684504","75.8296563","39.75428949","13.00338862","61.11409365","14.94188837","29.42715713","29.47638895","70.91660859","61.24181889","47.61128141","13.3373001","72.98589252","45.71918951","61.66946254","0.081307277","-0.541755095","-0.54205931","0.721383406","0.960969077","-0.961497384","-0.1417996","-0.433707432","-0.621038558","0.305865043","-0.154214335","-0.829847051","0.480910263","0.920301547","0.559830711","-0.516969007","-0.492787026","0.333058792","-0.988256248","0.329412774","0.858866155","0",""
"SD063","Harding County","South Dakota","-584561.2647","2533269.27","0.054348282","111.4087948","759.5048233","2007","SOUTH DAKOTA","","","","","","","","","","","0.1","0.6","0.25","0.04","0.01","0.12","0.68","0.15","0.04","0.01","0.17","0.65","0.16","0.02","0","0.14","0.67","0.16","0.03","0","0.23","0.62","0.12","0.03","0","0.26","0.59","0.14","0.01","0","0.27","0.55","0.15","0.02","0.01","0.26","0.56","0.15","0.02","0.01","0.2","0.58","0.17","0.04","0.01","0.19","0.51","0.25","0.04","0.01","0.13","0.44","0.29","0.11","0.03","0.11","0.43","0.32","0.12","0.02","0.09","0.49","0.29","0.1","0.03","0.09","0.5","0.28","0.1","0.03","0.12","0.49","0.28","0.08","0.03","0.09","0.56","0.26","0.07","0.02","0.1","0.54","0.24","0.09","0.03","0.13","0.55","0.24","0.06","0.02","0.13","0.55","0.24","0.05","0.03","0.17","0.53","0.21","0.07","0.02","0.17","0.5","0.23","0.07","0.03","69.04322889","25.12557425","41.09227807","45.88315558","74.45481847","53.41828549","13.6924651","69.11767747","51.70702722","38.48365645","46.79650262","15.61862468","4.309684879","17.03540439","42.63587343","41.527086","16.09211394","17.7125206","49.04780074","19.56920257","41.07614612","0.219526243","-0.374543053","0.134068941","0.010719492","0.610177478","0.585078723","0.488918814","0.657314128","0.504439938","-0.28844006","0.399043718","0.927959036","0.359351633","-0.419414047","-0.646744491","-0.792150256","-0.805682028","-0.675245992","0.744876529","0.326388907","-0.536401222",""," "
"SD063","Harding County","South Dakota","-584561.2647","2533269.27","0.054348282","111.4087948","759.5048233","2008","SOUTH DAKOTA","","","","","","","","","","","","","","","","","","","","","0.08","0.59","0.28","0.05","0","0.1","0.61","0.26","0.03","0","0.08","0.58","0.28","0.05","0.01","0.13","0.62","0.2","0.04","0.01","0.19","0.57","0.2","0.03","0.01","0.22","0.57","0.17","0.03","0.01","0.15","0.59","0.22","0.03","0.01","0.2","0.58","0.16","0.05","0.01","0.24","0.59","0.15","0.02","0","0.24","0.57","0.13","0.05","0.01","0.28","0.5","0.17","0.04","0.01","0.3","0.5","0.16","0.03","0.01","0.28","0.51","0.16","0.04","0.01","0.26","0.52","0.17","0.04","0.01","0.28","0.51","0.15","0.05","0.01","0.26","0.51","0.17","0.04","0.02","0.25","0.53","0.17","0.03","0.02","0.29","0.49","0.17","0.03","0.02","0.28","0.51","0.17","0.03","0.01","11.07805426","65.01412712","51.91447382","42.05769903","26.6158093","49.6404223","75.95085288","72.19463356","41.69154049","43.30865973","8.736752365","63.63412059","68.96459769","76.16180618","6.076865217","23.90595795","66.55046225","39.42420828","3.690238246","46.55064554","78.47461793","-0.277411194","-0.093912687","-0.338520533","0.927478149","-0.984888042","0.015201903","-0.218677818","0.824445363","0.556042152","-0.948933486","0.435958979","0.378822138","-0.301740643","-0.866107148","0.433062282","0.865044864","-0.574908957","0.977663177","-0.206526533","0.842476708","-0.669402081","",""
"SD063","Harding County","South Dakota","-584561.2647","2533269.27","0.054348282","111.4087948","759.5048233","2009","SOUTH DAKOTA","","","","","","","","","","","","","","","","","","","","","0.06","0.49","0.4","0.05","","0.08","0.48","0.3","0.13","0.01","0.06","0.58","0.31","0.05","","0.08","0.57","0.28","0.07","","0.11","0.6","0.19","0.1","","0.13","0.49","0.25","0.13","","0.16","0.57","0.22","0.04","0.01","0.18","0.56","0.21","0.04","0.01","0.19","0.54","0.22","0.04","0.01","0.22","0.54","0.19","0.04","0.01","0.21","0.56","0.19","0.03","0.01","0.22","0.49","0.25","0.04","","0.25","0.52","0.19","0.03","0.01","0.29","0.49","0.14","0.07","0.01","0.19","0.59","0.17","0.05","","0.24","0.55","0.17","0.03","0.01","0.29","0.52","0.15","0.03","0.01","0.24","0.56","0.17","0.03","","0.2","0.58","0.17","0.04","0.01","17.43488936","60.28408246","15.34809924","34.97099262","54.14577792","10.96673967","49.5557825","62.46643727","21.13948257","72.98132156","46.66701388","41.95029451","32.62488741","77.15483276","68.82709825","37.18388245","67.52241228","39.83068919","14.96610647","19.89061359","57.5186012","0.941984093","0.086212853","-0.331619416","-0.629434969","-0.282562406","0.296279785","0.816324359","-0.564287121","-0.906204638","-0.413991246","0.73900902","0.830872588","0.197408198","-0.214522666","-0.722030024","0.078009055","0.133008912","-0.666531334","0.309615258","0.78416952","0.726690365","",""
"SD063","Harding County","South Dakota","-584561.2647","2533269.27","0.054348282","111.4087948","759.5048233","2010","SOUTH DAKOTA","","","","","","0.06","0.68","0.22","0.04","","0.06","0.59","0.27","0.08","","0.1","0.7","0.19","0.01","","0.15","0.62","0.2","0.03","","0.14","0.67","0.16","0.03","","0.15","0.59","0.2","0.04","0.02","0.18","0.56","0.2","0.05","0.01","0.2","0.55","0.18","0.05","0.02","0.22","0.53","0.19","0.05","0.01","0.18","0.55","0.19","0.06","0.02","0.23","0.53","0.16","0.06","0.02","0.2","0.51","0.21","0.06","0.02","0.25","0.5","0.16","0.07","0.02","0.19","0.53","0.19","0.07","0.02","0.25","0.46","0.19","0.08","0.02","0.18","0.56","0.17","0.07","0.02","0.21","0.51","0.19","0.08","0.01","0.17","0.47","0.25","0.09","0.02","0.2","0.48","0.22","0.08","0.02","0.17","0.56","0.17","0.08","0.02","0.21","0.52","0.18","0.08","0.01","0.19","0.54","0.21","0.06","","23.91081122","66.57740065","55.30138558","26.89819893","42.18054158","34.72065201","70.85069642","13.53791107","26.65142952","76.38661353","37.57000918","58.29439782","58.03308746","5.392967121","44.25762127","47.63874105","4.062441266","6.052661361","35.47766147","18.46116889","24.61488346","0.211095464","0.800871848","0.038988255","-0.707689142","-0.185252343","0.754140675","0.94231017","-0.960388162","-0.364403488","-0.714679811","0.581362467","-0.869730766","-0.730284575","0.867798787","-0.64424268","0.520179477","-0.254350525","-0.650904967","-0.025438513","0.431386836","0.983004567","",""
