"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"WI003","Ashland County","Wisconsin","402288.3341","2686725.685","0.207661983","220.9186391","2216.754598","2001","WISCONSIN","","","","","","","","","","","0.23","0.53","0.22","0.02","0","0.08","0.6","0.31","0.01","0","0.1","0.49","0.34","0.06","0.01","0.06","0.43","0.36","0.14","0.01","0.14","0.43","0.32","0.1","0.01","0.23","0.35","0.35","0.05","0.02","0.17","0.45","0.23","0.12","0.03","0.16","0.49","0.23","0.1","0.02","0.16","0.35","0.31","0.15","0.03","0.09","0.37","0.38","0.12","0.04","0.13","0.4","0.32","0.11","0.04","0.1","0.32","0.39","0.14","0.05","0.1","0.38","0.34","0.12","0.06","0.1","0.38","0.32","0.13","0.07","0.11","0.44","0.29","0.11","0.05","0.1","0.44","0.31","0.11","0.04","0.13","0.44","0.31","0.09","0.03","0.12","0.46","0.3","0.09","0.03","0.16","0.43","0.31","0.07","0.03","0.12","0.47","0.29","0.09","0.03","0.14","0.47","0.28","0.08","0.03","69.14154066","50.95603267","34.55189898","25.27283136","68.00926818","24.96732707","2.418312248","7.246788794","42.567664","60.78942277","30.36158261","33.59659352","67.81234371","32.39965542","5.151926982","36.5145083","59.93965387","6.866134922","62.1063394","27.27111328","69.51634105","0.508138305","-0.981344946","-0.126825953","-0.04759094","0.826762799","-0.166559703","-0.191358902","-0.316036415","-0.502871722","-0.836465807","0.242791316","-0.443054245","-0.426470764","0.630563395","-0.698300546","0.51560667","-0.239163766","0.394754077","0.179838522","-0.027008839","-0.553556501","",""
"WI003","Ashland County","Wisconsin","402288.3341","2686725.685","0.207661983","220.9186391","2216.754598","2002","WISCONSIN","","","","","","","","","","","","","","","","0.03","0.36","0.43","0.15","0.03","0.09","0.51","0.34","0.05","0.01","0.13","0.53","0.29","0.04","0.01","0.23","0.54","0.19","0.03","0.01","0.19","0.52","0.21","0.07","0.01","0.22","0.51","0.2","0.06","0.01","0.21","0.47","0.24","0.05","0.03","0.21","0.5","0.21","0.06","0.02","0.11","0.42","0.31","0.11","0.05","0.13","0.37","0.29","0.16","0.05","0.15","0.35","0.31","0.14","0.05","0.12","0.36","0.3","0.14","0.08","0.13","0.38","0.31","0.13","0.05","0.18","0.43","0.25","0.09","0.05","0.17","0.43","0.25","0.1","0.05","0.18","0.42","0.23","0.12","0.05","0.2","0.44","0.21","0.11","0.04","0.15","0.45","0.25","0.11","0.04","0.17","0.47","0.22","0.12","0.02","0.19","0.46","0.23","0.09","0.03","79.00050677","50.3608287","31.69417848","29.79691559","27.51514563","73.60598101","45.77430404","42.60495227","44.72679459","13.26189732","41.63977246","17.87162656","46.31906455","13.38458308","50.86028481","59.95905207","41.02778374","1.885427836","67.37180593","53.57557156","67.71633426","0.352976499","0.156154606","0.150239537","-0.93267109","0.251495593","-0.471878984","-0.245524925","-0.110695967","0.606803012","-0.886176113","-0.861428058","0.569074486","0.630312027","0.666478428","0.457689919","-0.639203704","-0.471507819","-0.76118212","-0.503618453","-0.724332622","-0.298479491","","76"
"WI003","Ashland County","Wisconsin","402288.3341","2686725.685","0.207661983","220.9186391","2216.754598","2003","WISCONSIN","","","","","","","","","","","","","","","","","","","","","0.11","0.56","0.31","0.02","0","0.11","0.54","0.31","0.03","0.01","0.14","0.57","0.24","0.04","0.01","0.16","0.61","0.19","0.03","0.01","0.17","0.53","0.23","0.06","0.01","0.2","0.54","0.21","0.04","0.01","0.27","0.55","0.14","0.03","0.01","0.27","0.54","0.14","0.03","0.02","0.22","0.5","0.22","0.04","0.02","0.21","0.55","0.18","0.04","0.02","0.17","0.51","0.22","0.07","0.03","0.13","0.42","0.27","0.12","0.06","0.05","0.3","0.33","0.18","0.14","0.03","0.22","0.35","0.22","0.18","0.02","0.18","0.36","0.25","0.19","0.03","0.19","0.3","0.28","0.2","0.03","0.23","0.33","0.25","0.16","0.03","0.27","0.36","0.22","0.12","0.03","0.28","0.34","0.24","0.11","15.88740531","33.78009194","23.37079619","71.03754986","12.76989286","23.99945287","74.54479815","41.90346257","29.53368418","59.50734379","8.470510425","13.55669281","58.71741435","54.10892351","57.48786851","12.55382145","78.76893473","34.17743108","55.36367683","71.10732675","79.33061815","0.896849429","0.850455171","0.528999796","0.035396202","-0.983040251","0.967503926","-0.276792736","0.446427543","-0.979711624","-0.67410998","0.58987325","-0.865759405","-0.136651269","-0.979168974","0.140966703","-0.817289443","0.030443787","-0.678692726","-0.27441688","0.953356811","-0.757101654","",""
"WI003","Ashland County","Wisconsin","402288.3341","2686725.685","0.207661983","220.9186391","2216.754598","2004","WISCONSIN","","","","","","","","","","","","","","","","0.09","0.44","0.34","0.07","0.06","0.14","0.43","0.28","0.12","0.03","0.14","0.41","0.25","0.16","0.04","0.17","0.38","0.27","0.13","0.05","0.11","0.38","0.3","0.17","0.04","0.1","0.38","0.29","0.17","0.06","0.15","0.44","0.25","0.12","0.04","0.11","0.43","0.28","0.13","0.05","0.19","0.39","0.25","0.1","0.07","0.2","0.37","0.24","0.14","0.05","0.19","0.39","0.22","0.15","0.05","0.21","0.39","0.19","0.17","0.04","0.16","0.38","0.26","0.15","0.05","0.11","0.44","0.24","0.16","0.05","0.12","0.4","0.23","0.2","0.05","0.11","0.38","0.29","0.16","0.06","0.12","0.37","0.3","0.15","0.06","0.13","0.4","0.21","0.2","0.06","0.13","0.43","0.26","0.13","0.05","0.13","0.45","0.21","0.16","0.05","74.93561894","69.39540081","65.90270636","30.50710402","63.93892924","32.68515553","42.88237477","8.145741737","76.00225262","9.692385515","77.61668328","16.46703807","50.50721533","10.6700315","39.00899751","24.55800084","8.343072124","46.8260873","20.28216235","56.04632691","21.52353327","-0.638362909","0.991515334","0.867988002","-0.258931906","0.153746414","-0.917760619","0.050922286","-0.725289199","-0.639974883","0.344468997","0.257429891","0.330108174","-0.61856235","0.666719629","-0.184307778","-0.835876939","0.468962679","0.722401609","0.161935408","0.626289144","-0.894074748","",""
"WI003","Ashland County","Wisconsin","402288.3341","2686725.685","0.207661983","220.9186391","2216.754598","2005","WISCONSIN","","","","","","","","","","","0.11","0.56","0.27","0.04","0.02","0.08","0.57","0.3","0.04","0.01","0.15","0.6","0.23","0.02","0","0.27","0.51","0.19","0.02","0.01","0.25","0.56","0.15","0.03","0.01","0.22","0.46","0.22","0.08","0.02","0.27","0.47","0.17","0.06","0.03","0.24","0.45","0.21","0.07","0.03","0.13","0.36","0.25","0.17","0.09","0.08","0.32","0.31","0.19","0.1","0.09","0.3","0.39","0.15","0.07","0.11","0.32","0.29","0.18","0.1","0.09","0.35","0.31","0.18","0.07","0.13","0.34","0.25","0.19","0.09","0.11","0.38","0.29","0.16","0.06","0.09","0.43","0.22","0.16","0.1","0.11","0.36","0.31","0.15","0.07","0.12","0.32","0.33","0.17","0.06","0.15","0.38","0.29","0.13","0.05","0.19","0.38","0.25","0.12","0.06","0.19","0.42","0.24","0.11","0.04","79.42559769","10.68864278","58.4035999","25.68891652","65.25426988","36.017499","43.20237595","26.72823382","8.848297761","71.09627051","60.60948461","12.01098862","5.669455708","49.99642225","3.408018145","39.31196462","12.97670498","46.75525771","53.72891294","50.66533456","79.76888496","-0.427971346","0.644004341","0.8437554","0.695970386","-0.841411785","-0.440889206","0.603072591","-0.537137701","-0.950294887","-0.216108738","0.633231489","0.378835667","0.934027566","0.480784086","0.956776522","0.590632616","-0.191118108","0.081409771","0.425380683","-0.15965942","0.513208649","",""
"WI003","Ashland County","Wisconsin","402288.3341","2686725.685","0.207661983","220.9186391","2216.754598","2006","WISCONSIN","","","","","","","","","","","0.07","0.52","0.35","0.05","0.01","0.12","0.57","0.27","0.03","0.01","0.18","0.57","0.19","0.05","0.01","0.21","0.5","0.22","0.05","0.02","0.22","0.44","0.25","0.07","0.02","0.22","0.46","0.25","0.05","0.02","0.24","0.47","0.2","0.07","0.02","0.16","0.45","0.27","0.09","0.03","0.24","0.42","0.19","0.1","0.05","0.22","0.35","0.21","0.13","0.09","0.2","0.32","0.23","0.16","0.09","0.2","0.38","0.23","0.12","0.07","0.18","0.39","0.27","0.09","0.07","0.22","0.43","0.2","0.08","0.07","0.16","0.41","0.28","0.09","0.06","0.2","0.39","0.27","0.08","0.06","0.18","0.35","0.34","0.08","0.05","0.2","0.35","0.28","0.09","0.08","0.19","0.4","0.27","0.08","0.06","0.2","0.39","0.23","0.11","0.07","0.22","0.4","0.24","0.07","0.07","2.76672765","56.74349382","61.7371539","36.02732379","38.75324704","15.28349346","44.65718105","30.0797029","39.06295225","44.45180589","68.80144404","23.51991876","2.184376358","1.50113497","48.68986614","53.24294205","50.48176429","3.939643558","72.71395779","74.83400195","27.89063046","0.67673798","0.918384051","-0.834636635","-0.305178396","-0.418048175","0.443804474","-0.668177816","-0.175500146","-0.812423241","-0.780068952","0.591633071","0.349375465","0.185636406","0.175163897","0.855052118","0.179061092","-0.730071111","-0.415753231","-0.152331633","-0.31319724","0.621032846","",""
"WI003","Ashland County","Wisconsin","402288.3341","2686725.685","0.207661983","220.9186391","2216.754598","2007","WISCONSIN","","","","","","","","","","","0.05","0.55","0.35","0.05","0","0.23","0.6","0.14","0.03","0","0.23","0.61","0.14","0.02","0","0.34","0.54","0.1","0.02","0","0.18","0.57","0.2","0.04","0.01","0.19","0.62","0.15","0.03","0.01","0.19","0.57","0.17","0.05","0.02","0.22","0.52","0.18","0.05","0.03","0.2","0.48","0.22","0.08","0.02","0.17","0.34","0.3","0.14","0.05","0.11","0.34","0.33","0.15","0.07","0.15","0.31","0.32","0.15","0.07","0.13","0.29","0.29","0.18","0.11","0.16","0.29","0.25","0.19","0.11","0.2","0.33","0.21","0.19","0.07","0.15","0.34","0.3","0.14","0.07","0.15","0.35","0.27","0.16","0.07","0.18","0.31","0.29","0.14","0.08","0.15","0.33","0.32","0.14","0.06","0.19","0.32","0.31","0.12","0.06","0.13","0.33","0.33","0.14","0.07","11.24735625","29.98456548","7.608808869","22.45993126","24.74260685","77.75686507","54.72652861","51.51132423","79.21597704","29.5943159","7.031061105","37.15034206","27.25562173","50.04645206","29.73433965","47.90713148","10.86226345","36.98371787","57.03983816","68.50684183","76.86853703","0.208193063","0.848554444","-0.911529854","0.061971086","0.203294679","0.601576055","0.858755595","-0.229623005","0.600279711","0.034124878","-0.173100194","-0.064959263","-0.855685866","0.151073738","-0.970582077","-0.349680952","0.030449137","0.164052115","0.650789985","0.894289585","0.868270096","","52"
"WI003","Ashland County","Wisconsin","402288.3341","2686725.685","0.207661983","220.9186391","2216.754598","2008","WISCONSIN","","","","","","","","","","","","","","","","","","","","","0.1","0.61","0.25","0.03","0.01","0.2","0.54","0.21","0.04","0.01","0.11","0.49","0.3","0.07","0.03","0.13","0.44","0.28","0.09","0.06","0.13","0.47","0.28","0.08","0.04","0.16","0.48","0.26","0.07","0.03","0.17","0.53","0.21","0.06","0.03","0.17","0.53","0.22","0.05","0.03","0.19","0.55","0.18","0.06","0.02","0.19","0.5","0.22","0.06","0.03","0.23","0.52","0.18","0.05","0.02","0.17","0.47","0.24","0.08","0.04","0.14","0.48","0.23","0.11","0.04","0.08","0.41","0.26","0.17","0.08","0.08","0.39","0.35","0.12","0.06","0.07","0.39","0.32","0.15","0.07","0.1","0.36","0.35","0.13","0.06","0.09","0.38","0.34","0.12","0.07","0.11","0.44","0.29","0.11","0.05","70.69279062","44.23668509","19.1404168","16.47813768","20.67625572","8.471729098","22.72972277","26.06901303","51.14973929","48.88626836","1.136309197","32.74329268","18.53770162","74.2023126","31.42655411","30.2210945","40.36387263","32.20957292","10.62866987","48.3535943","60.03148722","0.736139109","0.29228461","0.600666593","-0.993617936","0.236821907","-0.317987183","-0.210486944","0.349622121","0.345195419","0.451661818","0.250736817","0.382211645","0.647767343","0.407012167","0.573653413","0.608259328","0.599664244","-0.561983641","0.820100638","-0.302191288","0.462975386","91","70"
"WI003","Ashland County","Wisconsin","402288.3341","2686725.685","0.207661983","220.9186391","2216.754598","2009","WISCONSIN","","","","","","","","","","","","","","","","","","","","","0.17","0.58","0.23","0.02","","0.1","0.66","0.21","0.03","","0.17","0.57","0.22","0.03","0.01","0.18","0.58","0.2","0.04","","0.24","0.57","0.14","0.04","0.01","0.16","0.62","0.18","0.03","0.01","0.16","0.55","0.21","0.07","0.01","0.1","0.47","0.3","0.1","0.03","0.08","0.47","0.26","0.16","0.03","0.09","0.39","0.3","0.15","0.07","0.13","0.42","0.28","0.1","0.07","0.18","0.43","0.27","0.09","0.03","0.15","0.49","0.25","0.09","0.02","0.16","0.49","0.25","0.08","0.02","0.2","0.48","0.24","0.06","0.02","0.2","0.44","0.26","0.08","0.02","0.18","0.43","0.27","0.09","0.03","0.16","0.46","0.26","0.09","0.03","0.15","0.48","0.26","0.08","0.03","13.77405746","24.98489232","60.46682919","2.23456834","37.14141283","68.18894434","51.8072177","10.19097037","50.42503619","48.59549083","71.06930967","19.68379614","28.77099714","13.52169951","72.83377372","53.24617523","58.27157871","43.68903717","22.05299572","19.33129384","60.59078232","0.130931021","-0.805096711","-0.20920359","0.612945839","0.136113833","0.072827884","-0.936616943","-0.02306987","0.063543221","-0.331538174","-0.287705508","0.902045548","-0.76416182","0.461018633","0.34422218","-0.407996913","0.209863772","0.661263991","-0.743496502","-0.678106335","-0.91330341","",""
"WI003","Ashland County","Wisconsin","402288.3341","2686725.685","0.207661983","220.9186391","2216.754598","2010","WISCONSIN","","","","","","0.1","0.48","0.4","0.02","","0.11","0.5","0.37","0.02","","0.15","0.55","0.28","0.02","","0.24","0.63","0.11","0.02","","0.24","0.62","0.12","0.02","","0.23","0.63","0.12","0.02","","0.31","0.53","0.12","0.03","0.01","0.32","0.51","0.13","0.03","0.01","0.38","0.46","0.11","0.04","0.01","0.38","0.43","0.13","0.05","0.01","0.38","0.41","0.14","0.05","0.02","0.38","0.43","0.12","0.05","0.02","0.42","0.44","0.1","0.03","0.01","0.39","0.41","0.14","0.04","0.02","0.43","0.37","0.14","0.04","0.02","0.42","0.4","0.13","0.04","0.01","0.42","0.42","0.12","0.03","0.01","0.41","0.41","0.13","0.04","0.01","0.4","0.43","0.13","0.03","0.01","0.4","0.45","0.11","0.03","0.01","0.39","0.45","0.12","0.03","0.01","0.38","0.46","0.12","0.03","0.01","47.35764627","41.62429246","72.92564892","8.573746206","38.05175984","40.57497588","11.7684915","43.19537103","12.52717826","6.459558815","43.45103136","70.15333635","26.31691296","12.61904369","17.32354365","50.84567228","74.90251286","71.37504542","6.063485496","69.34769259","32.27997799","-0.828087876","-0.982508395","-0.453862654","-0.294235669","-0.061236566","-0.211088631","0.48583095","0.686597657","0.393314615","0.547284951","-0.32937395","0.48509594","0.781208428","0.045956976","-0.549280528","-0.672770165","0.062184037","-0.860345779","-0.139895686","-0.031691158","-0.048702339","",""
