"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"WY665","Yellowstone National Park","Wyoming-Montana-Idaho","-1146074.246","2485992.235","","","","2001","WYOMING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.36125513","51.63980219","3.730782078","63.66017657","78.14611759","15.52058934","27.91763039","49.04591563","79.35477222","6.886032627","28.14462378","60.36672077","76.01691159","27.52296783","63.49680097","38.84517682","78.34252649","34.7145061","55.51613821","40.93335328","53.61777806","-0.358132124","0.944518908","0.816126838","-0.748942429","-0.214876093","-0.567156303","0.458810019","-0.583857337","0.308143026","0.152912543","-0.550191669","-0.447436271","0.752185095","-0.007879748","-0.043031213","0.798093447","-0.211512029","0.3011006","-0.16579185","0.330925372","-0.082047027","",""
"WY665","Yellowstone National Park","Wyoming-Montana-Idaho","-1146074.246","2485992.235","","","","2002","WYOMING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65.58906416","41.58593898","20.02680294","2.599179939","49.31137542","41.13028448","16.07283277","3.45470547","61.60269522","33.88466614","35.00256848","9.428958218","6.852153806","73.15282242","77.6368233","66.18326688","73.41139187","74.38714098","67.95834224","27.4564165","42.33073756","-0.070673836","-0.795399205","-0.839511375","0.811349308","0.490247068","-0.441195068","-0.407619683","-0.706759964","0.146553418","0.32769973","0.492094291","0.216481967","-0.245208932","0.849937738","-0.810596446","-0.200193593","0.433131735","-0.159056532","0.485184196","0.695094506","-0.13099479","",""
"WY665","Yellowstone National Park","Wyoming-Montana-Idaho","-1146074.246","2485992.235","","","","2003","WYOMING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.68304328","32.21546242","64.99995584","76.62916266","39.93110216","70.83055204","35.70072387","7.20170364","44.14942942","59.78290468","49.92089293","55.13783907","11.58030479","2.39889751","23.88706466","16.22527274","20.34190146","41.14818667","28.61021278","26.39634623","26.20429641","-0.970665165","-0.471655103","-0.173500097","0.756386305","0.874982507","-0.685869728","0.483980912","0.099911534","-0.941942701","-0.901925107","-0.801276661","0.78756301","-0.687622501","0.380630272","0.043038152","0.733396593","-0.687551001","0.283891875","0.648191283","0.169596391","-0.749532512","",""
"WY665","Yellowstone National Park","Wyoming-Montana-Idaho","-1146074.246","2485992.235","","","","2004","WYOMING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.531335276","36.93835659","26.17882002","74.97015616","1.856922574","59.93386619","32.88730857","46.07132802","37.25929703","23.58253897","26.09809849","5.672890163","20.65652065","63.09968271","12.99195266","77.24863028","36.39376241","76.70210325","39.28058424","54.99812807","11.10032553","-0.751898243","-0.635056478","-0.910245845","0.139341342","0.694993997","-0.134152425","-0.466411144","0.418572776","0.626711148","0.426202338","0.771024931","0.661393378","-0.338609926","-0.566411253","-0.75741659","0.472268444","0.405961716","-0.821982532","-0.912189728","0.497399823","-0.919886253","",""
"WY665","Yellowstone National Park","Wyoming-Montana-Idaho","-1146074.246","2485992.235","","","","2005","WYOMING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.09663395","66.62898846","45.7041162","75.1619647","9.327777945","32.04558729","31.00205911","23.76640731","21.98195801","16.64600241","1.581940388","63.03721496","59.58752548","13.71978237","21.17364993","49.7875748","49.66095562","11.7122621","8.269253968","69.69411267","43.89268297","-0.719936766","-0.099417937","0.714797618","-0.538687328","-0.929232062","-0.246000265","0.316418607","-0.378395562","-0.435282842","0.284453347","-0.707063628","-0.865523326","0.717539058","0.457015702","0.291779551","0.674628618","-0.758557285","0.67854739","0.325312821","0.24008538","-0.670067854","",""
"WY665","Yellowstone National Park","Wyoming-Montana-Idaho","-1146074.246","2485992.235","","","","2006","WYOMING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.59582534","22.17028607","5.71883454","66.14798956","46.44612859","70.65236387","60.22115315","54.82553236","27.48200857","31.0236604","49.41098129","1.995703045","61.34326404","62.60258743","34.57644947","67.53313971","75.82963384","74.83824291","71.04181661","31.49010634","1.577072986","0.542625166","0.464982604","-0.624389958","-0.294142713","-0.728232336","0.732930711","0.660344038","0.412707403","0.853981482","0.397284698","-0.094158487","0.852514639","-0.226470572","0.7669783","0.455326578","-0.326959547","0.772727312","0.676608043","-0.787266484","-0.838159802","-0.911594615","",""
"WY665","Yellowstone National Park","Wyoming-Montana-Idaho","-1146074.246","2485992.235","","","","2007","WYOMING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.17214708","46.75118816","31.0855222","68.11118317","62.8122738","48.95994612","23.60086248","18.53007137","41.49482142","22.23017538","19.05383537","67.64682623","51.48041688","23.39811182","27.01341044","11.40599844","75.33590667","22.8542923","8.5254127","39.86453765","79.58975414","0.370898625","0.532228616","0.143557958","0.819377416","0.127083696","-0.748808225","-0.193559791","-0.034058077","0.820078681","-0.931102003","0.397686614","0.698390516","0.642454986","-0.699141192","-0.314864192","-0.104546985","0.865322869","0.729228386","-0.961163402","-0.026554813","-0.168427898","",""
"WY665","Yellowstone National Park","Wyoming-Montana-Idaho","-1146074.246","2485992.235","","","","2008","WYOMING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.301029942","58.73036269","32.95092681","5.394273153","34.71627506","39.62755717","59.57191287","69.62037131","4.114455024","48.1516802","61.66296108","17.02395974","55.07255797","42.88884415","33.03292192","34.08624259","18.8348355","3.881767325","68.35898629","1.350234371","37.00498587","-0.232194868","-0.942322554","-0.4211897","-0.613822939","-0.224525321","0.455327272","0.80255728","-0.825400863","-0.404941221","0.602925629","0.261493086","0.933591449","-0.194489947","-0.177617827","-0.202499756","0.712652645","0.63034889","-0.983598873","0.122108148","-0.564915889","0.831307054","",""
"WY665","Yellowstone National Park","Wyoming-Montana-Idaho","-1146074.246","2485992.235","","","","2009","WYOMING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.23590083","53.55649993","41.5259844","58.37876858","53.00023451","11.89417866","69.71588909","78.46452469","54.83920987","13.79399904","50.50171403","9.66137751","26.2028531","28.24412941","73.67948711","30.85202905","73.33794683","2.606084439","39.21314022","65.76541358","30.42419418","0.526896368","-0.960919761","0.665147586","0.639393486","0.789836478","-0.203936408","-0.547672555","0.239102897","0.985670399","-0.771486248","-0.920300563","0.536043254","-0.653563839","-0.564551654","0.050669991","0.727501167","-0.377858704","-0.907999939","0.73560299","-0.685131872","-0.952899702","",""
"WY665","Yellowstone National Park","Wyoming-Montana-Idaho","-1146074.246","2485992.235","","","","2010","WYOMING","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.5089802","21.9954066","5.861897735","53.82735065","63.22996535","79.07631258","28.83802876","28.58743063","34.20738187","12.4263033","79.84790926","71.75505452","68.02700813","9.147109446","61.91659269","28.39963874","37.79416904","44.04503343","50.5321177","26.45715197","56.01192716","-0.630017112","-0.680892417","-0.919451944","0.893915165","-0.35164889","-0.538798089","-0.826023434","0.849865832","0.996129057","0.45380056","-0.107012554","0.453867942","0.384969758","-0.004288129","-0.237042516","0.424921504","-0.714035156","0.234687234","-0.417507071","-0.539969239","-0.644720328","",""
