"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"IL085","Jo Daviess County","Illinois","473340.6394","2166240.804","0.547023303","230.986292","791.7194363","2001","ILLINOIS","","","","","","","","","","","0.16","0.59","0.21","0.03","0.01","0.18","0.55","0.22","0.05","0","0.15","0.53","0.27","0.04","0.01","0.12","0.52","0.29","0.05","0.02","0.17","0.54","0.25","0.03","0.01","0.21","0.57","0.18","0.03","0.01","0.21","0.54","0.21","0.03","0.01","0.22","0.55","0.19","0.03","0.01","0.2","0.54","0.21","0.04","0.01","0.17","0.53","0.24","0.05","0.01","0.18","0.53","0.24","0.04","0.01","0.19","0.48","0.26","0.06","0.01","0.11","0.49","0.29","0.08","0.03","0.08","0.42","0.37","0.1","0.03","0.08","0.45","0.34","0.1","0.03","0.08","0.46","0.33","0.1","0.03","0.09","0.46","0.33","0.1","0.02","0.1","0.49","0.3","0.09","0.02","0.12","0.46","0.31","0.09","0.02","0.12","0.46","0.31","0.09","0.02","0.12","0.46","0.31","0.09","0.02","61.20263455","49.2442457","55.17314861","63.11909729","9.489527655","12.85637014","75.43070199","11.72171079","48.07363616","60.4461792","48.94058619","39.62750949","66.1934825","40.9562768","16.72636493","25.66175863","40.47970324","23.08045494","18.18595433","32.88867828","51.795354","-0.284704053","0.363851642","0.550690479","-0.096000267","-0.659642899","-0.564096326","0.683281403","0.882053863","-0.00070344","-0.975508681","-0.210450878","-0.122032414","-0.581624636","-0.259529111","0.487809625","-0.362343255","-0.358345258","-0.679662799","0.093824716","-0.260014658","-0.544443345","148","300"
"IL085","Jo Daviess County","Illinois","473340.6394","2166240.804","0.547023303","230.986292","791.7194363","2002","ILLINOIS","","","","","","","","","","","","","","","","0.02","0.26","0.48","0.2","0.04","0.03","0.39","0.44","0.1","0.04","0.07","0.46","0.36","0.09","0.02","0.08","0.45","0.35","0.1","0.02","0.11","0.49","0.31","0.07","0.02","0.13","0.44","0.33","0.08","0.02","0.11","0.42","0.33","0.11","0.03","0.06","0.37","0.37","0.15","0.05","0.03","0.32","0.41","0.17","0.07","0.04","0.33","0.4","0.15","0.08","0.05","0.33","0.36","0.16","0.1","0.03","0.29","0.4","0.18","0.1","0.05","0.34","0.35","0.16","0.1","0.05","0.35","0.35","0.14","0.11","0.05","0.34","0.34","0.16","0.11","0.04","0.32","0.33","0.18","0.13","0.06","0.33","0.31","0.18","0.12","0.05","0.31","0.34","0.19","0.11","0.05","0.31","0.34","0.19","0.11","0.05","0.31","0.34","0.19","0.11","73.05244303","50.33066452","42.94551199","6.207010394","22.74697006","64.84682844","68.99668105","17.37593334","73.53156059","15.96415693","61.20174107","48.88270253","31.66073205","29.30561915","43.66987546","34.10011279","2.760551398","47.16065865","47.5758012","47.22917081","53.88161798","-0.76242187","0.199692967","-0.513376351","-0.443466547","0.384148937","-0.155243983","-0.53027338","0.814530236","-0.453822145","0.917733739","-0.93784803","0.416065004","0.829150329","0.814555685","0.823310903","-0.129586452","-0.982908511","-0.754110004","0.822688611","-0.923896032","0.429340457","156","200"
"IL085","Jo Daviess County","Illinois","473340.6394","2166240.804","0.547023303","230.986292","791.7194363","2003","ILLINOIS","","","","","","","","","","","","","","","","","","","","","0.12","0.53","0.3","0.04","0.01","0.18","0.54","0.21","0.06","0.01","0.19","0.55","0.2","0.05","0.01","0.17","0.58","0.2","0.04","0.01","0.19","0.55","0.21","0.04","0.01","0.19","0.52","0.23","0.05","0.01","0.24","0.52","0.18","0.05","0.01","0.28","0.52","0.15","0.04","0.01","0.29","0.51","0.15","0.04","0.01","0.29","0.5","0.16","0.04","0.01","0.3","0.48","0.16","0.05","0.01","0.24","0.51","0.18","0.05","0.02","0.16","0.49","0.27","0.06","0.02","0.11","0.49","0.28","0.09","0.03","0.13","0.51","0.27","0.07","0.02","0.11","0.49","0.28","0.09","0.03","0.16","0.52","0.24","0.06","0.02","0.16","0.52","0.24","0.06","0.02","0.16","0.52","0.24","0.06","0.02","41.26817931","71.27250042","45.46337159","47.06159407","7.787613885","44.00102852","70.87484734","3.689121981","66.37776281","16.14914087","9.220421358","62.58368721","40.91734287","17.03649283","30.75940806","23.02234749","76.75837571","79.11283147","47.39206395","51.09466481","18.24051825","0.524773724","-0.913684847","-0.90115076","-0.905416556","-0.226801824","0.419183847","-0.243318461","-0.690793648","0.993099964","0.272894659","-0.650250656","-0.685550772","-0.237138706","0.356481194","0.49730152","-0.378907161","-0.310519494","-0.927261623","0.738081544","-0.790397369","0.917941356","155","200"
"IL085","Jo Daviess County","Illinois","473340.6394","2166240.804","0.547023303","230.986292","791.7194363","2004","ILLINOIS","","","","","","","","","","","","","","","","0.24","0.63","0.12","0.01","0","0.21","0.58","0.18","0.03","0","0.19","0.61","0.16","0.03","0.01","0.2","0.59","0.17","0.03","0.01","0.24","0.57","0.15","0.03","0.01","0.27","0.55","0.13","0.04","0.01","0.24","0.59","0.13","0.03","0.01","0.28","0.58","0.1","0.03","0.01","0.29","0.57","0.12","0.01","0.01","0.21","0.64","0.14","0.01","0","0.31","0.52","0.13","0.03","0.01","0.27","0.56","0.14","0.02","0.01","0.27","0.53","0.16","0.03","0.01","0.26","0.54","0.15","0.04","0.01","0.25","0.54","0.17","0.03","0.01","0.23","0.58","0.15","0.03","0.01","0.26","0.56","0.14","0.03","0.01","0.27","0.57","0.13","0.02","0.01","0.27","0.57","0.13","0.02","0.01","0.27","0.57","0.13","0.02","0.01","51.24551564","40.29444567","59.22288078","2.850211973","67.73684993","68.18455469","72.83325115","63.8619712","28.35335598","49.4004336","36.11032663","51.098126","3.196699543","4.667972462","27.51951887","40.71709062","7.116218095","25.52737064","30.52829372","24.10664163","13.47780099","-0.551024905","0.99151993","-0.931792025","-0.255080587","0.765978643","0.397747473","-0.535863614","0.216353732","-0.424459135","-0.487857747","0.41899849","-0.57055469","-0.193298606","-0.424967715","-0.436430393","-0.753250637","-0.208420661","-0.279053937","0.969088297","0.750055645","0.70867297","177","800"
"IL085","Jo Daviess County","Illinois","473340.6394","2166240.804","0.547023303","230.986292","791.7194363","2005","ILLINOIS","","","","","","","","","","","0.09","0.62","0.24","0.04","0.01","0.06","0.54","0.33","0.06","0.01","0.06","0.49","0.34","0.09","0.02","0.07","0.47","0.35","0.08","0.03","0.06","0.42","0.37","0.11","0.04","0.03","0.29","0.4","0.2","0.08","0.02","0.23","0.38","0.24","0.13","0.01","0.15","0.32","0.3","0.22","0.01","0.12","0.32","0.32","0.23","0.01","0.12","0.31","0.35","0.21","0","0.13","0.32","0.3","0.25","0","0.12","0.27","0.32","0.29","0.01","0.09","0.3","0.33","0.27","0","0.12","0.29","0.33","0.26","0.01","0.12","0.3","0.31","0.26","0","0.14","0.29","0.32","0.25","0.02","0.16","0.29","0.29","0.24","0.03","0.18","0.31","0.27","0.21","0.03","0.18","0.31","0.27","0.21","0.03","0.18","0.31","0.27","0.21","0.03","0.18","0.31","0.27","0.21","27.07822622","12.4014578","18.38249799","38.67401221","40.0515516","73.08523554","50.21053954","52.9260087","12.00332845","77.83660332","69.34381542","72.39412838","53.32245911","44.99784712","6.425862006","7.148898732","63.75644868","3.564630873","58.98409942","40.24826889","15.58822977","-0.607822489","-0.737805606","0.127723412","-0.296175306","0.518934212","-0.103396165","-0.597101305","0.619389697","-0.557622237","-0.639397375","-0.428556442","0.808549132","-0.787722651","0.05276876","-0.209161086","-0.693689019","0.622154396","-0.025041528","0.940346406","0.271877312","-0.462863784","165","300"
"IL085","Jo Daviess County","Illinois","473340.6394","2166240.804","0.547023303","230.986292","791.7194363","2006","ILLINOIS","","","","","","","","","","","0.07","0.66","0.25","0.02","0","0.11","0.64","0.22","0.02","0.01","0.15","0.61","0.19","0.04","0.01","0.15","0.62","0.19","0.03","0.01","0.19","0.58","0.18","0.04","0.01","0.18","0.54","0.22","0.05","0.01","0.16","0.54","0.23","0.05","0.02","0.12","0.51","0.28","0.07","0.02","0.17","0.5","0.26","0.06","0.01","0.2","0.49","0.24","0.05","0.02","0.21","0.48","0.24","0.05","0.02","0.19","0.51","0.22","0.06","0.02","0.21","0.48","0.21","0.07","0.03","0.2","0.5","0.21","0.06","0.03","0.22","0.47","0.21","0.07","0.03","0.21","0.52","0.19","0.05","0.03","0.2","0.52","0.2","0.05","0.03","0.2","0.53","0.21","0.04","0.02","0.22","0.55","0.16","0.05","0.02","0.22","0.51","0.2","0.05","0.02","0.22","0.51","0.2","0.05","0.02","6.860287821","1.46081112","16.21351603","10.8419025","58.21127674","26.66325483","5.993382303","41.41068105","40.84653836","39.79722697","57.05690753","14.5898617","68.99738332","77.12032328","44.8640193","76.24662367","21.53913645","42.75657096","70.6145582","18.14762406","31.10326458","-0.759696759","-0.752595776","0.432036174","-0.884957005","0.406701606","-0.665800014","-0.275257165","-0.17943139","0.454184103","-0.597553777","0.2653947","-0.007278987","-0.557091929","0.722843352","0.653424385","-0.679741277","0.829146981","-0.250032394","0.963651535","0.746549388","-0.244570926","166","400"
"IL085","Jo Daviess County","Illinois","473340.6394","2166240.804","0.547023303","230.986292","791.7194363","2007","ILLINOIS","","","","","","","","","","","0.18","0.58","0.22","0.02","0","0.21","0.6","0.17","0.02","0","0.2","0.59","0.17","0.03","0.01","0.23","0.54","0.17","0.05","0.01","0.1","0.46","0.32","0.09","0.03","0.17","0.52","0.24","0.05","0.02","0.23","0.56","0.17","0.03","0.01","0.28","0.53","0.14","0.04","0.01","0.28","0.51","0.16","0.04","0.01","0.29","0.52","0.14","0.03","0.02","0.33","0.45","0.17","0.03","0.02","0.3","0.47","0.17","0.05","0.01","0.25","0.48","0.17","0.07","0.03","0.25","0.47","0.18","0.06","0.04","0.22","0.5","0.19","0.06","0.03","0.22","0.51","0.19","0.05","0.03","0.27","0.51","0.14","0.05","0.03","0.25","0.53","0.16","0.04","0.02","0.25","0.53","0.16","0.04","0.02","0.25","0.53","0.16","0.04","0.02","0.25","0.53","0.16","0.04","0.02","8.910996886","15.54624659","26.77635844","31.84199202","44.99386874","74.60174678","39.91996545","3.780968817","67.72216526","78.15066839","64.26111879","32.14160784","8.998451082","3.347797353","29.96593326","53.33193045","2.776274337","15.93650555","3.971000165","46.63310983","64.24500401","0.854292629","-0.194669997","-0.288420147","0.66010345","0.657905391","-0.889441748","0.511555335","0.027762794","-0.79231315","-0.28805513","-0.963793491","0.033749244","0.01431687","-0.136246763","0.252906815","-0.903226277","-0.575547989","0.22648271","-0.832104696","0.341680008","-0.051162877","186","400"
"IL085","Jo Daviess County","Illinois","473340.6394","2166240.804","0.547023303","230.986292","791.7194363","2008","ILLINOIS","","","","","","","","","","","","","","","","","","","","","0.04","0.5","0.35","0.07","0.04","0.04","0.44","0.38","0.1","0.04","0.05","0.43","0.35","0.12","0.05","0.11","0.45","0.32","0.09","0.03","0.15","0.45","0.29","0.08","0.03","0.16","0.47","0.28","0.07","0.02","0.16","0.49","0.26","0.07","0.02","0.17","0.51","0.24","0.06","0.02","0.21","0.49","0.21","0.06","0.03","0.2","0.53","0.2","0.05","0.02","0.23","0.52","0.18","0.05","0.02","0.19","0.53","0.22","0.04","0.02","0.21","0.53","0.21","0.04","0.01","0.16","0.52","0.24","0.05","0.03","0.17","0.55","0.22","0.04","0.02","0.14","0.52","0.25","0.06","0.03","0.14","0.52","0.25","0.06","0.03","0.15","0.56","0.23","0.05","0.01","0.16","0.59","0.2","0.04","0.01","66.67641597","30.13335621","44.83487754","28.20218423","56.29857531","78.27144016","7.911646151","27.61031789","15.4812975","78.85428918","15.66365881","35.0622182","21.54070417","26.49289413","43.69222527","35.63778341","55.34459537","66.63203173","44.30000678","75.61094451","59.33873285","-0.080879407","0.748146324","-0.611589541","0.197931573","-0.593441459","0.10833638","0.712007229","0.571698294","-0.011803175","-0.255342723","-0.745083535","0.943704969","0.246758688","-0.515560473","-0.14329089","-0.0082271","-0.124880849","0.493510044","-0.896872984","-0.882946438","-0.504096086","163","800"
"IL085","Jo Daviess County","Illinois","473340.6394","2166240.804","0.547023303","230.986292","791.7194363","2009","ILLINOIS","","","","","","","","","","","","","","","","","","","","","0.09","0.45","0.38","0.06","0.02","0.08","0.49","0.36","0.06","0.01","0.07","0.48","0.34","0.08","0.03","0.08","0.43","0.35","0.11","0.03","0.12","0.46","0.31","0.08","0.03","0.09","0.48","0.31","0.09","0.03","0.12","0.48","0.28","0.09","0.03","0.12","0.48","0.28","0.08","0.04","0.13","0.49","0.27","0.08","0.03","0.12","0.48","0.29","0.08","0.03","0.14","0.49","0.27","0.08","0.02","0.13","0.49","0.28","0.08","0.02","0.13","0.48","0.29","0.08","0.02","0.15","0.47","0.27","0.09","0.02","0.12","0.52","0.27","0.08","0.01","0.14","0.5","0.27","0.07","0.02","0.13","0.49","0.29","0.07","0.02","0.12","0.49","0.29","0.08","0.02","0.16","0.49","0.26","0.07","0.02","46.54670668","33.80331593","19.3261102","79.13751009","36.86867092","57.16527289","16.43826712","62.23807672","70.04342108","9.176990094","24.66992115","56.74942638","12.81480046","30.87166779","61.99494141","76.32453673","26.42011197","64.33169827","72.74437885","68.15971039","42.92210136","-0.168140711","-0.108088986","0.233452296","0.415849599","-0.374993677","0.810057653","0.046574082","-0.185599115","0.024444314","0.061003403","0.652288337","0.647509339","-0.025440039","0.630045374","-0.077793045","0.968419822","-0.626713526","-0.933714987","0.86801259","-0.608069436","0.143247345","166","300"
"IL085","Jo Daviess County","Illinois","473340.6394","2166240.804","0.547023303","230.986292","791.7194363","2010","ILLINOIS","","","","","","0.15","0.58","0.21","0.04","0.02","0.15","0.62","0.18","0.04","0.01","0.17","0.59","0.18","0.05","0.01","0.19","0.54","0.21","0.05","0.01","0.2","0.52","0.2","0.06","0.02","0.17","0.52","0.21","0.07","0.03","0.17","0.5","0.23","0.08","0.02","0.2","0.48","0.2","0.08","0.04","0.18","0.47","0.23","0.09","0.03","0.18","0.49","0.23","0.08","0.02","0.18","0.47","0.24","0.08","0.03","0.19","0.47","0.22","0.08","0.04","0.17","0.47","0.24","0.08","0.04","0.17","0.46","0.24","0.09","0.04","0.17","0.47","0.24","0.08","0.04","0.15","0.47","0.25","0.09","0.04","0.15","0.45","0.26","0.1","0.04","0.14","0.45","0.25","0.11","0.05","0.12","0.42","0.29","0.13","0.04","0.1","0.43","0.29","0.13","0.05","0.1","0.43","0.29","0.13","0.05","0.1","0.43","0.29","0.13","0.05","14.48574615","44.77564357","25.19011407","63.7889543","63.21291372","52.35730233","39.53410373","6.419463319","34.00883209","50.45419769","32.16564721","24.7461365","27.12503439","43.32672457","44.85266184","50.95598338","19.45266211","57.69745078","14.17732858","70.5703388","10.59892847","-0.043682014","0.919456674","-0.175493779","-0.343125657","-0.976626311","0.679194989","-0.359454649","-0.842287982","-0.539593524","0.365885498","-0.112283253","-0.555218464","0.195157874","-0.033256292","0.1973005","0.521678892","0.33435421","-0.285349068","0.575759685","0.964350867","0.110993814","176.9","0"
