"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"IN091","La Porte County","Indiana","765512.5132","2097413.746","0.572171365","145.5681204","97.77306059","2001","INDIANA","","","","","","","","","","","0.13","0.59","0.23","0.04","0.01","0.14","0.58","0.22","0.05","0.01","0.12","0.52","0.29","0.06","0.01","0.12","0.45","0.33","0.08","0.02","0.15","0.56","0.23","0.05","0.01","0.18","0.58","0.19","0.04","0.01","0.18","0.6","0.19","0.03","0","0.19","0.59","0.19","0.03","0","0.2","0.58","0.18","0.03","0.01","0.2","0.52","0.22","0.05","0.01","0.22","0.57","0.16","0.04","0.01","0.23","0.56","0.16","0.04","0.01","0.2","0.53","0.2","0.05","0.02","0.16","0.5","0.24","0.08","0.02","0.19","0.53","0.2","0.06","0.02","0.18","0.52","0.22","0.06","0.02","0.19","0.54","0.2","0.05","0.02","0.19","0.55","0.19","0.05","0.02","0.22","0.52","0.19","0.05","0.02","0.24","0.52","0.18","0.04","0.02","0.23","0.55","0.17","0.04","0.01","12.19815152","9.793342887","14.54494725","35.64047562","2.464711585","74.18192117","45.47747764","16.91261687","43.64280076","55.49376002","71.43722144","29.37431568","47.98213774","43.35678875","6.99551988","55.09309442","2.696759187","21.405102","78.6894702","25.34725402","15.71306396","-0.643242743","-0.086247463","0.207787691","0.858716939","0.545592938","-0.083566838","-0.870309325","0.854428882","-0.124229566","0.486488646","-0.301965135","-0.731549995","0.833245629","-0.915310763","-0.194049871","-0.5756519","-0.679387255","0.142011271","-0.270339249","-0.30180754","0.580871243","140.7","300"
"IN091","La Porte County","Indiana","765512.5132","2097413.746","0.572171365","145.5681204","97.77306059","2002","INDIANA","","","","","","","","","","","","","","","","0.02","0.27","0.48","0.18","0.05","0.02","0.43","0.44","0.09","0.02","0.05","0.51","0.34","0.08","0.02","0.06","0.5","0.35","0.08","0.01","0.08","0.51","0.33","0.07","0.01","0.08","0.54","0.29","0.08","0.01","0.06","0.42","0.36","0.12","0.04","0.06","0.42","0.37","0.11","0.04","0.04","0.32","0.37","0.18","0.09","0.03","0.28","0.37","0.22","0.1","0.03","0.28","0.36","0.2","0.13","0.02","0.26","0.34","0.22","0.16","0.02","0.25","0.35","0.22","0.16","0.02","0.27","0.33","0.22","0.16","0.02","0.28","0.29","0.22","0.19","0.02","0.26","0.3","0.24","0.18","0.02","0.24","0.29","0.25","0.2","0.02","0.26","0.3","0.24","0.18","0.03","0.24","0.31","0.23","0.19","0.02","0.25","0.31","0.24","0.18","47.93938368","68.10760251","6.080821791","48.10534217","42.41507697","20.70227645","26.23137728","46.42515675","28.49376246","50.48790581","23.05906588","70.63047211","5.338733232","46.28461371","65.50627363","4.071649113","65.00241296","26.27409395","58.25726647","51.01787016","49.19833347","-0.772614136","0.768525593","-0.946330545","-0.676739438","-0.307490348","-0.830773924","-0.417955367","-0.675977706","0.115386507","-0.544052005","0.27716516","-0.366618193","0.775012719","-0.025952357","-0.891835582","0.871284743","-0.944353941","0.720574901","0.546530611","0.678302582","-0.110293075","112.7","900"
"IN091","La Porte County","Indiana","765512.5132","2097413.746","0.572171365","145.5681204","97.77306059","2003","INDIANA","","","","","","","","","","","","","","","","","","","","","0.07","0.47","0.38","0.06","0.02","0.08","0.45","0.34","0.1","0.03","0.08","0.5","0.32","0.08","0.02","0.11","0.47","0.32","0.08","0.02","0.12","0.46","0.3","0.1","0.02","0.09","0.48","0.3","0.11","0.02","0.09","0.43","0.31","0.12","0.05","0.1","0.41","0.29","0.14","0.06","0.13","0.42","0.27","0.13","0.05","0.13","0.46","0.26","0.1","0.05","0.13","0.48","0.25","0.09","0.05","0.13","0.51","0.24","0.08","0.04","0.13","0.43","0.28","0.11","0.05","0.13","0.43","0.28","0.11","0.05","0.13","0.48","0.24","0.1","0.05","0.13","0.44","0.26","0.11","0.06","0.14","0.44","0.25","0.11","0.06","0.16","0.46","0.23","0.1","0.05","0.16","0.47","0.23","0.09","0.05","27.03414316","3.60130022","74.0527822","58.66361401","62.54200637","69.46792102","1.024089162","8.14110188","41.13239323","48.03341827","43.93872291","76.31869027","7.060169855","8.606512995","1.682634356","11.70349673","26.40621896","64.84916488","27.15681762","37.14326645","7.460458367","-0.152575037","0.436259504","-0.782387459","-0.963051943","0.743478345","-0.390069851","-0.27820069","0.068354585","-0.109262763","0.118309047","-0.084141077","0.511251839","0.781081975","0.726082791","-0.677208569","0.97826923","-0.533889348","-0.856121522","0.952526493","0.581351906","0.102606827","142.4","900"
"IN091","La Porte County","Indiana","765512.5132","2097413.746","0.572171365","145.5681204","97.77306059","2004","INDIANA","","","","","","","","","","","","","","","","0.23","0.63","0.12","0.02","0","0.23","0.59","0.13","0.03","0.02","0.22","0.58","0.14","0.04","0.02","0.24","0.51","0.17","0.05","0.03","0.21","0.52","0.19","0.05","0.03","0.22","0.51","0.19","0.05","0.03","0.23","0.51","0.18","0.05","0.03","0.23","0.52","0.17","0.05","0.03","0.22","0.53","0.17","0.05","0.03","0.24","0.53","0.16","0.04","0.03","0.24","0.53","0.16","0.05","0.02","0.26","0.54","0.14","0.04","0.02","0.26","0.53","0.14","0.04","0.03","0.27","0.52","0.15","0.04","0.02","0.27","0.51","0.15","0.05","0.02","0.27","0.5","0.15","0.05","0.03","0.29","0.5","0.14","0.05","0.02","0.31","0.48","0.14","0.04","0.03","0.33","0.48","0.13","0.04","0.02","0.35","0.48","0.12","0.03","0.02","66.48100737","35.62689749","47.26719289","26.69414231","78.62668329","34.14450868","76.36169799","74.60594437","23.95902651","18.28491326","41.06918501","30.13874519","11.16424721","25.577598","34.03509808","52.51867394","49.92654812","4.122565599","38.472574","14.47591836","10.40837153","-0.792546972","-0.930602607","0.738165669","0.238675912","-0.06692895","-0.462698618","-0.736511065","-0.52818174","-0.614416549","0.331743318","0.562725396","0.376226299","-0.979312625","-0.289347101","-0.608318653","0.682603144","0.988103105","-0.087200031","-0.605256671","0.26802416","0.797414122","169.6","800"
"IN091","La Porte County","Indiana","765512.5132","2097413.746","0.572171365","145.5681204","97.77306059","2005","INDIANA","","","","","","","","","","","0.07","0.53","0.32","0.07","0.01","0.06","0.52","0.33","0.08","0.01","0.07","0.55","0.29","0.08","0.01","0.07","0.54","0.31","0.07","0.01","0.09","0.57","0.27","0.06","0.01","0.07","0.49","0.33","0.09","0.02","0.06","0.41","0.38","0.12","0.03","0.04","0.3","0.39","0.2","0.07","0.04","0.35","0.37","0.18","0.06","0.07","0.39","0.35","0.14","0.05","0.06","0.39","0.36","0.14","0.05","0.05","0.38","0.35","0.16","0.06","0.06","0.35","0.37","0.16","0.06","0.05","0.36","0.36","0.17","0.06","0.06","0.35","0.37","0.16","0.06","0.06","0.36","0.37","0.15","0.06","0.06","0.36","0.37","0.15","0.06","0.05","0.38","0.37","0.14","0.06","0.05","0.39","0.37","0.14","0.05","0.08","0.39","0.35","0.13","0.05","0.09","0.4","0.33","0.13","0.05","17.8957799","46.11505072","63.15985695","7.519717626","63.31115022","34.41163453","26.4118497","18.42307657","35.54405587","52.99712976","66.07238869","34.89017135","65.63981366","18.93413594","39.3690186","29.32898145","65.81192866","69.07972096","24.53380874","79.97298093","55.04965839","-0.697127121","0.078999802","-0.010286768","-0.371401053","-0.55430743","-0.910377485","0.116130875","0.798339495","-0.744585266","-0.23345813","-0.091560044","0.306312146","-0.242265323","0.256958644","-0.986137234","0.191315285","-0.041477753","0.156280876","-0.960374148","0.139592813","0.949003239","137.1","700"
"IN091","La Porte County","Indiana","765512.5132","2097413.746","0.572171365","145.5681204","97.77306059","2006","INDIANA","","","","","","","","","","","0.03","0.43","0.4","0.12","0.02","0.06","0.47","0.35","0.09","0.03","0.07","0.45","0.33","0.12","0.03","0.08","0.45","0.33","0.11","0.03","0.08","0.48","0.32","0.09","0.03","0.1","0.47","0.31","0.1","0.02","0.09","0.5","0.29","0.1","0.02","0.12","0.48","0.29","0.08","0.03","0.12","0.53","0.28","0.06","0.01","0.16","0.5","0.25","0.07","0.02","0.17","0.5","0.24","0.07","0.02","0.15","0.53","0.23","0.07","0.02","0.18","0.54","0.2","0.06","0.02","0.2","0.52","0.21","0.05","0.02","0.21","0.52","0.2","0.05","0.02","0.22","0.49","0.21","0.06","0.02","0.21","0.52","0.2","0.05","0.02","0.21","0.5","0.21","0.06","0.02","0.2","0.53","0.21","0.05","0.01","0.19","0.54","0.2","0.05","0.02","0.19","0.53","0.2","0.06","0.02","41.97769239","14.70481203","51.39960125","23.4290734","24.24588073","22.093965","67.66689493","66.36925354","33.59354925","34.37085048","28.38898383","23.07543572","15.49159163","48.01059487","44.93414012","74.38629725","14.38828723","19.78372166","6.88130973","32.82329254","5.756929647","0.271855414","0.568978853","-0.670575883","-0.21852691","0.320826097","-0.400718881","-0.408921952","-0.32249288","0.245391777","0.405380468","-0.32679149","-0.666299087","-0.023204951","-0.505406541","-0.768290307","0.180868516","-0.945657578","0.866368656","-0.916139442","0.100209224","-0.941814112","165.4","500"
"IN091","La Porte County","Indiana","765512.5132","2097413.746","0.572171365","145.5681204","97.77306059","2007","INDIANA","","","","","","","","","","","0.12","0.62","0.22","0.04","0","0.13","0.6","0.22","0.04","0.01","0.12","0.59","0.23","0.05","0.01","0.1","0.51","0.29","0.08","0.02","0.05","0.43","0.33","0.14","0.05","0.05","0.44","0.32","0.14","0.05","0.08","0.47","0.31","0.11","0.03","0.08","0.43","0.32","0.13","0.04","0.06","0.37","0.35","0.15","0.07","0.07","0.41","0.32","0.14","0.06","0.08","0.42","0.31","0.13","0.06","0.06","0.38","0.34","0.15","0.07","0.06","0.37","0.33","0.16","0.08","0.04","0.34","0.35","0.18","0.09","0.05","0.37","0.34","0.16","0.08","0.07","0.37","0.34","0.14","0.08","0.07","0.36","0.34","0.15","0.08","0.09","0.38","0.32","0.14","0.07","0.09","0.41","0.31","0.13","0.06","0.1","0.4","0.31","0.13","0.06","0.11","0.39","0.32","0.12","0.06","76.94100164","55.17508989","65.00014467","5.084701294","44.80734973","44.46062796","8.310528863","35.25277623","13.81464906","53.74658779","17.49425976","13.30436414","57.77364665","74.37272625","20.42970979","47.71054652","32.65577056","77.73116772","78.58921926","35.0738325","54.65433345","-0.137058581","0.94412368","-0.843087542","0.177488729","0.870069875","0.485594206","-0.743861072","-0.555761507","-0.448724333","0.958724953","-0.525906968","0.559936518","0.519844181","0.193024402","0.98531434","-0.708577472","0.858984926","0.099490946","-0.271095047","-0.531132085","-0.383405261","144.8","100"
"IN091","La Porte County","Indiana","765512.5132","2097413.746","0.572171365","145.5681204","97.77306059","2008","INDIANA","","","","","","","","","","","","","","","","","","","","","0.09","0.48","0.32","0.08","0.03","0.09","0.46","0.31","0.1","0.04","0.11","0.44","0.27","0.12","0.06","0.14","0.45","0.26","0.1","0.05","0.15","0.44","0.27","0.1","0.04","0.14","0.47","0.25","0.1","0.04","0.16","0.47","0.25","0.09","0.03","0.17","0.46","0.24","0.09","0.04","0.2","0.51","0.2","0.06","0.03","0.18","0.49","0.22","0.08","0.03","0.23","0.48","0.2","0.06","0.03","0.19","0.49","0.2","0.08","0.04","0.19","0.45","0.24","0.09","0.03","0.16","0.43","0.27","0.1","0.04","0.14","0.43","0.27","0.12","0.04","0.12","0.43","0.31","0.11","0.03","0.11","0.42","0.29","0.13","0.05","0.12","0.4","0.3","0.13","0.05","0.13","0.39","0.3","0.13","0.05","15.38471228","46.59142985","49.6743263","26.43206551","38.20970065","23.36087205","20.64989217","49.65038948","12.49991019","30.00293193","65.97708212","27.00228105","53.69860051","21.23837375","41.54226958","43.22098634","71.53712181","16.17654042","69.59185842","20.7470014","24.0156257","0.416831742","0.60505954","0.79542356","0.849273774","-0.271537731","-0.868458921","-0.826637743","-0.935738641","0.403043008","0.075112297","0.852636898","-0.219714716","0.850738858","-0.12554138","0.672870714","-0.663585774","-0.59882711","-0.855651364","0.904888658","0.302754946","0.820909176","148","900"
"IN091","La Porte County","Indiana","765512.5132","2097413.746","0.572171365","145.5681204","97.77306059","2009","INDIANA","","","","","","","","","","","","","","","","","","","","","0.1","0.55","0.29","0.04","0.02","0.11","0.53","0.3","0.05","0.01","0.1","0.56","0.26","0.07","0.01","0.11","0.51","0.28","0.08","0.02","0.12","0.5","0.28","0.08","0.02","0.12","0.52","0.26","0.08","0.02","0.12","0.5","0.28","0.08","0.02","0.12","0.53","0.26","0.07","0.02","0.11","0.52","0.28","0.08","0.01","0.13","0.53","0.26","0.07","0.01","0.12","0.52","0.26","0.08","0.02","0.1","0.49","0.28","0.1","0.03","0.12","0.5","0.27","0.08","0.03","0.13","0.5","0.26","0.08","0.03","0.13","0.5","0.26","0.08","0.03","0.12","0.52","0.26","0.07","0.03","0.12","0.5","0.27","0.08","0.03","0.12","0.51","0.27","0.07","0.03","0.11","0.5","0.28","0.08","0.03","56.11672135","31.00005135","13.71438767","54.61367905","21.85749131","57.20274102","25.69490478","4.071257747","30.14624386","38.47384395","68.33734052","64.16871357","18.08175135","4.672288397","62.44027401","39.37609614","40.35521676","20.88057537","29.12128562","30.66450136","39.01705999","0.789969078","-0.642365402","0.655374182","0.893074424","0.748503039","0.034312943","0.81755311","0.498680044","-0.297074777","-0.66493555","0.616880879","0.594251719","0.149759809","0.604627558","0.55443299","0.070405881","-0.6721134","0.791248892","-0.989787419","0.16188223","-0.161292755","154","600"
"IN091","La Porte County","Indiana","765512.5132","2097413.746","0.572171365","145.5681204","97.77306059","2010","INDIANA","","","","","","0.16","0.53","0.27","0.03","0.01","0.16","0.52","0.26","0.05","0.01","0.15","0.54","0.26","0.04","0.01","0.16","0.54","0.23","0.06","0.01","0.18","0.52","0.22","0.07","0.01","0.19","0.49","0.22","0.08","0.02","0.16","0.49","0.24","0.08","0.03","0.16","0.46","0.26","0.09","0.03","0.16","0.46","0.26","0.09","0.03","0.17","0.45","0.25","0.09","0.04","0.16","0.46","0.26","0.09","0.03","0.17","0.46","0.25","0.09","0.03","0.15","0.5","0.24","0.08","0.03","0.14","0.46","0.25","0.1","0.05","0.16","0.43","0.26","0.1","0.05","0.15","0.42","0.27","0.11","0.05","0.14","0.4","0.28","0.12","0.06","0.14","0.42","0.27","0.12","0.05","0.12","0.44","0.27","0.12","0.05","0.13","0.44","0.27","0.11","0.05","0.13","0.44","0.27","0.12","0.04","0.13","0.44","0.27","0.12","0.04","59.22759621","9.061858497","11.50383574","46.12205651","79.51489248","45.2147345","45.25500306","69.92829682","12.38359274","38.28274207","32.63385975","50.7026649","79.61732715","8.262669559","40.7697593","61.54890643","42.93759239","36.6493612","57.09035756","12.94712591","36.72210744","0.885898713","-0.203090696","0.780266864","0.385734374","-0.798163531","0.772845457","-0.418566599","0.457229924","-0.092141842","0.234872203","0.459086704","0.309837304","-0.970876435","0.753058495","0.267407195","-0.195896713","-0.53173121","-0.545724151","0.049450273","0.379823289","-0.52408212","167.1","300"
