"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"MI606","Isle Royale National Park","Michigan","538945.5527","2799701.826","0.096568967","123.7172414","4302.646948","2001","MICHIGAN","","","","","","","","","","","0.18","0.66","0.13","0.03","0","0.07","0.64","0.22","0.06","0.01","0.04","0.55","0.31","0.08","0.02","0.06","0.51","0.3","0.1","0.03","0.12","0.53","0.26","0.07","0.02","0.16","0.55","0.23","0.05","0.01","0.18","0.55","0.19","0.06","0.02","0.13","0.6","0.2","0.05","0.02","0.08","0.46","0.31","0.11","0.04","0.05","0.39","0.34","0.15","0.07","0.05","0.34","0.33","0.19","0.09","0.04","0.32","0.32","0.19","0.13","0.01","0.26","0.3","0.3","0.13","0.02","0.24","0.39","0.22","0.13","0.02","0.26","0.36","0.26","0.1","0.02","0.24","0.37","0.24","0.13","0.02","0.23","0.37","0.23","0.15","0.01","0.18","0.41","0.25","0.15","0.03","0.22","0.38","0.24","0.13","0.03","0.16","0.41","0.25","0.15","0.03","0.25","0.4","0.2","0.12","13.57297811","20.93037007","32.38285229","55.99212684","64.09937344","59.61834566","31.43461","24.56134623","13.73370012","70.25481265","31.41872761","48.62136939","66.9516653","30.62278743","54.03781144","30.35215306","49.04409469","40.29690685","17.68611065","20.14579258","50.8378663","-0.622053521","0.741086992","0.470823919","0.280194341","-0.383792639","-0.015979336","-0.754454067","-0.785364794","-0.379875545","-0.251321357","-0.011864682","-0.093754451","0.865579538","-0.363887379","0.681754257","0.447780504","-0.54077122","0.635376087","0.250384793","-0.459490742","-0.745405141","",""
"MI606","Isle Royale National Park","Michigan","538945.5527","2799701.826","0.096568967","123.7172414","4302.646948","2002","MICHIGAN","","","","","","","","","","","","","","","","0.01","0.19","0.42","0.23","0.15","0.03","0.36","0.45","0.14","0.02","0.04","0.39","0.43","0.12","0.02","0.06","0.49","0.34","0.09","0.02","0.05","0.49","0.36","0.08","0.02","0.09","0.49","0.3","0.1","0.02","0.05","0.4","0.34","0.15","0.06","0.06","0.46","0.36","0.09","0.03","0.05","0.3","0.35","0.2","0.1","0.06","0.31","0.34","0.21","0.08","0.07","0.38","0.34","0.14","0.07","0.09","0.35","0.35","0.15","0.06","0.11","0.37","0.32","0.15","0.05","0.07","0.42","0.33","0.13","0.05","0.06","0.36","0.34","0.17","0.07","0.07","0.34","0.38","0.15","0.06","0.07","0.33","0.3","0.21","0.09","0.07","0.37","0.3","0.18","0.08","0.06","0.33","0.35","0.19","0.07","0.07","0.38","0.3","0.19","0.06","56.03659069","37.39443024","31.48569239","13.46061429","18.37058707","67.43352673","38.22276426","7.341260713","79.37691098","66.86271456","22.60161467","25.02621129","31.34716296","27.85273551","3.339637279","76.64691582","45.02080831","37.24421627","40.4355186","21.4217636","30.15839441","0.159374585","0.09247238","0.446980828","-0.248916388","-0.022720017","-0.756462372","0.873706095","0.48490429","-0.016312004","0.89720058","0.380098006","0.041844945","0.543451029","-0.143381556","-0.805137165","-0.5545489","0.491349666","-0.84697954","0.909230905","-0.594099649","-0.649853896","",""
"MI606","Isle Royale National Park","Michigan","538945.5527","2799701.826","0.096568967","123.7172414","4302.646948","2003","MICHIGAN","","","","","","","","","","","","","","","","","","","","","0.02","0.39","0.48","0.1","0.01","0.02","0.34","0.52","0.1","0.02","0.04","0.49","0.37","0.09","0.01","0.08","0.52","0.31","0.07","0.02","0.1","0.51","0.31","0.07","0.01","0.1","0.48","0.35","0.06","0.01","0.15","0.54","0.27","0.03","0.01","0.14","0.54","0.27","0.05","0","0.17","0.54","0.23","0.05","0.01","0.19","0.51","0.24","0.05","0.01","0.21","0.57","0.17","0.04","0.01","0.22","0.55","0.18","0.04","0.01","0.11","0.53","0.25","0.1","0.01","0.19","0.49","0.21","0.09","0.02","0.15","0.47","0.28","0.08","0.02","0.14","0.43","0.31","0.09","0.03","0.14","0.42","0.31","0.1","0.03","0.11","0.49","0.27","0.1","0.03","0.11","0.47","0.33","0.07","0.02","66.57491601","65.78941424","42.49970691","75.64992331","13.55922237","29.02637249","67.42654684","65.14183227","62.22867977","72.347064","64.29110145","8.897633109","48.03704688","63.23719262","29.34522992","17.43889327","22.30638746","72.42168437","60.3941041","45.51843983","66.40962406","0.900520996","0.832679605","0.795548166","-0.777071662","-0.813093522","0.992415396","0.246295739","0.79633939","-0.344245616","0.91061846","0.600039339","-0.050364983","0.184305592","0.151926141","0.435684864","0.710475742","0.422755706","-0.835503621","-0.701122882","-0.054565744","0.662382642","",""
"MI606","Isle Royale National Park","Michigan","538945.5527","2799701.826","0.096568967","123.7172414","4302.646948","2004","MICHIGAN","","","","","","","","","","","","","","","","0.12","0.41","0.37","0.07","0.03","0.07","0.4","0.38","0.1","0.05","0.06","0.43","0.38","0.11","0.02","0.08","0.42","0.34","0.11","0.05","0.04","0.44","0.35","0.12","0.05","0.08","0.33","0.37","0.16","0.06","0.06","0.34","0.39","0.16","0.05","0.1","0.32","0.39","0.14","0.05","0.17","0.36","0.28","0.14","0.05","0.16","0.36","0.31","0.12","0.05","0.19","0.33","0.3","0.13","0.05","0.16","0.31","0.32","0.15","0.06","0.09","0.38","0.35","0.13","0.05","0.12","0.36","0.32","0.14","0.06","0.09","0.37","0.35","0.13","0.06","0.12","0.38","0.3","0.14","0.06","0.12","0.36","0.32","0.14","0.06","0.13","0.35","0.34","0.13","0.05","0.12","0.36","0.36","0.12","0.04","0.12","0.36","0.36","0.11","0.05","3.139928433","56.49699599","6.645150133","53.31115","71.48259435","38.16555135","14.67400761","43.47194695","64.98841327","15.77899637","73.81112341","75.10961922","3.760929407","65.55679607","79.88497205","72.12782925","67.40273458","9.511626934","28.53401301","16.40571431","42.19948975","-0.02017422","-0.55578378","0.394131072","0.205240941","0.941787944","-0.72157042","-0.552627804","-0.17487267","0.435280249","-0.981117519","0.44568155","-0.041163522","0.963877594","0.824569303","-0.025675241","-0.118006887","-0.190224535","0.272723604","0.086755278","-0.801736523","-0.792164212","",""
"MI606","Isle Royale National Park","Michigan","538945.5527","2799701.826","0.096568967","123.7172414","4302.646948","2005","MICHIGAN","","","","","","","","","","","0.12","0.4","0.4","0.07","0.01","0.07","0.46","0.43","0.03","0.01","0.09","0.47","0.41","0.02","0.01","0.14","0.53","0.3","0.03","0","0.18","0.53","0.25","0.03","0.01","0.14","0.47","0.33","0.05","0.01","0.11","0.47","0.35","0.05","0.02","0.1","0.5","0.3","0.08","0.02","0.09","0.46","0.26","0.16","0.03","0.18","0.46","0.22","0.09","0.05","0.21","0.54","0.18","0.05","0.02","0.25","0.48","0.2","0.05","0.02","0.21","0.45","0.25","0.07","0.02","0.21","0.5","0.23","0.05","0.01","0.16","0.49","0.24","0.08","0.03","0.18","0.45","0.26","0.08","0.03","0.18","0.44","0.26","0.09","0.03","0.19","0.51","0.23","0.06","0.01","0.19","0.46","0.26","0.07","0.02","0.15","0.48","0.28","0.07","0.02","0.18","0.48","0.26","0.07","0.01","36.22177836","64.14080845","31.58158011","74.59897635","31.89581406","73.63429519","23.76004291","16.50646766","55.05657142","8.269265448","66.62297368","58.07902492","66.14311098","26.92175697","55.97038518","73.21111745","30.57563361","35.27546982","6.063793314","48.84061675","56.42381099","0.045567232","0.915140511","-0.95408778","0.841603838","-0.642465371","-0.119891942","-0.433117925","0.073860358","-0.684517105","0.628888502","0.304659716","0.098558143","0.951396629","-0.612626691","-0.781615961","-0.250956586","-0.7598365","0.518884548","-0.822721465","0.952852042","-0.124817369","",""
"MI606","Isle Royale National Park","Michigan","538945.5527","2799701.826","0.096568967","123.7172414","4302.646948","2006","MICHIGAN","","","","","","","","","","","0.04","0.46","0.41","0.07","0.02","0.1","0.46","0.34","0.08","0.02","0.14","0.39","0.37","0.09","0.01","0.1","0.51","0.29","0.08","0.02","0.09","0.51","0.3","0.09","0.01","0.09","0.57","0.24","0.08","0.02","0.07","0.53","0.28","0.11","0.01","0.07","0.52","0.29","0.1","0.02","0.14","0.49","0.27","0.08","0.02","0.13","0.52","0.25","0.09","0.01","0.19","0.53","0.22","0.05","0.01","0.22","0.53","0.17","0.07","0.01","0.24","0.49","0.22","0.04","0.01","0.19","0.49","0.25","0.06","0.01","0.24","0.47","0.23","0.05","0.01","0.21","0.45","0.29","0.04","0.01","0.22","0.56","0.17","0.04","0.01","0.27","0.48","0.2","0.04","0.01","0.2","0.56","0.2","0.04","0","0.23","0.43","0.25","0.08","0.01","0.24","0.54","0.18","0.04","0","77.07663098","63.50796238","78.6033698","4.015578896","77.00751653","9.203107796","40.06397311","47.65522333","73.5164204","78.08730644","64.04320684","72.26353587","41.93453022","25.13377656","76.2822647","8.761299981","57.09905969","33.84315106","34.75950842","10.37778059","67.48544463","-0.160403722","0.262381045","0.960777471","0.25933299","0.621706863","0.013523471","0.342760918","-0.017406455","-0.083225069","0.714762802","0.414689923","-0.100978742","0.763972194","-0.603986579","-0.981364442","0.695474837","-0.819809429","0.511807278","0.689386935","0.549464859","-0.660277639","",""
"MI606","Isle Royale National Park","Michigan","538945.5527","2799701.826","0.096568967","123.7172414","4302.646948","2007","MICHIGAN","","","","","","","","","","","0.24","0.58","0.17","0.01","0","0.25","0.51","0.22","0.02","0","0.25","0.55","0.17","0.02","0.01","0.29","0.55","0.14","0.02","0","0.15","0.6","0.2","0.04","0.01","0.18","0.52","0.23","0.06","0.01","0.12","0.51","0.27","0.09","0.01","0.07","0.39","0.35","0.15","0.04","0.07","0.39","0.26","0.2","0.08","0.05","0.32","0.31","0.2","0.12","0.05","0.21","0.33","0.24","0.17","0.01","0.11","0.28","0.35","0.25","0.02","0.21","0.3","0.27","0.2","0.02","0.21","0.36","0.26","0.15","0.02","0.26","0.38","0.18","0.16","0.02","0.22","0.37","0.22","0.17","0.01","0.3","0.3","0.21","0.18","0.02","0.27","0.34","0.21","0.16","0.05","0.26","0.34","0.19","0.16","0.06","0.29","0.27","0.19","0.19","0.06","0.28","0.34","0.21","0.11","40.92933903","11.7454046","12.75140103","22.59319382","32.42877624","9.353826456","77.19817503","72.59857513","78.93693126","8.566130075","73.72917066","59.91078373","31.83923195","43.07429239","76.71170257","70.38311969","19.67324133","21.29484891","7.958866778","22.36308844","76.76119563","-0.112747985","-0.155951077","-0.420527706","0.978249204","0.633824774","-0.757383285","-0.183655443","-0.542773848","-0.4536547","0.051807756","0.39302073","-0.034629031","-0.132878787","-0.514220228","0.524074268","-0.257667686","-0.632238203","0.527297871","0.640145757","-0.197987052","0.757317548","",""
"MI606","Isle Royale National Park","Michigan","538945.5527","2799701.826","0.096568967","123.7172414","4302.646948","2008","MICHIGAN","","","","","","","","","","","","","","","","","","","","","0.09","0.54","0.29","0.06","0.02","0.2","0.53","0.24","0.03","0","0.24","0.52","0.19","0.04","0.01","0.25","0.5","0.2","0.04","0.01","0.23","0.55","0.18","0.03","0.01","0.27","0.51","0.18","0.03","0.01","0.29","0.53","0.14","0.03","0.01","0.31","0.52","0.14","0.03","0","0.32","0.46","0.16","0.04","0.02","0.19","0.47","0.25","0.06","0.03","0.21","0.44","0.24","0.08","0.03","0.19","0.37","0.29","0.1","0.05","0.16","0.34","0.28","0.11","0.11","0.15","0.27","0.31","0.13","0.14","0.14","0.31","0.32","0.13","0.1","0.15","0.35","0.29","0.14","0.07","0.12","0.32","0.33","0.15","0.08","0.16","0.33","0.29","0.13","0.09","0.15","0.35","0.31","0.12","0.07","65.03917731","9.518321196","58.01155998","10.86960402","52.46599455","16.3283835","17.055793","53.315945","6.423407982","79.84475564","5.221622258","42.5557674","4.829694348","29.38804757","1.423369149","73.60310824","29.34633428","20.85375596","37.67265495","23.19288112","22.77622073","-0.75916348","-0.686936322","0.161124582","0.807859725","-0.784270147","0.519586782","0.744187538","-0.442817579","-0.877701687","0.92368161","-0.594410404","0.430209144","0.885056534","-0.868575216","-0.044714408","-0.453132162","0.129908818","0.173997702","0.035363446","-0.964565833","0.906081528","",""
"MI606","Isle Royale National Park","Michigan","538945.5527","2799701.826","0.096568967","123.7172414","4302.646948","2009","MICHIGAN","","","","","","","","","","","","","","","","","","","","","0.1","0.58","0.3","0.01","0.01","0.08","0.61","0.26","0.04","0.01","0.11","0.59","0.25","0.04","0.01","0.15","0.53","0.26","0.05","0.01","0.13","0.58","0.23","0.04","0.02","0.14","0.53","0.26","0.05","0.02","0.14","0.49","0.27","0.08","0.02","0.09","0.54","0.26","0.09","0.02","0.1","0.42","0.35","0.11","0.02","0.08","0.42","0.32","0.13","0.05","0.08","0.39","0.33","0.14","0.06","0.1","0.38","0.32","0.13","0.07","0.11","0.45","0.28","0.11","0.05","0.13","0.46","0.26","0.11","0.04","0.12","0.46","0.26","0.11","0.05","0.12","0.44","0.28","0.11","0.05","0.12","0.41","0.31","0.12","0.04","0.12","0.44","0.27","0.13","0.04","0.11","0.44","0.28","0.13","0.04","32.54261299","67.98743522","73.18845671","33.44060286","12.85931478","36.08305584","28.42244146","41.69874084","71.34410205","58.494072","1.404373682","66.80862861","57.52098873","43.30563996","30.2431037","62.91147088","52.80801998","21.49160325","55.81012955","63.83443474","30.46223643","-0.418234174","-0.496606182","-0.633949589","0.701578144","-0.699271281","-0.490727792","0.179049087","0.195309467","0.320997504","0.105255064","0.471670297","-0.025328785","-0.572071921","-0.505659972","0.351276787","-0.614967802","0.007512306","-0.678335153","-0.085611892","0.326722264","0.128927304","",""
"MI606","Isle Royale National Park","Michigan","538945.5527","2799701.826","0.096568967","123.7172414","4302.646948","2010","MICHIGAN","","","","","","0.08","0.3","0.46","0.13","0.03","0.08","0.48","0.33","0.1","0.01","0.17","0.51","0.26","0.06","","0.16","0.53","0.25","0.05","0.01","0.23","0.44","0.27","0.05","0.01","0.24","0.51","0.19","0.05","0.01","0.29","0.49","0.16","0.05","0.01","0.3","0.46","0.18","0.05","0.01","0.31","0.47","0.16","0.05","0.01","0.31","0.49","0.14","0.05","0.01","0.35","0.44","0.14","0.06","0.01","0.35","0.44","0.14","0.05","0.02","0.36","0.38","0.17","0.07","0.02","0.32","0.44","0.18","0.05","0.01","0.31","0.41","0.21","0.05","0.02","0.27","0.45","0.21","0.05","0.02","0.26","0.45","0.19","0.07","0.03","0.27","0.45","0.19","0.07","0.02","0.25","0.47","0.18","0.07","0.03","0.26","0.48","0.18","0.06","0.02","0.31","0.45","0.16","0.06","0.02","0.27","0.48","0.2","0.04","0.01","69.46307304","21.77405653","40.6961224","72.01745935","24.89088442","26.62071321","16.43558096","66.0757993","10.01577701","39.07018503","69.77828548","59.01579666","11.91921242","23.28571301","13.05353054","42.44039753","6.024376426","51.92451147","66.48849786","66.48165803","15.70819031","0.33363122","0.926996804","0.997682779","0.280082852","0.514393989","0.782498631","-0.270503554","-0.480577768","-0.574732856","-0.593696843","0.550240795","0.782951811","0.204938451","0.846733624","0.111667708","0.461168194","0.894501209","0.267790103","-0.023327772","-0.363982644","0.671668921","",""
