"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"MN077","Lake of the Woods County","Minnesota","81497.18147","2863392.054","0.186032617","373.3770565","3395.314756","2001","MINNESOTA","","","","","","","","","","","0.2","0.55","0.23","0.02","0","0.12","0.5","0.34","0.03","0.01","0.1","0.44","0.38","0.07","0.01","0.04","0.4","0.44","0.11","0.01","0.04","0.4","0.42","0.1","0.04","0.05","0.41","0.42","0.09","0.03","0.07","0.45","0.38","0.09","0.01","0.08","0.48","0.35","0.07","0.02","0.05","0.37","0.4","0.14","0.04","0.05","0.32","0.4","0.16","0.07","0.06","0.36","0.4","0.14","0.04","0.05","0.38","0.39","0.13","0.05","0.04","0.4","0.39","0.13","0.04","0.04","0.35","0.43","0.14","0.04","0.02","0.31","0.42","0.18","0.07","0.02","0.31","0.43","0.17","0.07","0.03","0.28","0.44","0.18","0.07","0.04","0.31","0.45","0.14","0.06","0.02","0.34","0.47","0.13","0.04","0.02","0.36","0.47","0.11","0.04","0.02","0.36","0.46","0.13","0.03","35.30393572","14.78691462","10.38628501","3.289659604","60.91871568","77.20041895","5.708870063","29.44639935","39.33113845","19.3162186","58.52358967","76.74434224","67.90942175","24.8550284","37.21143248","39.4362779","27.08505754","76.7759031","12.02135711","9.365425319","3.803802721","0.702971951","-0.734139063","0.489059171","0.207401564","0.913012802","-0.421326123","-0.01887053","-0.740288687","0.61141246","0.363800871","0.463944362","0.151994219","-0.652274912","-0.030701587","0.230448974","0.581899329","-0.916385183","0.992540232","0.210727224","-0.192990607","-0.853575532","",""
"MN077","Lake of the Woods County","Minnesota","81497.18147","2863392.054","0.186032617","373.3770565","3395.314756","2002","MINNESOTA","","","","","","","","","","","","","","","","0.02","0.35","0.43","0.17","0.03","0.06","0.48","0.36","0.09","0.01","0.08","0.49","0.36","0.06","0.01","0.1","0.51","0.32","0.06","0.01","0.12","0.53","0.29","0.05","0.01","0.16","0.54","0.24","0.05","0.01","0.1","0.53","0.29","0.06","0.02","0.12","0.5","0.29","0.08","0.01","0.12","0.47","0.27","0.1","0.04","0.11","0.49","0.25","0.12","0.03","0.14","0.44","0.26","0.11","0.05","0.19","0.48","0.22","0.08","0.03","0.16","0.51","0.24","0.07","0.02","0.2","0.47","0.25","0.06","0.02","0.14","0.55","0.23","0.06","0.02","0.18","0.49","0.25","0.06","0.02","0.17","0.54","0.21","0.06","0.02","0.17","0.53","0.21","0.07","0.02","0.17","0.52","0.24","0.06","0.01","0.17","0.55","0.21","0.06","0.01","71.33069313","65.84021569","25.033685","61.29636297","50.40937937","41.39242936","46.58213472","20.42814874","21.67867442","5.725748265","32.19805194","73.33654884","4.9706771","67.52404734","71.82228151","28.47763181","2.237960157","7.452220054","66.53842927","60.41187472","47.40830422","-0.136917848","-0.997634896","0.853167008","0.323631011","-0.189718202","0.300162812","-0.082572188","0.50637811","-0.049655901","0.093378321","0.118773473","-0.987903956","0.981872074","0.187982219","0.313858948","0.408871446","-0.781478795","0.177818687","0.370575453","0.331597253","0.592886829","",""
"MN077","Lake of the Woods County","Minnesota","81497.18147","2863392.054","0.186032617","373.3770565","3395.314756","2003","MINNESOTA","","","","","","","","","","","","","","","","","","","","","0.12","0.62","0.24","0.02","0","0.1","0.62","0.24","0.03","0.01","0.1","0.66","0.2","0.03","0.01","0.16","0.65","0.17","0.02","0","0.2","0.61","0.16","0.02","0.01","0.21","0.64","0.12","0.02","0.01","0.26","0.56","0.13","0.03","0.02","0.23","0.58","0.16","0.02","0.01","0.2","0.58","0.18","0.03","0.01","0.2","0.55","0.2","0.04","0.01","0.15","0.54","0.23","0.06","0.02","0.09","0.48","0.31","0.09","0.03","0.05","0.37","0.38","0.14","0.06","0.03","0.3","0.38","0.2","0.09","0.02","0.25","0.37","0.23","0.13","0.01","0.23","0.42","0.23","0.11","0.02","0.29","0.4","0.2","0.09","0.01","0.3","0.4","0.21","0.08","0.02","0.3","0.43","0.17","0.08","10.29355636","68.96182076","28.16325477","13.60757838","5.468751503","65.8202397","1.782720527","40.12606787","16.77381949","53.01733239","69.65235377","28.3323286","37.30686818","17.29603026","9.165436764","1.889875361","57.80853094","3.001295619","37.7010749","14.93942527","69.31958006","-0.790688887","0.748499938","0.040631902","0.253688945","-0.760723754","-0.584063488","0.539187009","-0.546690101","-0.1510674","0.639479468","0.258432793","0.454940453","-0.954199785","-0.942757292","0.177768237","-0.256623207","0.79347516","-0.308995024","-0.707344582","0.57329224","-0.083799155","",""
"MN077","Lake of the Woods County","Minnesota","81497.18147","2863392.054","0.186032617","373.3770565","3395.314756","2004","MINNESOTA","","","","","","","","","","","","","","","","0.08","0.55","0.28","0.07","0.02","0.05","0.52","0.36","0.05","0.02","0.09","0.51","0.35","0.04","0.01","0.08","0.53","0.33","0.05","0.01","0.08","0.46","0.37","0.07","0.02","0.06","0.5","0.35","0.07","0.02","0.09","0.51","0.32","0.06","0.02","0.09","0.51","0.33","0.06","0.01","0.12","0.52","0.29","0.05","0.02","0.13","0.54","0.27","0.05","0.01","0.13","0.55","0.24","0.06","0.02","0.11","0.53","0.23","0.08","0.05","0.1","0.52","0.28","0.08","0.02","0.1","0.46","0.31","0.09","0.04","0.07","0.42","0.35","0.12","0.04","0.09","0.44","0.33","0.1","0.04","0.09","0.39","0.37","0.12","0.03","0.08","0.44","0.36","0.09","0.03","0.09","0.51","0.3","0.08","0.02","0.12","0.48","0.3","0.07","0.03","4.336957265","68.45598584","49.49818913","18.40321351","56.12591339","5.951319072","22.8333416","45.0864921","7.346624784","7.774140224","31.72260415","37.90769293","67.92805388","27.31732675","32.87460235","58.40948705","50.51889674","6.747668561","27.07698571","3.631616312","5.404006307","-0.503929357","0.862175091","-0.099375129","0.745922077","0.568854093","0.873620587","-0.7504978","0.68697212","-0.130010437","-0.449633419","-0.1184143","-0.51767076","0.736432302","-0.971668215","-0.277384415","-0.962165891","0.155010144","0.189395092","0.335082859","-0.38030385","0.489967083","",""
"MN077","Lake of the Woods County","Minnesota","81497.18147","2863392.054","0.186032617","373.3770565","3395.314756","2005","MINNESOTA","","","","","","","","","","","0.06","0.42","0.44","0.06","0.02","0.06","0.51","0.37","0.05","0.01","0.06","0.53","0.31","0.07","0.03","0.11","0.49","0.33","0.05","0.02","0.1","0.5","0.31","0.07","0.02","0.17","0.53","0.23","0.06","0.01","0.18","0.56","0.19","0.05","0.02","0.21","0.53","0.2","0.04","0.02","0.17","0.52","0.23","0.06","0.02","0.19","0.52","0.2","0.07","0.02","0.22","0.51","0.2","0.06","0.01","0.18","0.48","0.25","0.07","0.02","0.27","0.44","0.21","0.06","0.02","0.2","0.49","0.23","0.05","0.03","0.23","0.48","0.21","0.06","0.02","0.19","0.52","0.21","0.06","0.02","0.2","0.54","0.19","0.05","0.02","0.24","0.51","0.19","0.04","0.02","0.23","0.46","0.23","0.05","0.03","0.26","0.49","0.19","0.05","0.01","0.23","0.51","0.19","0.05","0.02","17.51776176","17.61422055","54.86866062","14.46461278","26.74386141","1.883483106","30.0992571","19.37306024","27.76646437","27.32359188","9.682947663","68.38032224","12.29636201","79.40717422","31.23618183","10.39211693","77.09079273","62.31652988","8.772279946","65.2652219","20.17995524","0.045901316","0.987437087","0.763501247","0.161410367","-0.477399839","0.122654414","-0.447280585","-0.432384564","0.622331515","-0.585602577","-0.1966984","-0.616161095","0.954052587","-0.292254856","-0.509303633","-0.249201664","0.898765141","-0.356884959","-0.023641281","0.277826471","-0.808051641","",""
"MN077","Lake of the Woods County","Minnesota","81497.18147","2863392.054","0.186032617","373.3770565","3395.314756","2006","MINNESOTA","","","","","","","","","","","0.2","0.6","0.2","0","0","0.14","0.73","0.11","0.02","0","0.18","0.62","0.16","0.03","0.01","0.23","0.58","0.16","0.03","0","0.22","0.57","0.17","0.03","0.01","0.27","0.55","0.14","0.03","0.01","0.28","0.53","0.14","0.04","0.01","0.19","0.5","0.21","0.07","0.03","0.11","0.41","0.31","0.12","0.05","0.11","0.43","0.3","0.1","0.06","0.09","0.39","0.28","0.15","0.09","0.13","0.43","0.26","0.1","0.08","0.11","0.4","0.28","0.12","0.09","0.14","0.41","0.24","0.13","0.08","0.14","0.44","0.23","0.11","0.08","0.1","0.45","0.27","0.12","0.06","0.12","0.46","0.27","0.1","0.05","0.12","0.51","0.22","0.1","0.05","0.16","0.44","0.24","0.09","0.07","0.12","0.51","0.23","0.09","0.05","0.17","0.48","0.21","0.08","0.06","8.807590607","54.72893194","73.12522656","43.60222132","61.85497388","55.42073143","71.57356694","47.30509524","1.488512303","27.4571948","64.60519754","11.16556324","63.62439294","21.7217523","32.99449796","5.665494018","71.24102326","33.55104263","51.36196486","15.86479424","28.63080991","-0.187031924","0.901173159","0.802269876","-0.521694736","0.990922514","0.819708948","-0.869187052","-0.580945849","0.053339393","0.358528623","-0.391665117","0.86171358","-0.452995763","0.468321569","-0.821742516","0.096984482","-0.847870798","0.978594131","-0.873850346","-0.928952946","0.042779019","",""
"MN077","Lake of the Woods County","Minnesota","81497.18147","2863392.054","0.186032617","373.3770565","3395.314756","2007","MINNESOTA","","","","","","","","","","","0.28","0.63","0.09","0","0","0.26","0.56","0.15","0.02","0.01","0.24","0.63","0.11","0.02","0","0.26","0.57","0.12","0.04","0.01","0.29","0.55","0.11","0.05","0","0.27","0.56","0.14","0.02","0.01","0.21","0.53","0.18","0.06","0.02","0.19","0.48","0.2","0.07","0.06","0.11","0.39","0.31","0.12","0.07","0.07","0.33","0.34","0.16","0.1","0.03","0.27","0.33","0.24","0.13","0.04","0.21","0.31","0.26","0.18","0.05","0.28","0.3","0.22","0.15","0.06","0.27","0.31","0.21","0.15","0.07","0.33","0.31","0.16","0.13","0.06","0.39","0.29","0.15","0.11","0.09","0.3","0.34","0.15","0.12","0.08","0.32","0.33","0.15","0.12","0.07","0.36","0.33","0.14","0.1","0.08","0.38","0.3","0.14","0.1","0.09","0.37","0.32","0.12","0.1","29.79446648","16.85410317","65.80810784","71.56306707","17.7757353","6.904036429","67.88383174","15.30764836","3.85020308","43.25734092","65.76358428","31.88657729","11.84267795","7.980435258","29.0710204","36.40285085","11.87916884","33.42545318","3.524446567","43.59268571","72.70043127","0.980109858","0.387576416","-0.758321123","-0.64390406","-0.571154334","0.80881844","-0.298991038","0.463172933","-0.283055001","0.321533934","0.025774068","0.999457239","-0.026567779","-0.159159118","-0.735265813","0.936184521","0.264244716","-0.147953928","0.518151862","-0.747412923","0.524105696",""," "
"MN077","Lake of the Woods County","Minnesota","81497.18147","2863392.054","0.186032617","373.3770565","3395.314756","2008","MINNESOTA","","","","","","","","","","","","","","","","","","","","","0.15","0.58","0.23","0.03","0.01","0.09","0.58","0.29","0.03","0.01","0.06","0.57","0.31","0.05","0.01","0.1","0.52","0.3","0.06","0.02","0.13","0.58","0.23","0.04","0.02","0.14","0.58","0.23","0.04","0.01","0.13","0.58","0.23","0.04","0.02","0.13","0.56","0.24","0.05","0.02","0.14","0.59","0.21","0.04","0.02","0.18","0.54","0.2","0.06","0.02","0.16","0.52","0.22","0.07","0.03","0.16","0.51","0.22","0.06","0.05","0.1","0.52","0.24","0.08","0.06","0.12","0.52","0.24","0.08","0.04","0.1","0.53","0.22","0.09","0.06","0.1","0.52","0.24","0.09","0.05","0.09","0.55","0.23","0.08","0.05","0.11","0.54","0.23","0.08","0.04","0.12","0.54","0.24","0.07","0.03","47.53245664","33.71394045","61.91994248","14.01661255","63.6799451","26.79483701","74.89772846","58.97005475","51.53715","60.57876874","66.56083111","32.14734741","5.269480662","41.29112531","1.926608509","78.52131045","10.01560939","35.84312486","2.291249577","62.99065487","40.30684071","-0.483579869","0.904146877","-0.902708621","0.417973372","0.398796845","0.056117004","-0.98151317","0.447719413","0.138127787","-0.244201725","0.379621271","0.566717015","0.33367852","0.52234193","-0.915625594","-0.605300887","-0.290275427","-0.972357223","0.991926423","-0.26209121","-0.842540543","",""
"MN077","Lake of the Woods County","Minnesota","81497.18147","2863392.054","0.186032617","373.3770565","3395.314756","2009","MINNESOTA","","","","","","","","","","","","","","","","","","","","","0.11","0.66","0.21","0.02","","0.14","0.61","0.2","0.04","0.01","0.14","0.62","0.2","0.03","0.01","0.21","0.59","0.18","0.02","","0.23","0.59","0.15","0.03","","0.23","0.59","0.16","0.02","","0.23","0.59","0.14","0.03","0.01","0.19","0.59","0.18","0.03","0.01","0.2","0.55","0.2","0.04","0.01","0.18","0.56","0.21","0.04","0.01","0.17","0.57","0.2","0.05","0.01","0.19","0.55","0.21","0.04","0.01","0.2","0.53","0.22","0.04","0.01","0.19","0.54","0.22","0.04","0.01","0.17","0.55","0.21","0.05","0.02","0.18","0.54","0.22","0.04","0.02","0.16","0.54","0.23","0.05","0.02","0.18","0.52","0.23","0.05","0.02","0.16","0.56","0.22","0.04","0.02","12.26139559","79.53739599","70.02203133","27.52032891","28.09843817","1.300445774","48.14090533","9.417829153","22.98999463","4.330158091","33.12892371","40.42857397","51.23848659","39.07673982","2.039737159","18.28806531","38.345191","43.66036653","13.13437201","14.78656612","42.76835056","0.574789148","0.320138278","0.679710973","0.140168281","-0.232259982","0.892692804","-0.392279394","-0.980455175","0.096290935","-0.712411549","-0.772030826","-0.150415409","-0.130522341","0.826638531","0.461264217","-0.300560436","-0.008640248","-0.50425588","0.311576271","0.527383349","-0.67764614","",""
"MN077","Lake of the Woods County","Minnesota","81497.18147","2863392.054","0.186032617","373.3770565","3395.314756","2010","MINNESOTA","","","","","","0.1","0.7","0.15","0.05","","0.14","0.73","0.12","0.01","","0.25","0.67","0.08","","","0.27","0.65","0.08","","","0.32","0.62","0.06","","","0.32","0.61","0.07","","","0.28","0.62","0.09","0.01","","0.31","0.58","0.09","0.02","","0.31","0.57","0.09","0.03","","0.35","0.55","0.08","0.02","","0.36","0.53","0.09","0.02","","0.4","0.5","0.08","0.02","","0.4","0.51","0.07","0.01","0.01","0.41","0.49","0.07","0.02","0.01","0.38","0.52","0.08","0.02","","0.4","0.51","0.07","0.02","","0.38","0.53","0.07","0.02","","0.37","0.53","0.07","0.02","0.01","0.36","0.53","0.09","0.02","","0.32","0.53","0.11","0.03","0.01","0.33","0.53","0.09","0.04","0.01","0.34","0.53","0.1","0.02","0.01","9.697224801","45.58993342","28.5144054","57.90060671","65.73518092","44.75522373","26.1224069","48.02841285","22.14925752","3.457917957","59.13224425","1.405709404","25.86814779","67.13354912","42.95334289","58.84357623","29.89821061","46.11170257","13.2416764","2.439012797","61.06950942","0.464695897","-0.893222879","-0.69472178","-0.630592174","-0.862378323","-0.811728289","-0.907796328","0.362235216","0.730988155","-0.089591957","0.013828004","-0.410626785","0.715463426","-0.008134828","-0.006266915","0.247726083","0.244449411","0.196315642","-0.35410209","0.735622505","0.626264512","",""
