"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"NE165","Sioux County","Nebraska","-633145.3273","2191182.385","0.071422532","148.4903504","670.4451791","2001","NEBRASKA","","","","","","","","","","","0.16","0.65","0.18","0.01","0","0.15","0.62","0.21","0.02","0","0.15","0.6","0.22","0.03","0","0.17","0.59","0.21","0.03","0","0.18","0.56","0.22","0.04","0","0.14","0.6","0.22","0.04","0","0.16","0.55","0.24","0.04","0.01","0.18","0.49","0.27","0.05","0.01","0.21","0.51","0.23","0.04","0.01","0.2","0.48","0.24","0.06","0.02","0.21","0.5","0.21","0.06","0.02","0.18","0.48","0.24","0.07","0.03","0.18","0.43","0.26","0.09","0.04","0.19","0.44","0.25","0.08","0.04","0.19","0.43","0.25","0.09","0.04","0.18","0.44","0.24","0.09","0.05","0.19","0.44","0.23","0.09","0.05","0.2","0.42","0.25","0.09","0.04","0.2","0.43","0.24","0.08","0.05","0.2","0.44","0.24","0.08","0.04","0.23","0.43","0.22","0.08","0.04","34.64598407","53.33088778","15.96658297","13.78868087","6.507313595","59.00552491","63.80020292","46.85287405","49.53103396","50.60390983","18.77682607","53.00549652","57.75395029","20.61455662","48.41047394","47.11229108","13.84404362","75.10604398","57.34362562","26.99933301","73.03324854","-0.581581333","-0.474810359","0.338711178","-0.226695879","0.216079504","-0.479260091","-0.002868885","-0.301777401","-0.263526112","0.816036331","0.99748642","-0.571344443","0.37998741","0.050098014","0.199328151","-0.990312602","0.657083508","0.754547806","-0.337213134","-0.553969196","0.747448882","141.6","300"
"NE165","Sioux County","Nebraska","-633145.3273","2191182.385","0.071422532","148.4903504","670.4451791","2002","NEBRASKA","","","","","","","","","","","","","","","","0.08","0.46","0.35","0.08","0.03","0.09","0.47","0.33","0.08","0.03","0.11","0.49","0.31","0.07","0.02","0.13","0.5","0.29","0.06","0.02","0.1","0.44","0.33","0.1","0.03","0.08","0.37","0.38","0.13","0.04","0.09","0.36","0.36","0.13","0.06","0.08","0.33","0.34","0.16","0.09","0.06","0.25","0.35","0.17","0.17","0.06","0.28","0.31","0.17","0.18","0.04","0.26","0.31","0.16","0.23","0.05","0.29","0.25","0.17","0.24","0.04","0.26","0.29","0.17","0.24","0.06","0.25","0.29","0.15","0.25","0.05","0.25","0.29","0.16","0.25","0.05","0.28","0.27","0.15","0.25","0.06","0.27","0.28","0.15","0.24","0.07","0.26","0.28","0.15","0.24","0.07","0.27","0.25","0.16","0.25","0.08","0.26","0.28","0.15","0.23","65.25012609","53.21375931","79.97840386","72.02322641","72.42094905","51.66941186","37.79698729","46.22572072","34.31924292","66.79180508","78.58809422","73.74748252","70.58579575","22.85583872","14.61737612","14.37060558","22.64957737","17.49676911","29.22556126","14.91024074","76.76897911","-0.758245464","-0.871863202","-0.00200302","0.463568301","-0.815844288","0.836408384","-0.71342592","0.562300433","-0.945296167","0.584246603","-0.406792828","0.886964812","-0.084378605","0.558224601","0.187815476","0.901166684","0.478080631","0.86839274","0.019367152","-0.36250383","-0.87621881","131","900"
"NE165","Sioux County","Nebraska","-633145.3273","2191182.385","0.071422532","148.4903504","670.4451791","2003","NEBRASKA","","","","","","","","","","","","","","","","","","","","","0.18","0.61","0.2","0.01","0","0.2","0.62","0.17","0.01","0","0.18","0.61","0.19","0.02","0","0.26","0.57","0.16","0.01","0","0.25","0.58","0.14","0.02","0.01","0.21","0.57","0.19","0.02","0.01","0.26","0.52","0.19","0.02","0.01","0.22","0.49","0.21","0.07","0.01","0.19","0.42","0.28","0.08","0.03","0.18","0.39","0.26","0.11","0.06","0.17","0.37","0.25","0.12","0.09","0.15","0.36","0.24","0.13","0.12","0.16","0.29","0.24","0.16","0.15","0.15","0.32","0.22","0.15","0.16","0.16","0.3","0.23","0.15","0.16","0.15","0.33","0.22","0.14","0.16","0.15","0.33","0.23","0.15","0.14","0.17","0.33","0.22","0.14","0.14","0.17","0.33","0.23","0.13","0.14","77.98498499","26.76932493","62.66271117","19.19318593","35.57119456","62.80859662","77.6304542","47.38761743","45.64252646","3.751787689","8.430322842","65.67374804","73.97048336","38.11452388","7.426086599","70.32782538","60.1028417","61.1663814","61.26788709","48.21019095","37.57456243","-0.805677703","0.723441403","0.227554947","0.744813762","0.053924201","0.849522262","-0.639153873","-0.978776451","0.192191099","0.495343557","-0.368574814","-0.751399934","0.00811434","0.867277239","0.384936672","0.142022127","0.612458241","0.586407934","-0.299219093","-0.484332755","0.373725598","142","800"
"NE165","Sioux County","Nebraska","-633145.3273","2191182.385","0.071422532","148.4903504","670.4451791","2004","NEBRASKA","","","","","","","","","","","","","","","","0.11","0.54","0.31","0.03","0.01","0.07","0.57","0.31","0.04","0.01","0.1","0.51","0.32","0.05","0.02","0.15","0.51","0.27","0.05","0.02","0.23","0.48","0.22","0.05","0.02","0.19","0.56","0.21","0.03","0.01","0.29","0.51","0.17","0.03","0","0.33","0.51","0.14","0.02","0","0.33","0.5","0.14","0.02","0.01","0.34","0.5","0.13","0.02","0.01","0.36","0.49","0.12","0.02","0.01","0.33","0.49","0.14","0.03","0.01","0.36","0.44","0.15","0.04","0.01","0.31","0.47","0.17","0.04","0.01","0.26","0.45","0.21","0.06","0.02","0.23","0.5","0.17","0.07","0.03","0.23","0.44","0.22","0.07","0.04","0.25","0.46","0.2","0.06","0.03","0.26","0.42","0.21","0.06","0.05","0.25","0.47","0.2","0.05","0.03","22.19340932","27.49919513","55.16342945","66.83934142","49.59893323","54.02244218","22.10419586","70.35483776","1.078106041","9.775742156","56.30990448","22.27553172","27.6864267","69.7881386","45.39692875","61.55003315","14.10645408","52.7465486","61.08991445","9.297229952","52.22313872","-0.716743881","-0.905986545","0.565615591","-0.017111868","-0.191887603","0.012707293","-0.181490001","0.384115319","0.300115042","-0.500963521","0.34480584","-0.144526185","-0.617547807","0.79253827","-0.535410075","0.704488765","0.743256229","0.164753116","-0.849816077","-0.5129933","0.020480853","143","600"
"NE165","Sioux County","Nebraska","-633145.3273","2191182.385","0.071422532","148.4903504","670.4451791","2005","NEBRASKA","","","","","","","","","","","0.08","0.62","0.26","0.03","0.01","0.1","0.61","0.27","0.02","0","0.15","0.55","0.28","0.02","0","0.16","0.59","0.23","0.02","0","0.24","0.54","0.2","0.02","0","0.26","0.61","0.11","0.02","0","0.29","0.55","0.13","0.03","0","0.29","0.52","0.16","0.02","0.01","0.24","0.51","0.18","0.06","0.01","0.24","0.51","0.18","0.06","0.01","0.17","0.48","0.24","0.08","0.03","0.17","0.44","0.27","0.08","0.04","0.18","0.48","0.2","0.09","0.05","0.19","0.44","0.24","0.09","0.04","0.18","0.47","0.21","0.09","0.05","0.18","0.45","0.23","0.09","0.05","0.2","0.43","0.22","0.1","0.05","0.19","0.44","0.23","0.09","0.05","0.2","0.45","0.22","0.08","0.05","0.2","0.45","0.23","0.08","0.04","0.24","0.44","0.2","0.08","0.04","23.91985028","29.27348269","28.69048655","78.11147435","21.55831231","74.63965397","29.97377579","41.9447139","12.81954518","29.95613123","75.42295187","59.78749081","16.1504416","8.649137729","21.36681207","32.51379589","27.38273713","26.2618302","37.70793676","22.18339803","77.05792067","-0.290885329","0.786879038","0.083869964","0.162256356","0.58014892","0.415422033","0.676301821","0.042983327","0.814883021","-0.204302611","0.755592423","-0.791080385","0.241460376","-0.379119418","-0.090118261","0.152988771","0.938303287","0.560847872","0.493127289","-0.075892727","-0.036850387","165.4","500"
"NE165","Sioux County","Nebraska","-633145.3273","2191182.385","0.071422532","148.4903504","670.4451791","2006","NEBRASKA","","","","","","","","","","","0.05","0.63","0.3","0.02","0","0.06","0.62","0.28","0.04","0","0.07","0.6","0.3","0.03","0","0.07","0.55","0.32","0.06","0","0.1","0.57","0.27","0.04","0.02","0.21","0.5","0.24","0.03","0.02","0.13","0.51","0.29","0.05","0.02","0.15","0.46","0.31","0.06","0.02","0.17","0.44","0.3","0.07","0.02","0.13","0.42","0.31","0.09","0.05","0.15","0.39","0.29","0.11","0.06","0.18","0.36","0.28","0.11","0.07","0.16","0.37","0.29","0.11","0.07","0.17","0.38","0.27","0.12","0.06","0.15","0.38","0.27","0.13","0.07","0.16","0.4","0.26","0.11","0.07","0.16","0.39","0.26","0.12","0.07","0.14","0.41","0.28","0.1","0.07","0.16","0.45","0.22","0.1","0.07","0.19","0.4","0.24","0.11","0.06","0.15","0.39","0.29","0.11","0.06","54.63156363","44.14210629","34.80828244","78.14334809","60.00458807","69.55672572","71.10824103","63.35775178","72.46353122","65.49709491","35.97141939","55.00708682","23.60664579","23.38875333","26.09736713","33.04124004","51.44149115","76.48035172","36.40820186","27.06649712","56.31368536","0.659808649","-0.401388912","-0.624346627","-0.915999814","-0.996004178","0.297930524","0.441350414","-0.900678409","-0.052201235","0.910646089","0.300732563","0.699119752","-0.148922387","0.367860809","0.590021786","0.050912353","0.757269193","0.351361305","0.248667233","0.001408648","-0.942214773","175","800"
"NE165","Sioux County","Nebraska","-633145.3273","2191182.385","0.071422532","148.4903504","670.4451791","2007","NEBRASKA","","","","","","","","","","","0.11","0.74","0.14","0.01","0","0.19","0.68","0.12","0.01","0","0.22","0.61","0.15","0.02","0","0.23","0.63","0.12","0.02","0","0.25","0.6","0.13","0.02","0","0.24","0.61","0.14","0.01","0","0.25","0.6","0.14","0.01","0","0.25","0.55","0.17","0.02","0.01","0.26","0.48","0.22","0.03","0.01","0.25","0.5","0.21","0.03","0.01","0.26","0.49","0.19","0.05","0.01","0.28","0.48","0.19","0.04","0.01","0.29","0.49","0.17","0.04","0.01","0.32","0.47","0.16","0.04","0.01","0.28","0.49","0.19","0.03","0.01","0.27","0.5","0.18","0.04","0.01","0.29","0.51","0.15","0.04","0.01","0.3","0.5","0.15","0.04","0.01","0.3","0.52","0.13","0.04","0.01","0.31","0.48","0.16","0.04","0.01","0.3","0.49","0.16","0.04","0.01","35.89363029","58.7752177","59.44855835","72.84967917","23.67083499","35.65739094","34.39430992","26.22920264","12.6528199","78.95458495","31.4125937","41.78865568","26.57397048","56.47117747","25.99693078","60.95505622","50.5035725","58.17287511","78.78322362","3.773869768","55.01212895","0.804364488","-0.927777231","0.049632307","0.725472475","0.468762616","0.174336031","0.206116179","0.482982527","-0.678208262","0.698410061","-0.319813237","-0.457234971","0.747764402","0.418853865","-0.477424425","0.759591263","0.026465272","-0.037254048","-0.868802442","-0.241768048","-0.781297376","139","300"
"NE165","Sioux County","Nebraska","-633145.3273","2191182.385","0.071422532","148.4903504","670.4451791","2008","NEBRASKA","","","","","","","","","","","","","","","","","","","","","0.1","0.56","0.27","0.06","0.01","0.09","0.56","0.27","0.06","0.02","0.11","0.55","0.27","0.06","0.01","0.14","0.56","0.25","0.04","0.01","0.17","0.53","0.24","0.04","0.02","0.17","0.55","0.22","0.04","0.02","0.19","0.54","0.21","0.04","0.02","0.19","0.56","0.19","0.04","0.02","0.18","0.58","0.18","0.04","0.02","0.17","0.58","0.19","0.04","0.02","0.2","0.56","0.19","0.04","0.01","0.2","0.56","0.19","0.04","0.01","0.21","0.54","0.18","0.05","0.02","0.22","0.54","0.18","0.04","0.02","0.21","0.54","0.19","0.04","0.02","0.22","0.55","0.17","0.04","0.02","0.19","0.54","0.2","0.05","0.02","0.19","0.56","0.19","0.04","0.02","0.19","0.57","0.18","0.04","0.02","68.48535696","6.387682589","26.74151435","9.374260964","48.62626587","78.60925087","71.39591184","58.48076328","58.97960728","23.54628466","33.99740345","65.98855986","20.41775292","29.40490967","43.1227213","73.85360566","51.41605442","33.63933524","44.08611797","11.672962","31.85845441","0.689228422","0.251360207","-0.202514314","0.536470464","0.827261387","-0.975129528","-0.55724023","0.989794215","0.589664269","0.98295356","0.329053666","0.511367522","-0.525252755","0.127628362","0.765339365","0.927370007","0.297722148","0.908564004","0.750219511","-0.088535885","0.100572174","151","0"
"NE165","Sioux County","Nebraska","-633145.3273","2191182.385","0.071422532","148.4903504","670.4451791","2009","NEBRASKA","","","","","","","","","","","","","","","","","","","","","0.16","0.73","0.11","","","0.13","0.71","0.15","0.01","","0.15","0.67","0.16","0.01","0.01","0.21","0.62","0.14","0.02","0.01","0.26","0.56","0.13","0.04","0.01","0.24","0.6","0.12","0.03","0.01","0.26","0.58","0.12","0.03","0.01","0.26","0.56","0.14","0.03","0.01","0.24","0.54","0.15","0.05","0.02","0.27","0.52","0.14","0.05","0.02","0.25","0.52","0.15","0.06","0.02","0.22","0.55","0.13","0.06","0.04","0.27","0.51","0.14","0.05","0.03","0.26","0.5","0.15","0.06","0.03","0.27","0.5","0.15","0.06","0.02","0.28","0.51","0.14","0.05","0.02","0.27","0.52","0.14","0.05","0.02","0.27","0.52","0.13","0.05","0.03","0.26","0.55","0.12","0.05","0.02","74.62537261","48.38559666","28.30360652","67.3742873","42.34283327","14.169643","60.37458131","28.29947207","57.43602019","24.11892931","6.372046177","34.36091872","35.49528737","34.95749254","43.56253479","56.35623325","67.24689658","32.84346179","55.16386595","19.9262978","40.83322181","0.341650552","0.691271622","-0.931745712","-0.287686945","-0.418256522","-0.703000703","-0.61876642","0.741048958","0.836265387","-0.099961929","-0.116469395","0.778161243","-0.943866597","0.974097803","0.157893407","-0.992678715","-0.015069783","-0.867556586","0.363623435","-0.939071761","0.186048642","157.9","500"
"NE165","Sioux County","Nebraska","-633145.3273","2191182.385","0.071422532","148.4903504","670.4451791","2010","NEBRASKA","","","","","","0.14","0.62","0.2","0.04","","0.11","0.66","0.21","0.02","","0.13","0.71","0.16","","","0.13","0.72","0.14","0.01","","0.16","0.65","0.17","0.02","","0.16","0.62","0.18","0.03","0.01","0.17","0.64","0.14","0.03","0.02","0.19","0.64","0.11","0.04","0.02","0.22","0.64","0.1","0.03","0.01","0.21","0.63","0.12","0.03","0.01","0.23","0.62","0.11","0.03","0.01","0.27","0.57","0.11","0.04","0.01","0.22","0.6","0.12","0.05","0.01","0.26","0.57","0.11","0.04","0.02","0.27","0.55","0.12","0.04","0.02","0.24","0.57","0.14","0.04","0.01","0.27","0.54","0.13","0.04","0.02","0.26","0.57","0.13","0.03","0.01","0.26","0.57","0.12","0.04","0.01","0.23","0.58","0.14","0.04","0.01","0.25","0.57","0.13","0.03","0.02","0.23","0.57","0.15","0.04","0.01","48.47596713","58.60644934","75.0115271","27.97569459","52.42085459","32.50605017","25.59734334","29.74026804","14.96009646","8.414121825","61.45495798","5.122261162","57.27151507","36.48206759","60.38292269","40.27419104","24.7424505","17.48449629","22.48789643","17.61718595","49.86855766","-0.579115898","0.948739458","0.293338216","-0.23805762","0.123274593","0.522404591","0.481278592","-0.739550869","-0.305338565","-0.673063654","-0.3864411","0.091579055","-0.804344861","-0.021203358","0.617327564","0.488955984","0.666614718","0.785708651","0.184230013","-0.744786331","-0.488116053","152.5","300"
