"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"NH607","Coos County Area","New Hampshire","1929097.278","2672186.623","0.158776853","125.1560945","5099.197199","2001","NEW HAMPSHIRE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.71522768","49.35712309","58.83016263","10.3964796","58.54464983","19.12474367","65.15740678","39.08331857","12.71882351","54.48200454","76.23979751","77.29323709","56.80944239","28.96264476","32.0238535","38.89784456","65.0737994","42.99483408","7.413025948","75.97046981","48.36562439","-0.642642313","0.999478435","0.462903969","-0.776562474","0.076724657","0.234618418","-0.443777688","-0.371702826","-0.744564472","-0.139766525","0.040971907","0.749658104","-0.020829217","-0.977774823","-0.864035266","0.77258692","-0.338269323","-0.174014792","0.637246587","-0.489874708","-0.682670623","",""
"NH607","Coos County Area","New Hampshire","1929097.278","2672186.623","0.158776853","125.1560945","5099.197199","2002","NEW HAMPSHIRE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.90065441","66.73428333","1.123189186","64.86252246","44.57486919","75.60280474","36.81192148","57.53296706","63.40143135","20.05545924","39.03809645","54.35625633","79.6114928","57.54967683","61.671339","61.84777827","53.31923073","20.18667809","17.90530782","56.05631242","73.96541264","-0.920005865","-0.590316628","-0.416875073","-0.449120598","0.466930834","-0.763542512","0.297175594","-0.532392071","-0.513833791","-0.459434572","0.65423879","0.891299337","-0.926690763","-0.521866628","0.181469041","0.310923111","-0.272919709","0.4108387","-0.72733057","-0.807805365","-0.230473187","",""
"NH607","Coos County Area","New Hampshire","1929097.278","2672186.623","0.158776853","125.1560945","5099.197199","2003","NEW HAMPSHIRE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.71090595","39.26724","67.4907805","53.65605074","21.05465543","14.25631357","79.01211914","30.29356168","68.16737731","62.82306904","50.63350958","8.319902363","15.67818172","48.088356","14.38298198","22.04273214","31.5376468","26.8307903","49.60011206","7.120525048","7.445143497","-0.143378924","-0.865740218","-0.634804408","0.000218186","-0.927323531","-0.899096144","0.902269366","0.464415991","0.536014013","0.430212765","0.119575298","0.768558173","-0.186099901","0.551741188","0.140161573","0.856278897","0.860014763","-0.039740086","0.225783846","-0.845483314","0.657924446","",""
"NH607","Coos County Area","New Hampshire","1929097.278","2672186.623","0.158776853","125.1560945","5099.197199","2004","NEW HAMPSHIRE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.50456341","32.99539451","15.17805175","28.10155225","78.09323629","29.50542132","55.65836384","2.63804689","73.05982148","59.95572255","3.790507041","58.11145788","62.30879061","18.11716527","2.818762798","7.463938752","5.887235822","27.55875955","11.94475106","3.196081813","56.37149129","-0.222854913","0.140784874","0.427769947","0.981330007","0.317937214","-0.08343708","0.001476713","-0.54255599","-0.63714978","0.342891201","-0.905741911","-0.176654411","-0.114196548","0.482219996","-0.859282954","0.672661225","-0.000354781","-0.937642829","0.633651431","0.481306475","-0.448128323","",""
"NH607","Coos County Area","New Hampshire","1929097.278","2672186.623","0.158776853","125.1560945","5099.197199","2005","NEW HAMPSHIRE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.21012404","42.70682767","69.25517734","39.9553698","40.33522263","31.51686093","40.41665518","48.67313893","66.68650493","20.97492631","70.7278361","79.22843898","50.28369172","45.05770614","9.245478354","28.8882581","61.89863842","74.31743456","72.87273745","11.59446786","26.5341783","0.676935619","0.192345975","0.552684215","-0.874538644","-0.123763923","-0.345720912","0.467027592","-0.342291073","0.487044924","-0.613236606","-0.598924496","-0.561137282","-0.291883342","-0.229365745","-0.361666287","0.019953141","0.911430312","0.701143397","0.822142445","0.527944612","0.440997223","",""
"NH607","Coos County Area","New Hampshire","1929097.278","2672186.623","0.158776853","125.1560945","5099.197199","2006","NEW HAMPSHIRE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.96353029","36.35428362","3.593176978","67.68618155","59.22274065","39.13761635","68.94987351","46.64596654","33.98092304","42.35707233","44.07518697","50.06913271","36.91569912","69.79508447","49.35648371","44.44680741","23.33580533","76.51236357","60.16408385","50.26132778","68.70543867","-0.532563951","0.980398209","0.11602766","0.794984882","-0.094017518","-0.73136757","-0.210447967","-0.687593012","-0.073199502","-0.829657741","-0.019092942","0.083995622","0.372363488","0.592948382","0.58925002","-0.065799072","0.614745064","-0.013976125","0.206883942","-0.160010268","0.391827562","",""
"NH607","Coos County Area","New Hampshire","1929097.278","2672186.623","0.158776853","125.1560945","5099.197199","2007","NEW HAMPSHIRE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.97901966","23.25988558","6.340057379","37.44623429","62.62548452","6.694869316","12.58038296","54.18575721","51.21631129","4.193830076","40.17959513","49.12019446","32.57894421","3.315851436","42.1984606","16.93186758","30.62402901","46.37845032","56.06858362","24.24245285","42.73915377","-0.969926969","0.6698444","0.635636445","0.682480152","-0.010494072","0.36422751","-0.097089082","0.28423145","-0.05173399","0.306371518","-0.011546432","0.953583828","-0.152735259","-0.306742496","0.619252258","-0.935219284","0.375566614","0.380365428","0.02273575","-0.158694311","-0.976495398","",""
"NH607","Coos County Area","New Hampshire","1929097.278","2672186.623","0.158776853","125.1560945","5099.197199","2008","NEW HAMPSHIRE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.11075995","61.43017812","12.00993399","61.90164444","17.69383817","65.84932741","30.18793371","57.66995849","11.71698509","64.3554711","31.81692392","56.36730989","35.62163226","16.39092648","29.98401178","68.56766007","43.2518074","26.1896652","2.008876795","23.65061158","13.1908002","-0.45588934","-0.663975995","-0.169485203","-0.577324174","-0.904865096","-0.123386776","-0.849208121","-0.273638256","0.815984895","0.187744022","-0.497344826","-0.240483197","0.67634814","-0.522890518","0.716908923","-0.229579141","0.551019089","-0.901127089","0.777927133","0.370221799","0.820480124","",""
"NH607","Coos County Area","New Hampshire","1929097.278","2672186.623","0.158776853","125.1560945","5099.197199","2009","NEW HAMPSHIRE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.83186042","74.66587916","58.41729105","46.11976535","17.61875972","30.28346681","7.396383353","32.18259077","72.17819336","8.680704281","55.61786009","43.07096625","52.65927415","41.9225707","52.22992623","7.746034735","34.79708158","10.12863918","45.14160499","59.4237577","57.44576853","0.535407559","0.828589683","-0.978894725","0.308930386","-0.577910529","0.99763258","0.366617095","-0.514053082","-0.306584938","0.670480351","-0.612849817","0.92321678","-0.188125435","-0.089499484","-0.700792817","0.179372491","0.466626812","0.633453028","0.615428083","0.735352741","0.64743535","",""
"NH607","Coos County Area","New Hampshire","1929097.278","2672186.623","0.158776853","125.1560945","5099.197199","2010","NEW HAMPSHIRE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.60409736","67.2128204","19.94677376","65.50570791","73.45689049","11.44525351","8.728410123","28.49908787","12.34748927","13.50627709","47.8571858","76.54448167","37.83453766","19.60939246","38.64213558","24.61893409","32.64439584","53.1900863","5.845665566","8.935625691","31.92256958","0.64378472","0.129832532","-0.781039866","-0.997888911","0.038401907","0.501010738","-0.714906114","-0.71868449","0.535193795","-0.931086068","0.975341845","0.629033356","0.542743353","-0.174558573","-0.999495809","0.78552802","0.809023909","0.155235028","0.321585988","-0.646033777","0.965206272","",""
