"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"ND023","Divide County","North Dakota","-555733.9003","2889799.848","0.147941546","235.0435405","1354.302512","2001","NORTH DAKOTA","","","","","","","","","","","0.07","0.76","0.15","0.02","0","0.07","0.74","0.16","0.03","0","0.07","0.75","0.15","0.03","0","0.08","0.68","0.21","0.03","0","0.11","0.68","0.18","0.03","0","0.11","0.66","0.18","0.05","0","0.15","0.65","0.18","0.02","0","0.17","0.63","0.18","0.02","0","0.16","0.62","0.19","0.03","0","0.14","0.62","0.21","0.03","0","0.12","0.65","0.2","0.03","0","0.24","0.53","0.19","0.04","0","0.21","0.59","0.17","0.03","0","0.14","0.63","0.19","0.03","0.01","0.18","0.59","0.2","0.03","0","0.16","0.54","0.27","0.03","0","0.17","0.59","0.21","0.03","0","0.18","0.61","0.18","0.03","0","0.18","0.6","0.19","0.03","0","0.16","0.59","0.21","0.03","0.01","0.18","0.59","0.2","0.03","0","55.77690959","36.17221749","43.34792283","74.07835851","67.15070948","58.47464075","51.97114616","49.75456431","68.85133649","41.31790881","56.79083479","57.24716139","39.54574402","24.14648979","13.93868337","59.55705507","65.24983383","26.91446796","57.25808281","22.94438673","32.72742858","-0.459318685","-0.177729348","0.533828683","-0.584202729","0.354135895","-0.081082024","-0.428100951","0.365430366","-0.028346381","-0.49180655","-0.187022202","0.741768459","0.290360147","0.845569312","0.289602332","-0.610808507","0.610105394","-0.877931165","-0.049856085","0.79173417","-0.940458657","",""
"ND023","Divide County","North Dakota","-555733.9003","2889799.848","0.147941546","235.0435405","1354.302512","2002","NORTH DAKOTA","","","","","","","","","","","","","","","","0.01","0.56","0.4","0.03","0","0.03","0.54","0.38","0.04","0.01","0.02","0.53","0.37","0.07","0.01","0.02","0.51","0.36","0.1","0.01","0.03","0.49","0.37","0.09","0.02","0.02","0.43","0.37","0.12","0.06","0.03","0.42","0.39","0.1","0.06","0.02","0.45","0.31","0.12","0.1","0.04","0.5","0.28","0.11","0.07","0.05","0.5","0.28","0.1","0.07","0.11","0.47","0.25","0.12","0.05","0.08","0.51","0.25","0.1","0.06","0.09","0.53","0.24","0.1","0.04","0.07","0.5","0.28","0.11","0.04","0.08","0.52","0.25","0.09","0.06","0.1","0.51","0.25","0.08","0.06","0.09","0.51","0.26","0.08","0.06","0.09","0.5","0.26","0.09","0.06","0.11","0.52","0.25","0.08","0.04","0.1","0.49","0.24","0.1","0.07","29.6968569","49.91082327","40.50222152","3.637200231","48.39087561","52.36189166","24.60206781","6.826934602","64.83480652","47.51093695","74.26541357","24.99398561","54.38719925","35.82926899","38.95049309","56.73420087","35.35221846","25.11644024","3.971799207","44.9325277","53.92074985","0.996581685","-0.630234814","0.187965592","-0.757789785","0.168193798","-0.395216165","0.98854883","-0.018716442","0.131151868","-0.232215139","0.412566699","0.449754809","-0.226294372","-0.793715916","-0.247439095","0.740373763","-0.336721451","-0.119212171","-0.995554451","0.83108514","0.664616168",""," "
"ND023","Divide County","North Dakota","-555733.9003","2889799.848","0.147941546","235.0435405","1354.302512","2003","NORTH DAKOTA","","","","","","","","","","","","","","","","","","","","","0.11","0.73","0.15","0.01","0","0.12","0.73","0.14","0.01","0","0.14","0.71","0.14","0.01","0","0.22","0.65","0.12","0.01","0","0.23","0.6","0.15","0.02","0","0.21","0.6","0.14","0.03","0.02","0.21","0.56","0.17","0.04","0.02","0.17","0.62","0.15","0.04","0.02","0.15","0.58","0.18","0.06","0.03","0.16","0.6","0.17","0.05","0.02","0.15","0.56","0.21","0.06","0.02","0.1","0.54","0.24","0.09","0.03","0.09","0.51","0.27","0.09","0.04","0.06","0.4","0.34","0.14","0.06","0.05","0.36","0.35","0.16","0.08","0.02","0.37","0.35","0.17","0.09","0.03","0.32","0.33","0.19","0.13","0.03","0.35","0.34","0.2","0.08","0.02","0.35","0.35","0.19","0.09","27.95491671","21.50644311","45.76005033","28.91394609","57.67520812","2.813616642","54.7699353","42.80120659","52.20989917","56.97089034","20.80209639","75.37347911","26.68782927","61.88184096","12.9798785","11.68249702","39.88888364","1.72598529","69.68992574","1.133524382","51.66414722","0.285833624","0.999098928","-0.563842227","-0.797124395","0.790016142","-0.503443908","0.96559373","-0.195091308","0.049213827","-0.733874705","0.818181372","-0.658200869","-0.937193474","0.132774515","-0.825110091","0.862991761","-0.696780089","0.466190123","0.196699378","-0.04365668","0.907495949","54","0"
"ND023","Divide County","North Dakota","-555733.9003","2889799.848","0.147941546","235.0435405","1354.302512","2004","NORTH DAKOTA","","","","","","","","","","","","","","","","0.09","0.43","0.44","0.03","0.01","0.05","0.58","0.3","0.05","0.02","0.08","0.59","0.29","0.03","0.01","0.07","0.64","0.23","0.05","0.01","0.07","0.61","0.26","0.04","0.02","0.02","0.58","0.32","0.07","0.01","0.03","0.55","0.32","0.07","0.03","0.05","0.56","0.32","0.06","0.01","0.1","0.53","0.29","0.06","0.02","0.13","0.57","0.24","0.05","0.01","0.11","0.54","0.26","0.07","0.02","0.11","0.46","0.31","0.1","0.02","0.14","0.42","0.32","0.1","0.02","0.06","0.42","0.32","0.16","0.04","0.08","0.33","0.33","0.2","0.06","0.05","0.35","0.35","0.19","0.06","0.06","0.37","0.32","0.19","0.06","0.07","0.37","0.33","0.17","0.06","0.05","0.38","0.34","0.16","0.07","0.06","0.37","0.31","0.18","0.08","61.75923214","67.89862041","79.73674626","31.58632618","70.81550845","29.16008415","31.29169254","42.52102298","24.03238101","77.71340505","10.49848461","38.32571408","5.551123156","54.96259066","12.92402496","71.41057397","24.83241224","33.30086467","43.63440084","22.96706639","40.53224551","0.585329984","-0.027546941","-0.028679378","0.874743394","-0.926627395","-0.12924758","0.346347443","0.171903636","-0.683007647","0.682517082","0.120655863","0.986450386","0.811097005","0.744797103","0.393597646","-0.681157291","-0.852560134","-0.409053858","-0.545876015","0.90855549","0.438862448","",""
"ND023","Divide County","North Dakota","-555733.9003","2889799.848","0.147941546","235.0435405","1354.302512","2005","NORTH DAKOTA","","","","","","","","","","","0.06","0.7","0.23","0.01","0","0.05","0.64","0.29","0.02","0","0.15","0.64","0.2","0.01","0","0.13","0.6","0.23","0.03","0.01","0.2","0.57","0.19","0.03","0.01","0.23","0.53","0.19","0.04","0.01","0.21","0.54","0.2","0.04","0.01","0.25","0.5","0.18","0.04","0.03","0.17","0.55","0.21","0.06","0.01","0.17","0.54","0.19","0.08","0.02","0.2","0.51","0.22","0.06","0.01","0.19","0.53","0.22","0.05","0.01","0.2","0.48","0.23","0.07","0.02","0.19","0.5","0.22","0.07","0.02","0.26","0.48","0.19","0.05","0.02","0.25","0.46","0.22","0.05","0.02","0.24","0.49","0.2","0.06","0.01","0.2","0.49","0.23","0.06","0.02","0.2","0.49","0.23","0.06","0.02","0.22","0.5","0.22","0.05","0.01","0.2","0.53","0.21","0.05","0.01","33.44726565","47.52591174","79.3710604","64.89471286","27.42956903","69.9409152","56.69618169","28.43348878","5.589747038","73.34925558","5.686034143","19.874883","54.83655933","44.63075995","46.30366706","3.497336359","20.7844806","72.88796054","75.97301935","60.26047355","28.33518404","0.694215629","-0.298516131","-0.19757639","0.310855098","-0.547325204","0.039574575","-0.756303157","-0.775196185","-0.567510983","-0.616125367","0.637246059","-0.648287202","0.912245046","0.057164897","0.814562561","-0.121233904","0.808432815","-0.122928655","-0.662347105","-0.882817011","0.980181772","",""
"ND023","Divide County","North Dakota","-555733.9003","2889799.848","0.147941546","235.0435405","1354.302512","2006","NORTH DAKOTA","","","","","","","","","","","0.13","0.73","0.14","0","0","0.14","0.64","0.2","0.02","0","0.15","0.69","0.15","0.01","0","0.13","0.69","0.14","0.04","0","0.16","0.63","0.17","0.04","0","0.16","0.6","0.16","0.08","0","0.12","0.54","0.22","0.11","0.01","0.11","0.5","0.25","0.11","0.03","0.02","0.34","0.33","0.22","0.09","0.03","0.35","0.35","0.2","0.07","0.02","0.32","0.34","0.18","0.14","0.02","0.28","0.36","0.21","0.13","0.03","0.3","0.35","0.22","0.1","0.02","0.3","0.38","0.22","0.08","0.03","0.3","0.36","0.22","0.09","0.03","0.34","0.36","0.2","0.07","0.03","0.32","0.38","0.19","0.08","0.02","0.38","0.32","0.2","0.08","0.03","0.3","0.39","0.2","0.08","0.02","0.33","0.42","0.18","0.05","0.01","0.32","0.39","0.2","0.08","37.99104189","36.19923548","75.96714607","65.47172105","36.62638595","5.034178776","34.43755541","52.30342173","1.99394935","45.6498537","10.44358302","55.65960649","8.389424492","35.19636862","39.11851976","3.106767418","8.856086724","54.69852306","76.69406611","66.6861217","79.50132135","-0.136810731","-0.788495186","-0.484178456","0.111115637","-0.702203933","0.506204854","0.169230119","-0.289660792","-0.431765029","-0.088179701","0.235336123","-0.357787117","0.859517652","0.944400334","-0.516208012","0.169143809","0.617099675","-0.969010498","0.116550576","-0.266870362","0.630311276","",""
"ND023","Divide County","North Dakota","-555733.9003","2889799.848","0.147941546","235.0435405","1354.302512","2007","NORTH DAKOTA","","","","","","","","","","","0.08","0.75","0.16","0.01","0","0.1","0.74","0.15","0.01","0","0.09","0.74","0.15","0.02","0","0.09","0.73","0.16","0.02","0","0.08","0.66","0.17","0.08","0.01","0.15","0.63","0.16","0.05","0.01","0.16","0.66","0.13","0.03","0.02","0.18","0.63","0.14","0.04","0.01","0.18","0.63","0.14","0.03","0.02","0.17","0.61","0.17","0.03","0.02","0.14","0.64","0.17","0.03","0.02","0.1","0.63","0.21","0.04","0.02","0.13","0.62","0.19","0.04","0.02","0.17","0.59","0.16","0.05","0.03","0.17","0.59","0.18","0.05","0.01","0.17","0.57","0.19","0.05","0.02","0.17","0.58","0.18","0.05","0.02","0.16","0.57","0.19","0.06","0.02","0.17","0.58","0.17","0.05","0.03","0.2","0.56","0.17","0.05","0.02","0.2","0.54","0.18","0.06","0.02","52.99642241","27.09436351","68.46484281","2.838122966","74.82154276","42.66869317","28.04186372","26.39548654","52.46782621","31.02560535","51.0866446","75.08002835","23.13552187","76.33037767","37.79681026","18.87053168","17.68596458","61.40890698","54.52588592","36.61835022","53.52557825","0.113149479","-0.906310625","0.453431034","-0.905378341","0.423037936","-0.882675148","-0.440096352","0.122627801","0.738593005","0.219401568","0.2529991","-0.402223131","-0.382817307","-0.669828697","0.114036511","0.556284156","0.545916959","-0.23804011","0.878329482","0.688388494","0.512087187","70.6","800"
"ND023","Divide County","North Dakota","-555733.9003","2889799.848","0.147941546","235.0435405","1354.302512","2008","NORTH DAKOTA","","","","","","","","","","","","","","","","","","","","","0.04","0.54","0.36","0.05","0.01","0.06","0.56","0.34","0.04","0","0.07","0.5","0.33","0.09","0.01","0.07","0.55","0.32","0.05","0.01","0.1","0.53","0.32","0.04","0.01","0.08","0.54","0.32","0.04","0.02","0.11","0.53","0.31","0.04","0.01","0.1","0.55","0.3","0.04","0.01","0.08","0.57","0.27","0.06","0.02","0.13","0.53","0.25","0.07","0.02","0.14","0.5","0.26","0.07","0.03","0.15","0.52","0.23","0.07","0.03","0.16","0.51","0.24","0.06","0.03","0.17","0.49","0.22","0.08","0.04","0.13","0.54","0.24","0.07","0.02","0.14","0.55","0.23","0.06","0.02","0.13","0.52","0.25","0.07","0.03","0.16","0.51","0.24","0.06","0.03","0.14","0.53","0.24","0.06","0.03","58.89545881","27.70993123","4.581495362","47.6626902","40.3929029","13.56702895","16.13252995","67.6821083","54.74383894","7.752358914","30.97608005","24.43451627","48.8871032","50.7557298","14.18536338","60.69068236","36.15520865","41.90198","6.300120506","63.37347384","67.73638227","-0.613916034","0.258095359","-0.51075124","0.100238735","0.529328141","0.004048586","-0.149931773","0.780090244","0.878104962","-0.17474677","-0.621139443","-0.973123476","0.047192719","0.578432402","-0.874594434","0.187366401","0.842015947","-0.556903321","0.749320051","0.059248662","-0.119215866","86","400"
"ND023","Divide County","North Dakota","-555733.9003","2889799.848","0.147941546","235.0435405","1354.302512","2009","NORTH DAKOTA","","","","","","","","","","","","","","","","","","","","","0.05","0.65","0.25","0.05","","0.09","0.65","0.25","0.01","","0.07","0.69","0.21","0.02","0.01","0.07","0.66","0.24","0.02","0.01","0.1","0.68","0.19","0.02","0.01","0.12","0.64","0.21","0.02","0.01","0.16","0.63","0.18","0.02","0.01","0.14","0.65","0.17","0.03","0.01","0.09","0.62","0.23","0.04","0.02","0.11","0.58","0.24","0.05","0.02","0.1","0.58","0.26","0.05","0.01","0.11","0.55","0.29","0.04","0.01","0.09","0.57","0.27","0.05","0.02","0.09","0.57","0.29","0.04","0.01","0.09","0.52","0.32","0.05","0.02","0.1","0.54","0.29","0.06","0.01","0.13","0.53","0.28","0.05","0.01","0.12","0.51","0.3","0.06","0.01","0.09","0.51","0.32","0.07","0.01","60.8494051","59.79979316","69.72863078","65.29773814","50.7303693","37.61899048","10.02168764","67.11764645","18.93336345","77.37371286","70.27517466","36.20370306","16.2470342","21.58657155","45.63414695","16.80979574","61.10223135","35.80113172","1.723012096","27.61508","41.50149603","0.973333359","0.030607626","0.522055264","-0.117399683","0.893904767","-0.966980116","0.027071601","-0.310610013","-0.170090486","-0.013288681","0.530782444","0.899344371","-0.570041243","0.190993717","-0.212343584","-0.368636733","-0.838947008","-0.843564557","0.722769433","-0.141515668","0.84456442","",""
"ND023","Divide County","North Dakota","-555733.9003","2889799.848","0.147941546","235.0435405","1354.302512","2010","NORTH DAKOTA","","","","","","0.05","0.75","0.15","0.05","","0.07","0.77","0.16","","","0.07","0.8","0.12","0.01","","0.1","0.79","0.1","0.01","","0.13","0.75","0.1","0.02","","0.13","0.75","0.1","0.02","","0.13","0.76","0.09","0.02","","0.18","0.73","0.07","0.02","","0.19","0.7","0.09","0.01","0.01","0.21","0.66","0.1","0.02","0.01","0.19","0.69","0.09","0.02","0.01","0.16","0.69","0.11","0.02","0.02","0.19","0.68","0.09","0.02","0.02","0.24","0.6","0.11","0.03","0.02","0.22","0.63","0.11","0.03","0.01","0.26","0.55","0.14","0.04","0.01","0.26","0.57","0.13","0.03","0.01","0.25","0.57","0.13","0.03","0.02","0.27","0.54","0.13","0.04","0.02","0.25","0.58","0.12","0.03","0.02","0.28","0.55","0.12","0.03","0.02","0.25","0.59","0.12","0.03","0.01","65.82398207","63.14316768","62.59886987","18.64117926","28.98012753","66.75563684","20.44203576","69.40439494","67.53504297","49.80885299","71.60884026","66.56783397","13.06369558","14.47251812","79.51450239","55.19516421","26.61028063","1.297223151","7.987019821","2.177930261","25.10716998","-0.358305692","-0.462762572","0.732863744","0.067726641","-0.033779254","0.397757895","0.234132938","0.599826529","0.499868059","0.812598273","-0.985049254","0.303555736","-0.91089549","0.136089909","0.653046892","-0.103398551","-0.454180644","0.275319537","0.570326992","-0.774088684","-0.603637598","110.9","90"
