"area_symbol","county_name","state_name","x_centroid","y_centroid","soil_quality","carbon","water","Year","State","% Excellent_1","% Good_1","% Fair_1","% Poor_1","% Very Poor_1","% Excellent_2","% Good_2","% Fair_2","% Poor_2","% Very Poor_2","% Excellent_3","% Good_3","% Fair_3","% Poor_3","% Very Poor_3","% Excellent_4","% Good_4","% Fair_4","% Poor_4","% Very Poor_4","% Excellent_5","% Good_5","% Fair_5","% Poor_5","% Very Poor_5","% Excellent_6","% Good_6","% Fair_6","% Poor_6","% Very Poor_6","% Excellent_7","% Good_7","% Fair_7","% Poor_7","% Very Poor_7","% Excellent_8","% Good_8","% Fair_8","% Poor_8","% Very Poor_8","% Excellent_9","% Good_9","% Fair_9","% Poor_9","% Very Poor_9","% Excellent_10","% Good_10","% Fair_10","% Poor_10","% Very Poor_10","% Excellent_11","% Good_11","% Fair_11","% Poor_11","% Very Poor_11","% Excellent_12","% Good_12","% Fair_12","% Poor_12","% Very Poor_12","% Excellent_13","% Good_13","% Fair_13","% Poor_13","% Very Poor_13","% Excellent_14","% Good_14","% Fair_14","% Poor_14","% Very Poor_14","% Excellent_15","% Good_15","% Fair_15","% Poor_15","% Very Poor_15","% Excellent_16","% Good_16","% Fair_16","% Poor_16","% Very Poor_16","% Excellent_17","% Good_17","% Fair_17","% Poor_17","% Very Poor_17","% Excellent_18","% Good_18","% Fair_18","% Poor_18","% Very Poor_18","% Excellent_19","% Good_19","% Fair_19","% Poor_19","% Very Poor_19","% Excellent_20","% Good_20","% Fair_20","% Poor_20","% Very Poor_20","% Excellent_21","% Good_21","% Fair_21","% Poor_21","% Very Poor_21","% Excellent_22","% Good_22","% Fair_22","% Poor_22","% Very Poor_22","% Excellent_23","% Good_23","% Fair_23","% Poor_23","% Very Poor_23","Temperature_0.0","Temperature_1.0","Temperature_2.0","Temperature_3.0","Temperature_4.0","Temperature_5.0","Temperature_6.0","Temperature_7.0","Temperature_8.0","Temperature_9.0","Temperature_10.0","Temperature_11.0","Temperature_12.0","Temperature_13.0","Temperature_14.0","Temperature_15.0","Temperature_16.0","Temperature_17.0","Temperature_18.0","Temperature_19.0","Temperature_20.0","Vegetation_0.0","Vegetation_1.0","Vegetation_2.0","Vegetation_3.0","Vegetation_4.0","Vegetation_5.0","Vegetation_6.0","Vegetation_7.0","Vegetation_8.0","Vegetation_9.0","Vegetation_10.0","Vegetation_11.0","Vegetation_12.0","Vegetation_13.0","Vegetation_14.0","Vegetation_15.0","Vegetation_16.0","Vegetation_17.0","Vegetation_18.0","Vegetation_19.0","Vegetation_20.0","Yield","area_harvested"
"OR007","Clatsop County","Oregon","-2115851.677","2868938.764","0.221878149","243.5475223","2845.337921","2001","OREGON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.3122131","12.76541739","36.4352577","76.81649666","39.26444847","39.2345751","12.87849156","7.632173065","11.709148","75.07546555","50.58275537","7.024511657","15.80647984","32.80846613","41.01736767","64.84146972","11.29696881","79.90082865","60.79381327","76.31510031","59.33928783","-0.19390626","0.689938047","0.513935787","0.811822305","-0.75736057","0.545566047","-0.525914578","0.846773473","-0.908760583","0.127994396","-0.349835706","-0.761375585","-0.548876956","0.929870225","0.581105679","0.867908152","-0.87057669","-0.028242244","0.047157458","-0.533330149","0.067216752","",""
"OR007","Clatsop County","Oregon","-2115851.677","2868938.764","0.221878149","243.5475223","2845.337921","2002","OREGON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.212522252","60.30457789","59.35928754","67.7158765","37.60053619","58.3928192","9.919803313","7.458055448","33.04145067","8.670886232","18.95678558","3.667820565","4.441010016","13.59367062","59.1234868","73.15231875","61.75466477","8.785719621","11.8429385","9.570770283","70.4070453","-0.593646016","0.516534567","-0.758980409","0.387436843","-0.258736994","-0.313027901","0.319001412","0.16037516","-0.362741861","0.855029527","-0.304392644","0.047630036","0.993356159","0.786270715","-0.858966736","0.056080514","-0.152087729","-0.385731606","0.802725835","-0.376055609","0.236526626","",""
"OR007","Clatsop County","Oregon","-2115851.677","2868938.764","0.221878149","243.5475223","2845.337921","2003","OREGON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.14053707","44.67544613","43.38890838","18.58786413","57.7101783","27.76018015","74.78823859","16.99763477","18.76777418","51.70925302","30.03739593","55.28087449","19.48908981","50.14879383","35.87905642","12.38680538","16.94936386","52.10676223","28.33562412","6.182232621","1.309424598","0.724713772","0.784902588","0.030338823","0.094674397","-0.663636701","-0.720131347","0.532432794","-0.239562742","-0.174010839","0.831589421","-0.012975279","-0.954449692","-0.597785178","-0.463352825","-0.592803681","-0.635735154","0.74249443","0.197382333","-0.844225969","-0.764239941","0.885761052","",""
"OR007","Clatsop County","Oregon","-2115851.677","2868938.764","0.221878149","243.5475223","2845.337921","2004","OREGON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.32819102","44.72617832","63.48021849","66.62017094","17.30847616","69.75598457","24.6904227","14.50112057","46.44504406","55.08837234","12.9032592","12.76955818","39.76569694","39.90416847","39.21758252","45.16455271","72.46784655","58.16234992","19.62567163","38.21845931","77.63794066","-0.863766121","0.175507664","0.057662392","-0.592227931","0.14608299","-0.335938228","-0.921717998","0.890523438","-0.19116475","-0.634073013","-0.173509256","0.796801196","0.277499134","-0.666308579","0.03809976","0.231738495","0.035850146","0.007906217","-0.996130889","0.397943008","-0.875481856","",""
"OR007","Clatsop County","Oregon","-2115851.677","2868938.764","0.221878149","243.5475223","2845.337921","2005","OREGON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.39562807","25.36458722","77.39689687","10.59206801","17.37528795","56.62283255","59.27694439","26.18843363","56.51226705","62.94612856","66.3048649","43.84895186","68.72670763","12.65614402","4.78436118","3.551373461","46.87689644","33.33596582","33.17244088","21.78251476","14.84239403","0.456403225","-0.603922134","0.193286276","0.79006445","-0.53588371","-0.213300271","0.988093216","-0.24966667","0.138796379","-0.154464672","-0.624658473","-0.961207718","-0.870292356","-0.538470574","0.545606853","0.986702229","0.719513987","0.224836571","-0.159210174","-0.184667573","0.497510988","",""
"OR007","Clatsop County","Oregon","-2115851.677","2868938.764","0.221878149","243.5475223","2845.337921","2006","OREGON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.61439265","4.772261838","50.0060099","13.37752916","15.7432991","54.04602171","66.94185221","11.03232176","71.71566493","19.09828178","15.59087886","44.1869015","21.37848497","3.827656693","72.69434875","14.05042863","47.92782721","51.69960371","45.91454146","56.28087715","40.40418975","-0.194987382","-0.798018438","-0.009705397","0.374203222","0.81997476","-0.974986354","-0.282742052","0.389559227","0.768520873","-0.548268359","-0.022431647","0.050478515","-0.415961431","-0.78818013","0.025078884","-0.760815042","-0.714250706","-0.755164313","-0.449172731","-0.836485917","-0.498275791","",""
"OR007","Clatsop County","Oregon","-2115851.677","2868938.764","0.221878149","243.5475223","2845.337921","2007","OREGON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.31829539","78.66071823","36.26736622","6.962632243","18.27169919","2.763579307","75.46696511","18.16965493","44.67143058","60.52397064","2.913638442","76.80786295","28.99390489","27.69678831","16.10405998","14.38107731","27.39620233","44.13290605","31.54042219","30.2907251","26.60078687","-0.291724705","0.583799264","-0.223098774","0.032507395","0.796795809","0.989282015","-0.150860783","0.23720473","-0.879950287","-0.584364782","-0.447917912","-0.426530298","0.885899324","-0.362708262","-0.538467314","-0.765131515","-0.058688862","-0.934317129","-0.176959689","0.918308228","0.934690557","",""
"OR007","Clatsop County","Oregon","-2115851.677","2868938.764","0.221878149","243.5475223","2845.337921","2008","OREGON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.98884714","4.126272143","71.44362746","33.33362066","3.309199755","68.57498137","49.55807908","63.39431558","56.70675721","31.46827665","44.90694555","44.66038905","8.235171605","15.45861821","49.79284683","8.30936613","51.22105917","25.20914637","68.90369766","20.91037654","30.77263815","0.034778193","-0.031476749","0.929662483","-0.143142494","-0.734369512","-0.557710022","0.167974768","0.449544378","-0.035740202","0.911405082","0.65831917","-0.08775101","0.121116731","0.24525008","0.666694663","-0.000662394","-0.335804458","0.696873481","0.164455448","-0.021465871","-0.466257323","",""
"OR007","Clatsop County","Oregon","-2115851.677","2868938.764","0.221878149","243.5475223","2845.337921","2009","OREGON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.55002374","27.8179186","26.34836925","9.920824142","38.32999187","61.29035166","27.94021598","9.396684638","28.27745181","64.38850133","42.08022031","9.378027864","12.66677122","40.99442386","50.95349027","74.43637644","14.29834355","44.70706055","56.54329877","70.21306276","24.63389093","-0.520806542","-0.261071814","0.850708241","-0.106611218","-0.729812644","-0.861843517","0.193676417","0.632382209","0.714653511","-0.736145521","-0.850379297","-0.933106687","-0.127669327","-0.247496328","-0.99244505","-0.481570068","-0.85123376","-0.541941693","0.761232108","-0.772577552","-0.188366753","",""
"OR007","Clatsop County","Oregon","-2115851.677","2868938.764","0.221878149","243.5475223","2845.337921","2010","OREGON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.67065258","20.93074237","21.13562454","70.26604655","38.57295952","2.136070137","54.31037307","49.3518021","33.04639052","62.14590118","28.17410984","28.86482382","8.540470604","2.50414435","18.62579917","3.780560499","10.7595975","10.10671001","30.9605329","5.043791347","19.4900181","0.153856073","-0.598690776","0.594713153","-0.493003596","0.075993518","-0.199549823","-0.379813119","-0.113815094","-0.949472425","-0.905854687","0.500574671","-0.217912085","-0.449247918","-0.136087022","0.915795492","0.712296518","0.45090979","0.244471068","-0.495094779","-0.699565135","-0.165461031","",""
"OR007","Clatsop County","Oregon","-2115851.677","2868938.764","0.221878149","243.5475223","2845.337921","2011","OREGON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.700563367","41.61261406","9.271762306","73.68514689","29.63414498","24.78248153","51.43179977","59.89485051","30.25228305","53.63428384","24.56953244","32.41886323","52.07613655","59.01366722","4.394858848","61.12805915","18.91364499","72.35972067","4.910397594","62.28369077","53.15686706","0.024408401","-0.481488166","0.367044656","0.016174883","-0.12957271","-0.692407024","0.455982247","-0.426562505","0.99695309","0.298842917","0.735261385","0.152858585","0.383680271","0.060783493","-0.213262239","-0.402018691","0.833424794","0.27918967","0.849602432","-0.43215365","0.783700172","",""
"OR007","Clatsop County","Oregon","-2115851.677","2868938.764","0.221878149","243.5475223","2845.337921","2012","OREGON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.24867733","16.40624412","2.667845342","64.18563335","57.5647937","1.014462356","27.82260462","32.42288978","68.9544097","16.67595047","24.35580734","40.3006045","24.21393892","48.63232758","49.1387541","51.66277972","24.94738419","76.41529533","14.62514741","8.29567096","22.56348259","-0.529390035","-0.666126685","0.821955772","-0.74208794","-0.19550377","-0.843639057","0.34582872","0.629709529","0.371565122","0.254727282","-0.004500676","-0.743090843","0.703371098","-0.600295751","0.91883693","0.100734643","-0.617618117","-0.429432304","-0.114490956","-0.756215862","-0.274501571","",""
"OR007","Clatsop County","Oregon","-2115851.677","2868938.764","0.221878149","243.5475223","2845.337921","2013","OREGON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.85671917","50.43443982","31.61575102","24.20382259","59.47846203","76.65884232","49.05192378","36.37690508","1.910521074","31.49512805","61.98763379","35.3220591","25.0945573","65.65726953","44.08382939","60.5466172","33.11596726","26.77786552","45.38364454","72.87829078","33.68786888","0.058812895","0.910076654","0.660622911","-0.722257966","-0.9960105","-0.192380159","-0.649169589","-0.849005379","0.622205596","-0.573577317","0.066624458","-0.558003099","0.003904924","0.408868584","-0.173157576","-0.958213626","-0.439253704","-0.085176428","0.715873921","0.740672368","-0.40244732","",""
"OR007","Clatsop County","Oregon","-2115851.677","2868938.764","0.221878149","243.5475223","2845.337921","2014","OREGON","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.73474103","72.49115438","17.52372811","21.06947349","59.66794734","7.023608464","2.930997768","42.56009998","31.85218436","7.438025542","35.44146208","55.54101554","20.28425541","32.54681044","43.89534926","45.76994158","69.28155197","68.38723888","44.62543307","6.793675357","50.56244978","-0.783116563","-0.780063302","0.99317708","-0.263942824","-0.037358649","-0.821332525","0.962884837","-0.627895806","0.334121857","-0.40663198","-0.653766075","0.775273355","0.821795049","-0.210160606","0.074385396","0.174975806","0.158061936","-0.097026295","-0.320760808","-0.852714285","-0.210094367","",""
"OR007","Clatsop County","Oregon","-2115851.677","2868938.764","0.221878149","243.5475223","2845.337921","2015","OREGON","","","","","","","","","","","","","","","","0.01","0.69","0.3","0","0","0.01","0.66","0.33","0","0","0.02","0.66","0.32","0","0","0.05","0.61","0.34","0","0","0.05","0.6","0.35","0","0","0.03","0.56","0.41","0","0","0.05","0.57","0.38","0","0","0.13","0.55","0.32","0","0","0.13","0.53","0.34","0","0","0.08","0.55","0.35","0.01","0.01","0.08","0.56","0.34","0.01","0.01","0.09","0.56","0.33","0.01","0.01","0.07","0.57","0.34","0.01","0.01","0.07","0.55","0.36","0.01","0.01","0.07","0.54","0.37","0.01","0.01","0.07","0.56","0.35","0.01","0.01","0.07","0.56","0.35","0.01","0.01","0.07","0.56","0.35","0.01","0.01","0.07","0.56","0.35","0.01","0.01","0.07","0.56","0.35","0.01","0.01","22.20867358","73.31920522","46.04003347","52.03703133","64.82666494","49.87123844","77.19783068","39.553162","72.71882993","51.12978735","10.36833408","75.46783027","73.65468753","38.18692616","22.30313715","30.73139265","20.61994409","41.97092954","55.56086815","66.89754798","22.06571945","-0.098741283","-0.490570927","0.151142877","0.33149587","0.222697842","-0.635047784","-0.970470264","-0.244917234","-0.430955796","-0.863753485","-0.79931325","-0.579232038","-0.83717025","0.366448243","-0.885130126","0.95867158","-0.247369928","0.716419408","0.383926543","-0.991900504","0.333746433","",""
"OR007","Clatsop County","Oregon","-2115851.677","2868938.764","0.221878149","243.5475223","2845.337921","2016","OREGON","","","","","","","","","","","0.15","0.75","0.1","0","0","0.15","0.74","0.11","0","0","0.18","0.7","0.12","0","0","0.17","0.7","0.13","0","0","0.17","0.72","0.11","0","0","0.2","0.68","0.12","0","0","0.19","0.69","0.12","0","0","0.19","0.69","0.12","0","0","0.27","0.61","0.12","0","0","0.27","0.61","0.12","0","0","0.27","0.61","0.12","0","0","0.27","0.61","0.12","0","0","0.27","0.61","0.12","0","0","0.3","0.6","0.1","0","0","0.3","0.6","0.1","0","0","0.3","0.6","0.1","0","0","0.28","0.6","0.12","0","0","0.28","0.6","0.12","0","0","0.28","0.6","0.12","0","0","0.28","0.6","0.12","0","0","0.28","0.6","0.12","0","0","75.29836418","10.6936977","38.83136116","76.09514787","70.52730981","24.97007871","16.97099499","6.901999635","21.96726177","18.04003179","56.4802568","71.50378701","66.65305454","20.06079357","76.56630692","42.58722626","1.523012767","8.397880465","71.52165156","32.58793527","35.38158189","0.993483313","-0.924618115","0.981282287","0.429584412","0.203070089","-0.009146229","-0.77251213","-0.425475941","-0.786038637","0.719292926","-0.67518405","-0.626629117","0.575196247","-0.544906576","0.062702689","0.088399094","0.968512279","0.0305049","-0.161639965","0.476941551","-0.900094169","",""
